column,protocol,method,V1_r2,V2_r2,V1_rmse,V2_rmse,V1_mae,V2_mae,combined_normalized_rmse,V1_macro_compound_mae,V2_macro_compound_mae,V1_macro_compound_rmse,V2_macro_compound_rmse
25g,compound,conditional_EA,0.8635054002123658,0.8776937731364611,13.007012448377797,19.75875013367831,8.17191280385011,12.820697919174744,1.4560400629159491,8.604836135350045,13.893174067793016,11.620616609122838,17.81615011769204
25g,compound,conditional_policy,0.8608399631861904,0.8789810089401531,13.097855063623053,19.671739125288937,8.268387464640547,12.775982702219727,1.46059206968609,8.669812723824673,13.87720736079542,11.700720696940946,17.781704753031374
25g,compound,local_identity_shrinkage,0.8417290369204495,0.8778334181094012,13.951885312541373,19.7581037021337,8.908752431390695,12.490095411441349,1.5250875043832732,9.272827922129622,13.618243961851416,12.378091516982266,17.742078184992142
25g,compound,mass_normalized_column_conditioned,0.3306727651708935,0.4408690979926468,27.658880797570085,40.911875125465805,14.301709110590451,22.44309138858639,3.066157021621526,16.46646751652647,25.683805166514723,23.787339156417385,35.7168929664497
25g,compound,packing_mass_physical_scale,0.8148985035013728,0.317006001826777,14.932740360997178,44.725819114309466,11.562612110851264,38.538444226507444,2.383846152056192,11.604007569205848,38.81072676160154,13.953015660269463,42.14737935081107
25g,compound,physics_scale_residual,0.7789542858595613,0.8406612329495182,15.500598334599578,22.18008289596109,9.887343942908336,14.107820704031647,1.7013751247239515,10.19621167635687,14.97403404972616,13.350290807455082,19.154951478451558
25g,compound,raw_column_conditioned,0.281677717771604,0.40979458639221455,30.089435530129208,43.58071757907784,17.261909409507034,24.366217207189976,3.3138641373700657,19.986523400545114,28.416332936578165,26.368633774909625,37.52746830820441
25g,compound,scale_only,0.8225337234906501,0.8563839924131436,14.758612543842066,21.34056107753612,10.331154562592882,15.007826110662066,1.6239147526341544,10.496352670331218,15.332623227554688,13.288851204799808,19.102542450041593
25g,compound,standard_shallow_finetune,0.6903173360708154,0.7822586410369035,19.554305883409832,26.282030860379713,11.93979901690123,16.030415881903487,2.102371605653519,13.304911195296835,18.273388285593672,17.576241583086368,23.548175474595883
25g,compound,target_head_only,0.48392745195618303,0.33598283492752146,25.351709715061922,46.039765274930595,14.500641660582644,28.921656425553994,3.046238435703762,16.28303480615758,32.56169713788769,22.39155343465422,42.29279039109518
25g,row,conditional_EA,0.76826869390842,0.8146121125452022,17.782383089258172,25.297605576502395,9.13158313541296,15.036671370344061,1.9476341324116728,9.82571093365999,15.58055368243871,10.663564743352463,16.778802194232235
25g,row,conditional_policy,0.7655092483588779,0.8128552567276808,17.885863112834848,25.427507614160394,9.282905337994784,15.154480915279796,1.958534263082758,10.047115653183457,15.836273274838106,10.877185477879422,17.05052531981267
25g,row,local_identity_shrinkage,0.7464223643023925,0.8116429952673201,18.612369417622066,25.526175322783697,9.915754826892096,15.151752644992422,2.0143530207844833,10.791615867177848,15.790541180886345,11.627404892557326,16.98823694443626
25g,row,mass_normalized_column_conditioned,0.7198437176065078,0.7201663180684166,19.536459103633177,30.923948677226882,11.397660354897958,20.75679531632653,2.233867875396418,11.698759766369793,20.66661474082554,12.751996297511417,22.147628088717777
25g,row,packing_mass_physical_scale,0.7251251773679938,0.3901317840993561,19.355454005180402,46.0041743253053,12.69844757982663,39.384396329996534,2.6681584894832944,13.43024856613236,40.1023684255943,14.209165605991691,41.00594082096652
25g,row,physics_scale_residual,0.782975473432818,0.8163228699004664,17.182546367193236,25.20512324845931,10.000325823423356,14.524427074066196,1.9002943706508444,10.529041188023916,15.254030658087043,11.366034978056549,16.395611949874397
25g,row,raw_column_conditioned,0.3522974167740244,0.4303041834799101,29.73719387947822,44.285744136738614,17.498069377959183,24.686377004897963,3.30809495246514,18.936631817206084,26.892515313168218,20.246954317505267,28.934632755971016
