column,target,normalization,dimension,level,n,mean,median,std,q10,q90,cv
4g,V1_ml,raw,overall,all,4163,8.542167907758827,5.766666666666667,7.780793337486078,4.293333333333334,16.50833333333334,0.9108686953365557
4g,V1_ml,raw,EA_bin,high,626,4.739017571884984,4.35,1.8963620651604542,3.7874999999999996,5.7125,0.40015932340300653
4g,V1_ml,raw,EA_bin,low,1616,11.439069719471947,6.785416666666666,10.042081563313372,4.8875,24.90416666666667,0.8778757197553769
4g,V1_ml,raw,EA_bin,mid,1921,7.3445514488981445,5.658333333333333,5.6591387660268015,4.441666666666666,11.708333333333334,0.7705220401003258
4g,V1_ml,raw,Flow mL/min,4,8,6.350416666666666,6.154999999999999,1.1915062329566737,5.182,8.117666666666667,0.18762646539571007
4g,V1_ml,raw,Flow mL/min,5,371,7.878346810422283,5.720833333333333,5.338655444892219,4.270833333333333,14.6125,0.677636510978382
4g,V1_ml,raw,Flow mL/min,6,12,6.614166666666667,6.275,1.0803846817712943,5.6964999999999995,8.1255,0.16334403655355337
4g,V1_ml,raw,Flow mL/min,8,11,6.807272727272727,6.766666666666667,0.7475854736443455,6.2,7.5,0.10982158400224093
4g,V1_ml,raw,Flow mL/min,10,3761,8.623537622972613,5.758333333333334,8.007513491352627,4.291666666666667,16.775,0.9285648003692901
4g,V1_ml,mass_normalized,overall,all,4163,2.135541976939707,1.4416666666666667,1.9451983343715196,1.0733333333333335,4.127083333333335,0.9108686953365557
4g,V1_ml,mass_normalized,EA_bin,high,626,1.184754392971246,1.0875,0.47409051629011356,0.9468749999999999,1.428125,0.40015932340300653
4g,V1_ml,mass_normalized,EA_bin,low,1616,2.8597674298679867,1.6963541666666666,2.510520390828343,1.221875,6.226041666666667,0.8778757197553769
4g,V1_ml,mass_normalized,EA_bin,mid,1921,1.8361378622245361,1.4145833333333333,1.4147846915067004,1.1104166666666666,2.9270833333333335,0.7705220401003258
4g,V1_ml,mass_normalized,Flow mL/min,4,8,1.5876041666666665,1.5387499999999998,0.2978765582391684,1.2955,2.0294166666666666,0.18762646539571007
4g,V1_ml,mass_normalized,Flow mL/min,5,371,1.9695867026055707,1.4302083333333333,1.3346638612230548,1.0677083333333333,3.653125,0.677636510978382
4g,V1_ml,mass_normalized,Flow mL/min,6,12,1.6535416666666667,1.56875,0.2700961704428236,1.4241249999999999,2.031375,0.16334403655355337
4g,V1_ml,mass_normalized,Flow mL/min,8,11,1.7018181818181817,1.6916666666666667,0.18689636841108637,1.55,1.875,0.10982158400224093
4g,V1_ml,mass_normalized,Flow mL/min,10,3761,2.155884405743153,1.4395833333333334,2.001878372838157,1.0729166666666667,4.19375,0.9285648003692901
4g,V2_ml,raw,overall,all,4163,18.063097125470417,12.525,15.912007244774609,7.983333333333333,33.833333333333336,0.8809124556130189
4g,V2_ml,raw,EA_bin,high,626,10.445067891373803,9.258333333333333,4.191405836397066,7.1875,14.633333333333333,0.4012808609754077
4g,V2_ml,raw,EA_bin,low,1616,24.278557136963695,17.316666666666666,19.939603831062765,9.283333333333333,50.9375,0.821284548277585
4g,V2_ml,raw,EA_bin,mid,1921,15.31697683498178,11.6,12.235864230450929,8.058333333333334,25.508333333333333,0.798843294096128
4g,V2_ml,raw,Flow mL/min,4,8,12.295416666666664,11.401666666666666,3.6020086713185417,8.929666666666666,16.970666666666666,0.29295539703698875
4g,V2_ml,raw,Flow mL/min,5,371,16.210422282120394,12.454166666666667,12.602783076374234,7.6,26.970833333333335,0.7774493999625612
4g,V2_ml,raw,Flow mL/min,6,12,14.544166666666667,14.32,4.923683411160117,9.306,22.676000000000002,0.3385332088117882
4g,V2_ml,raw,Flow mL/min,8,11,13.764848484848484,12.846666666666666,3.862051373050442,9.38,17.233333333333334,0.28057347505870156
4g,V2_ml,raw,Flow mL/min,10,3761,18.281919702206856,12.525,16.246437759540953,8.0,34.38333333333333,0.8886614767036639
4g,V2_ml,mass_normalized,overall,all,4163,4.515774281367604,3.13125,3.978001811193652,1.9958333333333333,8.458333333333334,0.8809124556130189
4g,V2_ml,mass_normalized,EA_bin,high,626,2.6112669728434508,2.314583333333333,1.0478514590992665,1.796875,3.658333333333333,0.4012808609754077
4g,V2_ml,mass_normalized,EA_bin,low,1616,6.069639284240924,4.329166666666667,4.984900957765691,2.3208333333333333,12.734375,0.821284548277585
4g,V2_ml,mass_normalized,EA_bin,mid,1921,3.829244208745445,2.9,3.058966057612732,2.0145833333333334,6.377083333333333,0.798843294096128
4g,V2_ml,mass_normalized,Flow mL/min,4,8,3.073854166666666,2.8504166666666664,0.9005021678296354,2.2324166666666665,4.242666666666667,0.29295539703698875
4g,V2_ml,mass_normalized,Flow mL/min,5,371,4.0526055705300985,3.113541666666667,3.1506957690935584,1.9,6.742708333333334,0.7774493999625612
4g,V2_ml,mass_normalized,Flow mL/min,6,12,3.636041666666667,3.58,1.2309208527900293,2.3265,5.6690000000000005,0.3385332088117882
4g,V2_ml,mass_normalized,Flow mL/min,8,11,3.441212121212121,3.2116666666666664,0.9655128432626106,2.345,4.308333333333334,0.28057347505870156
4g,V2_ml,mass_normalized,Flow mL/min,10,3761,4.570479925551714,3.13125,4.061609439885238,2.0,8.595833333333333,0.8886614767036639
4g,center,raw,overall,all,4163,13.30263251661462,9.120833333333332,11.603851942438268,6.316666666666666,25.02333333333335,0.8722974139100196
4g,center,raw,EA_bin,high,626,7.592042731629393,6.90625,2.6264058756457733,5.706250000000001,10.138541666666669,0.3459419247870985
4g,center,raw,EA_bin,low,1616,17.85881342821782,12.108333333333334,14.707102143749855,7.35625,37.99375,0.8235206780598254
4g,center,raw,EA_bin,mid,1921,11.330764141939962,8.612499999999999,8.70066089957193,6.475,17.870833333333334,0.7678794466621272
4g,center,raw,Flow mL/min,4,8,9.322916666666666,8.715,2.3665423760119566,7.141166666666666,12.551499999999999,0.2538414168683216
4g,center,raw,Flow mL/min,5,371,12.044384546271338,9.23125,8.746332684513462,6.235416666666667,20.918750000000003,0.7261751441854389
