column,protocol,seed,budget,actual_budget,method,epochs_run,best_epoch,validation_score,source_draws,source_unique_rows,target_rows,balanced_batches,shared_head,parameter_count,checkpoint_sha256,wall_seconds,fit_success
8g,row,769539383,30,30,raw_column_conditioned,102,2,0.6473413071317862,2244,1657,22,True,True,461208,1cf122f608b219e555f339cb637082d0ebe4c78bb57d4ff12c672d9c4d6ef36e,24.54798458298319,True
8g,row,769539383,30,30,mass_normalized_column_conditioned,215,115,0.29541153067464504,4730,2542,22,True,True,461208,415217dc96b2f83499db3485e7ae8cd66e88a08551f446a5cc3f3a1abffc0c0a,52.34298554199631,True
8g,row,769539383,50,50,raw_column_conditioned,102,2,0.7852606992636825,4284,2434,42,True,True,461208,b4be8c14e28199815e7172222ab367e8b2cb2ffd3c4e01eb42db83e567c7e643,40.288164041994605,True
8g,row,769539383,50,50,mass_normalized_column_conditioned,102,2,0.8370459289624463,4284,2434,42,True,True,461208,9b0bf38fa2617fc2921ed1d3e8c34e6f61028b657ce01d25f4f983958a631abb,41.46857887497754,True
8g,row,769539383,70,70,raw_column_conditioned,102,2,0.7439838525842475,6324,2849,62,True,True,461208,9a200b47a8e019e5d87381ea15672e6cf2c68c4fd497d62dcf046a41805e0537,57.5954825419758,True
8g,row,769539383,70,70,mass_normalized_column_conditioned,123,23,0.20564150666173636,7626,3003,62,True,True,461208,2df08a57d468986c0c70ad66c2243376c3a8cf7d06c6e4fb1ec5fe0190d98183,67.89854254102102,True
8g,row,769539383,100,100,raw_column_conditioned,102,2,0.8621545536598112,9384,3147,92,True,True,461208,f1f1442c16d33e81ad787fc45b5846b3cff088a5158792d1cbe4ce29e9cbd580,94.89881687500747,True
8g,row,769539383,100,100,mass_normalized_column_conditioned,147,47,0.27783109765654196,13524,3277,92,True,True,461208,392a2f7aacb7db971a4df5b33f4f5a6b23ba73c1fec22e31f7a2c45cf6d91a03,100.96712499999558,True
8g,row,1425370602,30,30,raw_column_conditioned,164,64,0.32231114330565025,3608,2206,22,True,True,461208,ec35649efe6ddb65a81bba681573c2452cea174a588af2e21c02375c34a833ea,42.44978787499713,True
8g,row,1425370602,30,30,mass_normalized_column_conditioned,244,144,0.181173019130881,5368,2666,22,True,True,461208,52118800b26ba2fbc2f7169311b3b2228052487e967a69c79e69705d46f625c7,80.18207133302349,True
8g,row,1425370602,50,50,raw_column_conditioned,110,10,0.347108837260867,4620,2522,42,True,True,461208,6296b066814f75fe6447bd2c9aae8c094c24946348a7965dbd975ac69d02939a,59.770571792003466,True
8g,row,1425370602,50,50,mass_normalized_column_conditioned,151,51,0.16430864675525053,6342,2852,42,True,True,461208,6c63a8279df44f9118a71bcc34d0517712526196dfd1e1d2d52149a008888083,56.87835591597832,True
8g,row,1425370602,70,70,raw_column_conditioned,113,13,0.28527250413413363,7006,2946,62,True,True,461208,6e38855755ca364e05ec4856230d4ae237b91e6695e0ece51d92f7d565516761,42.78658849999192,True
8g,row,1425370602,70,70,mass_normalized_column_conditioned,200,100,0.18247020990668752,12400,3259,62,True,True,461208,ea59605d6d544a9611e5b358d98d26185120e543265c04385450d6c23bd313f2,76.37350008299109,True
8g,row,1425370602,100,100,raw_column_conditioned,110,10,0.27794290138075,10120,3178,92,True,True,461208,03157b38d26372bed6e3864c6f3958c1dbe953a96507db1cf1ba5798004a7e5d,60.67953112500254,True
8g,row,1425370602,100,100,mass_normalized_column_conditioned,144,44,0.20245006789099937,13248,3271,92,True,True,461208,b39cb4bca99b527ec6a284229bf2c14e258a29346267472b64ee8afc8f13a0cc,78.4598221249762,True
8g,row,536279090,30,30,raw_column_conditioned,186,86,1.4478677297993443,4092,2343,22,True,True,461208,329e19e5faa7342b9050b67ceea9754cfb0ca0f34f6bfca91d286f0e28929646,30.65209641601541,True
8g,row,536279090,30,30,mass_normalized_column_conditioned,174,74,0.5420039046239926,3828,2276,22,True,True,461208,0a8f6dc2befb9f66b4ee1b1a8e7fa5a27e236142b6ac7ce831ad6e255c91b7ba,28.221122374990955,True
8g,row,536279090,50,50,raw_column_conditioned,145,45,0.8708611260870355,6090,2814,42,True,True,461208,201e70674edb584449da3bbe6d64cf7337e6b2a996adc0456e57ab3a8f11114b,37.549130416999105,True
8g,row,536279090,50,50,mass_normalized_column_conditioned,101,1,0.47852025364866246,4242,2420,42,True,True,461208,0b51e75898ae951fbb69ad15987f3a5292360d363cae9c93bb1451adc7269c94,27.237788084021304,True
8g,row,536279090,70,70,raw_column_conditioned,170,70,0.8967919120874198,10540,3221,62,True,True,461208,c26cb8de9734005bf366951ee713b0d06c5454ef4d0ad98a9308288b85e49c0b,65.5439619999961,True
8g,row,536279090,70,70,mass_normalized_column_conditioned,102,2,0.2533668883026845,6324,2872,62,True,True,461208,396503b5d5c9985e8c50561004be57c65afd3ed6d37d0354bfb6b07435ac59d7,40.88006879200111,True
8g,row,536279090,100,100,raw_column_conditioned,239,139,1.007130221415862,21988,3323,92,True,True,461208,171ca46ae5a17a98e56562a2d5e99b9372aa5088f58c3465809c3785ed86afe3,138.77178220800124,True
8g,row,536279090,100,100,mass_normalized_column_conditioned,257,157,0.35054501415122086,23644,3326,92,True,True,461208,9564e65120aec44798729fbffe0645cff9b698864aa7e82132c31eabe10c7259,155.83393299998716,True
8g,row,2767143051,30,30,raw_column_conditioned,109,9,0.5651521630511893,2398,1718,22,True,True,461208,1ab4a5072d18a6ccdd4851ba76a9c8cbd211b4f2afc1e5f8eba39d913837e7ab,22.37083454200183,True
8g,row,2767143051,30,30,mass_normalized_column_conditioned,274,174,0.3354824261643928,6028,2803,22,True,True,461208,90959b2acfe76712234b17ecf4086bf193212b8e8e67bbe0342256286e2d4178,41.20543541701045,True
