column,protocol,method,reference,endpoint,relative_gain,mean_delta,median_delta,std_delta,wins,ties,seeds,no_output_regression,material,stronger_10pct
25g,compound,packing_mass_physical_scale,scale_only,aulc,-0.4548528756525638,0.7311460032297952,0.7062807544171505,0.16198717375201954,0,0,5,True,False,False
25g,compound,packing_mass_physical_scale,local_identity_shrinkage,aulc,-0.5347239870075629,0.8148011396882705,0.7457838170435565,0.19117587736276953,0,0,5,True,False,False
25g,compound,packing_mass_physical_scale,conditional_EA,aulc,-0.5815222017150845,0.8598906951880668,0.7834565663039337,0.1791231705903149,0,0,5,True,False,False
25g,compound,packing_mass_physical_scale,conditional_policy,aulc,-0.5759656528543171,0.8546771236285318,0.7834565663039337,0.1832806373946529,0,0,5,True,False,False
25g,compound,packing_mass_physical_scale,target_head_only,aulc,0.23325518788261412,-0.7114308733456765,-0.7084618227056372,0.4761882758352842,4,0,5,True,True,True
25g,compound,packing_mass_physical_scale,standard_shallow_finetune,aulc,-0.13119611269818865,0.2712284896369356,0.35649315695375483,0.24208922502536664,1,0,5,True,False,False
25g,compound,physics_scale_residual,scale_only,aulc,-0.0775265838708834,0.1246188712337681,0.12241151249029225,0.2258584054108937,1,0,5,True,False,False
25g,compound,physics_scale_residual,local_identity_shrinkage,aulc,-0.13668256260153,0.20827400769224322,0.2396473330562161,0.23045461404580464,1,0,5,True,False,False
25g,compound,physics_scale_residual,conditional_EA,aulc,-0.17134333227037613,0.25336356319203956,0.294502126386472,0.19373155426392194,1,0,5,True,False,False
25g,compound,physics_scale_residual,conditional_policy,aulc,-0.1672279133079133,0.24814999163250467,0.294502126386472,0.1951806904247472,1,0,5,True,False,False
25g,compound,physics_scale_residual,target_head_only,aulc,0.4321158297666432,-1.3179580053417037,-1.570132804101971,0.45370865888311374,5,0,5,True,True,True
25g,compound,physics_scale_residual,standard_shallow_finetune,aulc,0.1621875287857022,-0.3352986423590916,-0.3879776360836744,0.24500797695972454,5,0,5,True,True,True
25g,compound,raw_column_conditioned,scale_only,aulc,-1.0843387374274758,1.7430030158211516,1.8703850633926515,0.5745732095322132,0,0,5,True,False,False
25g,compound,raw_column_conditioned,local_identity_shrinkage,aulc,-1.1987684878061424,1.8266581522796266,1.8482931906795341,0.5652573249354718,0,0,5,True,False,False
25g,compound,raw_column_conditioned,conditional_EA,aulc,-1.265815357898476,1.871747707779423,1.9203349531119844,0.5609195572841656,0,0,5,True,False,False
25g,compound,raw_column_conditioned,conditional_policy,aulc,-1.2578546010200795,1.866534136219888,1.8983722811817954,0.561937536502906,0,0,5,True,False,False
25g,compound,raw_column_conditioned,target_head_only,aulc,-0.09850002042369943,0.3004261392456796,0.383068130787803,0.30255125529474713,1,0,5,True,False,False
25g,compound,raw_column_conditioned,standard_shallow_finetune,aulc,-0.6206421396848383,1.2830855022282919,1.6107732202025828,0.5258234778891536,0,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,scale_only,aulc,-0.9282539664827714,1.4921070392319447,1.4079537179015627,0.4022098831975351,0,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,local_identity_shrinkage,aulc,-1.0341146963580057,1.5757621756904197,1.465210299962496,0.4357005102345569,0,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,conditional_EA,aulc,-1.0961407916727057,1.620851731190216,1.4851295297883458,0.4065005935164526,0,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,conditional_policy,aulc,-1.088776172500527,1.6156381596306812,1.4851295297883458,0.4081081789242953,0,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,target_head_only,aulc,-0.016239339378062878,0.04953016265647285,0.14677098731509552,0.40613111771060256,2,0,5,True,False,False
25g,compound,mass_normalized_column_conditioned,standard_shallow_finetune,aulc,-0.49928108036477403,1.032189525639085,0.8910384674949581,0.35537371450199273,0,0,5,True,False,False
25g,row,packing_mass_physical_scale,scale_only,aulc,-0.2906916178315666,0.5988596399222159,0.6368816671726476,0.12123334193959749,0,0,5,True,False,False
25g,row,packing_mass_physical_scale,local_identity_shrinkage,aulc,-0.31573864309872435,0.6380770635714788,0.6404492571438025,0.048902174783652094,0,0,5,True,False,False
25g,row,packing_mass_physical_scale,conditional_EA,aulc,-0.3522255478586096,0.6926067853224016,0.6660109421418012,0.060437767673537056,0,0,5,True,False,False
25g,row,packing_mass_physical_scale,conditional_policy,aulc,-0.36318461667650626,0.7084150742978856,0.7099225426359141,0.051583131145910815,0,0,5,True,False,False
25g,row,packing_mass_physical_scale,target_head_only,aulc,0.212416942249388,-0.7171463844192278,-0.7489419825438546,0.10103956839157205,5,0,5,True,True,True
25g,row,packing_mass_physical_scale,standard_shallow_finetune,aulc,-0.2562334374376902,0.54235104259824,0.6161140508833902,0.21783322526522875,0,0,5,True,False,False
25g,row,physics_scale_residual,scale_only,aulc,0.019819314691046475,-0.040830168230933904,-0.1366456998317891,0.24511717213855666,4,0,5,True,False,False
25g,row,physics_scale_residual,local_identity_shrinkage,aulc,0.0007980317973372841,-0.001612744581670933,-0.0636048254731274,0.1723745509506169,3,0,5,True,False,False
25g,row,physics_scale_residual,conditional_EA,aulc,-0.02691095679316091,0.05291697716925192,-0.017573443894923546,0.16695435075477844,3,0,5,True,False,False
25g,row,physics_scale_residual,conditional_policy,aulc,-0.03523352388499745,0.06872526614473581,-0.06360482436852255,0.219010601853941,3,0,5,True,False,False
