column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,536279090,30,30,standard_shallow_finetune,width,115,6.9857172837239485,4.764203773623188,3.2404399999999995
8g,row,536279090,30,30,packing_mass_physical_scale,center,115,5.672298656178817,3.8702725670303124,2.714298057556153
8g,row,536279090,30,30,packing_mass_physical_scale,width,115,10.954446267868217,7.607460438272227,5.404501088460286
8g,row,536279090,30,30,physics_scale_residual,center,115,5.861170564736767,3.795101030462614,2.389649536447349
8g,row,536279090,30,30,physics_scale_residual,width,115,5.51273990863224,3.653318538904523,2.196041648524485
8g,row,536279090,30,30,raw_column_conditioned,center,115,17.511271760833438,8.189776982028986,2.9504857499999986
8g,row,536279090,30,30,raw_column_conditioned,width,115,6.8404174509680145,4.322106533333334,2.8698749999999986
8g,row,536279090,30,30,mass_normalized_column_conditioned,center,115,12.065075415011714,5.603604301594204,3.1706116666666695
8g,row,536279090,30,30,mass_normalized_column_conditioned,width,115,6.6088210472875755,4.7054521782608685,3.8151813666666676
8g,row,536279090,50,50,scale_only,center,115,7.728093606338586,5.341655978207384,4.062608025714624
8g,row,536279090,50,50,scale_only,width,115,5.092182159175258,3.685720278362027,2.7210078907544624
8g,row,536279090,50,50,local_identity_shrinkage,center,115,8.445549707427721,5.0284418287326424,2.969244368870683
8g,row,536279090,50,50,local_identity_shrinkage,width,115,5.805396059538335,4.150461655875122,2.7903959455979965
8g,row,536279090,50,50,conditional_EA,center,115,9.257237385909123,5.615403235900392,3.2543920237927786
8g,row,536279090,50,50,conditional_EA,width,115,6.267128165735131,4.2318587031625245,3.0187928487999542
8g,row,536279090,50,50,conditional_policy,center,115,8.445549707427721,5.0284418287326424,2.969244368870683
8g,row,536279090,50,50,conditional_policy,width,115,5.805396059538335,4.150461655875122,2.7903959455979965
8g,row,536279090,50,50,target_head_only,center,115,5.5999273080056,3.6080328855072463,2.3441876666666666
8g,row,536279090,50,50,target_head_only,width,115,4.127390832793763,2.8324909420289854,1.820523333333334
8g,row,536279090,50,50,standard_shallow_finetune,center,115,6.827688291974087,4.635773336086957,3.498556333333333
8g,row,536279090,50,50,standard_shallow_finetune,width,115,4.496464524887266,3.1434753614492754,2.198555000000013
8g,row,536279090,50,50,packing_mass_physical_scale,center,115,5.672298656178817,3.8702725670303124,2.714298057556153
8g,row,536279090,50,50,packing_mass_physical_scale,width,115,10.954446267868217,7.607460438272227,5.404501088460286
8g,row,536279090,50,50,physics_scale_residual,center,115,14.271524274023818,7.41072773742761,3.4141381378041835
8g,row,536279090,50,50,physics_scale_residual,width,115,4.982706500568518,3.3706581760209056,2.1199385270756697
