column,protocol,raw_aulc,normalized_aulc,aulc_gain_percent,wins,raw_seed_sd,normalized_seed_sd,budget100_combined_gain_percent
25g,compound,3.3504370727804313,3.099541096191225,7.4884551220953055,4,0.8479228844874391,0.6031342369643665,7.474872399117849
25g,row,3.4155774411573256,2.455413557647346,28.11131939039391,5,0.6905889451785486,0.5333381234939278,32.47267966925269
40g,compound,6.548351888106451,4.672954225375432,28.639231592566674,5,0.6420236064483743,1.1016430492781735,23.280248256771863
40g,row,6.003142317764609,3.902164398849372,34.99796952502665,5,1.3363552857848855,0.5655160713077311,34.060408416046265
8g,compound,1.9312188783207218,0.9749440107724625,49.51664869700225,5,0.19903557363637642,0.34997612566238684,65.37247208767515
8g,row,1.5262236118372363,0.9420418759078221,38.27628739318142,5,0.35885976093323807,0.20640526011606897,51.28115861015636
