column,protocol,method,target,rmse,mae
25g,compound,conditional_EA,center,15.394790436369238,9.820942716134395
25g,compound,conditional_EA,width,12.988025978770489,9.1992222851712
25g,compound,conditional_policy,center,15.353128880388136,9.790175281498016
25g,compound,conditional_policy,width,13.07517691078246,9.327433660327697
25g,compound,local_identity_shrinkage,center,15.703403740600697,9.775970371779007
25g,compound,local_identity_shrinkage,width,13.398260080485741,9.761305762232352
25g,compound,mass_normalized_column_conditioned,center,33.33893618406817,17.411156290256038
25g,compound,mass_normalized_column_conditioned,width,19.63322046419398,13.44848510077409
25g,compound,packing_mass_physical_scale,center,27.28405482818416,23.66308924675132
25g,compound,packing_mass_physical_scale,width,38.38501472532812,32.033741172027085
25g,compound,physics_scale_residual,center,18.306404421821618,11.70863879783865
25g,compound,physics_scale_residual,width,11.179562698183563,7.706169708285972
25g,compound,raw_column_conditioned,center,36.567208344575945,20.459336433175498
25g,compound,raw_column_conditioned,width,16.193587696349006,9.92174519858689
25g,compound,scale_only,center,17.286979472939755,12.273253973866328
25g,compound,scale_only,width,12.171382567899311,8.6795879965164
25g,compound,standard_shallow_finetune,center,22.52999235590968,13.721789840915221
25g,compound,standard_shallow_finetune,width,10.728502367101328,7.012178640837073
25g,compound,target_head_only,center,35.35162446981157,21.395791895871007
25g,compound,target_head_only,width,22.910626033940243,15.377021450952402
25g,row,conditional_EA,center,20.62833237046066,11.181036378985096
25g,row,conditional_EA,width,14.449543481163289,10.295793742704216
25g,row,conditional_policy,center,20.717161734072526,11.306436452112212
25g,row,conditional_policy,width,14.699222287955726,10.400706519409022
25g,row,local_identity_shrinkage,center,21.073077144266772,11.410112155129163
25g,row,local_identity_shrinkage,width,14.807574127236634,10.76686139381715
25g,row,mass_normalized_column_conditioned,center,24.204403206043796,15.286360362959183
25g,row,mass_normalized_column_conditioned,width,18.47490252909634,13.254904250816328
25g,row,packing_mass_physical_scale,center,30.006852662583988,24.9291969403807
25g,row,packing_mass_physical_scale,width,37.17495614768133,31.27030201787851
25g,row,physics_scale_residual,center,20.673319426034137,11.797812295384166
25g,row,physics_scale_residual,width,12.313551493480244,8.144295795479286
25g,row,raw_column_conditioned,center,36.694545342941964,20.76559547714286
25g,row,raw_column_conditioned,width,17.619586253224462,10.095300033469389
25g,row,scale_only,center,22.197627388412986,12.7875216767773
25g,row,scale_only,width,13.466275469058507,9.04379228447685
25g,row,standard_shallow_finetune,center,21.143703346711906,12.158732318877549
25g,row,standard_shallow_finetune,width,11.605198840015197,7.25360410510204
25g,row,target_head_only,center,39.04079717563577,23.05112813520408
25g,row,target_head_only,width,24.009585198028432,15.597594774489798
40g,compound,conditional_EA,center,35.40677404775028,21.968539137032913
40g,compound,conditional_EA,width,28.206838044875447,20.130181449891356
40g,compound,conditional_policy,center,35.16991452868269,19.18240809170471
40g,compound,conditional_policy,width,25.529433367387952,18.779336311898987
40g,compound,local_identity_shrinkage,center,35.16991453754428,19.18240811610527
40g,compound,local_identity_shrinkage,width,25.52943340719994,18.779336341367785
40g,compound,mass_normalized_column_conditioned,center,47.15991262637732,27.96649295152742
40g,compound,mass_normalized_column_conditioned,width,41.316450294938235,32.290465918237075
40g,compound,packing_mass_physical_scale,center,43.014536903408015,34.599425794144665
40g,compound,packing_mass_physical_scale,width,64.11417418027587,53.94400118387265
40g,compound,physics_scale_residual,center,37.61414037749917,21.84839218360287
40g,compound,physics_scale_residual,width,16.949410767739245,11.664346477605786
40g,compound,raw_column_conditioned,center,66.59625643319897,36.3588041685003
40g,compound,raw_column_conditioned,width,26.14262061470173,15.259428407243647
40g,compound,scale_only,center,37.355271500574915,25.79738928444427
40g,compound,scale_only,width,21.817884197502842,15.696687428548955
40g,compound,standard_shallow_finetune,center,42.42580248245111,24.94536554351051
40g,compound,standard_shallow_finetune,width,16.300589036565476,10.687134256184402
40g,compound,target_head_only,center,86.59195515540506,59.429393917240226
40g,compound,target_head_only,width,34.6708956890945,24.431893914423956
40g,row,conditional_EA,center,31.50571164292419,17.792454418492113
40g,row,conditional_EA,width,21.07572170525399,15.281602270136284
40g,row,conditional_policy,center,31.720007079022444,17.93041508890304
40g,row,conditional_policy,width,21.48888081275687,15.639378023874233
40g,row,local_identity_shrinkage,center,33.19163886200462,18.52533260738475
40g,row,local_identity_shrinkage,width,22.30683347820908,16.663145018589205
40g,row,mass_normalized_column_conditioned,center,39.33484298023527,27.097334806603772
40g,row,mass_normalized_column_conditioned,width,36.53707078581055,26.188766035849056
40g,row,packing_mass_physical_scale,center,41.09187848981345,32.91842456025897
40g,row,packing_mass_physical_scale,width,66.30660806665955,55.731960395956946
40g,row,physics_scale_residual,center,30.912828835234357,17.429622138778292
40g,row,physics_scale_residual,width,14.784948829582282,10.061616675301199
40g,row,raw_column_conditioned,center,61.650175535701806,34.68082815915095
40g,row,raw_column_conditioned,width,26.79024184887271,16.732475759056605
40g,row,scale_only,center,37.910113844854415,25.901452194118615
40g,row,scale_only,width,20.01594652269595,14.718859440814947
40g,row,standard_shallow_finetune,center,32.858843209825565,19.579660032075473
40g,row,standard_shallow_finetune,width,13.889514980359849,9.05081346037736
40g,row,target_head_only,center,89.32341653541697,58.71498700518869
40g,row,target_head_only,width,35.197104242644365,24.946136106603774
8g,compound,conditional_EA,center,6.844697958224154,3.5967751705101483
8g,compound,conditional_EA,width,6.042336929984003,3.810242279871762
8g,compound,conditional_policy,center,6.954772298348161,3.5806431054476975
8g,compound,conditional_policy,width,6.008889969127519,3.7304170072125706
8g,compound,local_identity_shrinkage,center,6.714368790425607,3.5767052071100833
8g,compound,local_identity_shrinkage,width,6.365901935780624,3.9829384155327245
8g,compound,mass_normalized_column_conditioned,center,7.494676020865882,4.438377643917143
8g,compound,mass_normalized_column_conditioned,width,7.056544790038539,4.556467997253963
8g,compound,packing_mass_physical_scale,center,6.5445279474375395,3.8713997107093716
8g,compound,packing_mass_physical_scale,width,9.668416801806437,6.588301246164167
8g,compound,physics_scale_residual,center,8.88738737732405,4.677295781076217
8g,compound,physics_scale_residual,width,5.871520073338412,3.5195378694777313
8g,compound,raw_column_conditioned,center,23.845845439746316,11.924130393427742
8g,compound,raw_column_conditioned,width,14.073410420303432,7.591267133932186
8g,compound,scale_only,center,7.1074330371769605,3.7888895247370877
8g,compound,scale_only,width,5.952903494962626,3.684455468566486
8g,compound,standard_shallow_finetune,center,8.187014095958524,4.109906579161616
8g,compound,standard_shallow_finetune,width,6.050997802004362,3.4785846981306263
8g,compound,target_head_only,center,7.419419600098381,3.547325879697798
8g,compound,target_head_only,width,6.643601293703308,3.616385088477925
8g,row,conditional_EA,center,7.36394958704097,4.152752183854138
8g,row,conditional_EA,width,7.002017492744832,4.450239736486698
8g,row,conditional_policy,center,7.336947469717217,4.145890473094654
8g,row,conditional_policy,width,7.087385025760483,4.504283103006969
8g,row,local_identity_shrinkage,center,7.349064483572053,4.179717535945999
8g,row,local_identity_shrinkage,width,7.095189127358187,4.542155522936847
8g,row,mass_normalized_column_conditioned,center,8.061184032540847,5.0041761998260865
