column,flow_ml_min,rows,fraction,compounds
4g,4,8,0.0018854584020740043,3
4g,5,371,0.08743813339618195,31
4g,6,12,0.0028281876031110063,3
4g,8,11,0.002592505302851756,3
4g,10,3841,0.9052557152957813,217
8g,10,574,1.0,88
25g,15,569,1.0,78
40g,30,531,1.0,80
