outer_seed,member_index,member_seed,fit_seconds_current_run,reused_completed_fit,max_epoch,early_stop_epoch,hit_max_epoch,best_epoch_ge_490,checkpoint,checkpoint_sha256,best_epoch,epochs_run,normalized_valid_score,train_rows,validation_rows,trainable_parameters,total_parameters,train_config_hash,labeled_ids_hash,validation_ids_hash,initialization_policy,trainable_scope,scaler_hash,strategy,round
1101,0,110100,247.71670712495688,False,500,214,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_1101/coverage/round_3/checkpoints/member_0_seed_110100/best.pt,266d9fc401cc3999c8a3b057b5e7cfab6e5b33d2399a41e41ce09cd17ac57243,114,214,0.2089122094022501,393,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8431d90b47c542d7376e0817ca042dbcc9b2b51f9ad677097d759f2af593def0,1b0ec16a914860259bc832f1cdec96577264252ae8026840a26b40e4508c8c64,seeded_random,full_source_free,5b84f7b5991f7adee450702433a58eae7bebaa5bd7ab1e20dc971ab7ca6b197c,coverage,3
1101,1,110101,259.8277438329533,False,500,222,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_1101/coverage/round_3/checkpoints/member_1_seed_110101/best.pt,a87d0b0d90542619e08edea5e58ee977f0d0fccbaefc9b016eb532b2fd440cce,122,222,0.20457820475248847,393,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8431d90b47c542d7376e0817ca042dbcc9b2b51f9ad677097d759f2af593def0,1b0ec16a914860259bc832f1cdec96577264252ae8026840a26b40e4508c8c64,seeded_random,full_source_free,5b84f7b5991f7adee450702433a58eae7bebaa5bd7ab1e20dc971ab7ca6b197c,coverage,3
1101,2,110102,228.5193192079896,False,500,197,False,False,/Users/fish/Documents/GitHub/column_chromatography_prediction/experiments/e2_4g_active_learning/row_seed_1101/coverage/round_3/checkpoints/member_2_seed_110102/best.pt,4bb99da975a60d96cd61de0734119a5b71a4d511512e552b375ef179ca2e1b90,97,197,0.2902173176163044,393,57,775476,775476,c2cff5afb7ce404d3bef2832441caa1cfde8b27b4c7d2fb9102977b0456477a8,8431d90b47c542d7376e0817ca042dbcc9b2b51f9ad677097d759f2af593def0,1b0ec16a914860259bc832f1cdec96577264252ae8026840a26b40e4508c8c64,seeded_random,full_source_free,5b84f7b5991f7adee450702433a58eae7bebaa5bd7ab1e20dc971ab7ca6b197c,coverage,3
