outer_seed,strategy,aulc,aulc_normalized
42,pretrained_coverage,108.33886691150835,0.7222591127433889
42,pretrained_ensemble,96.78516879466027,0.6452344586310684
42,pretrained_hybrid,104.83826359383852,0.6989217572922568
42,pretrained_quantile_width,118.70303109364224,0.7913535406242815
42,pretrained_random,123.43615748442528,0.8229077165628352
42,scratch_random,235.17682473643703,1.5678454982429135
525,pretrained_coverage,138.7985314107529,0.9253235427383527
525,pretrained_ensemble,143.5630339297415,0.9570868928649433
525,pretrained_hybrid,135.56210303389588,0.9037473535593059
525,pretrained_quantile_width,141.7573347126458,0.9450488980843053
525,pretrained_random,129.9853579545336,0.866569053030224
525,scratch_random,180.03129479602157,1.200208631973477
1101,pretrained_coverage,147.3983759078625,0.98265583938575
1101,pretrained_ensemble,140.24216662505614,0.9349477775003743
1101,pretrained_hybrid,154.43448583682493,1.0295632389121663
1101,pretrained_quantile_width,145.4377742054306,0.9695851613695373
1101,pretrained_random,126.08384711406038,0.8405589807604025
1101,scratch_random,198.8706952989855,1.32580463532657
