strategy,outer_seed,budget,V1_MAE,V1_RMSE,V1_R2,V2_MAE,V2_RMSE,V2_R2,NRMSE,test_rows
pretrained_coverage,42,50,4.692166951058924,8.252187755499664,0.7873263247280016,5.339588747353389,10.479270393511264,0.8258800157526739,0.8585966605121703,58
pretrained_coverage,42,60,4.145758365214557,8.261961783226836,0.7868222379400809,5.591366052079476,9.88849969781702,0.8449587234800364,0.8407373684911226,58
pretrained_coverage,42,70,4.146305317714297,8.857154996805205,0.7550011619705908,5.878828343577768,10.669679542243436,0.8194949827434992,0.9034576237998977,58
pretrained_coverage,42,80,3.9537707528848753,7.867075673525982,0.8067132024786375,5.211810029786209,9.04724811037767,0.8702164864831989,0.7890178890989289,58
pretrained_coverage,42,90,3.449392149914271,7.040209344129717,0.8452086522006657,5.502004463371191,9.176491208132463,0.8664819958069543,0.7398910974025834,58
pretrained_coverage,42,100,3.3814071288054017,6.8801888633401935,0.8521653440263957,5.675904210408529,9.41793375187374,0.8593635845297498,0.7371568282546823,58
pretrained_coverage,42,110,3.608257366596967,7.02464931268737,0.8458921252238031,5.500290139516193,9.920134589821092,0.843965133012055,0.7621623795509151,58
pretrained_coverage,42,120,2.813707958966836,5.868974971544397,0.8924278001431352,4.380944698158352,8.06991951915223,0.8967417088892728,0.6299457603526738,58
pretrained_coverage,42,130,2.5680209335239454,5.728469159428513,0.8975167961920643,4.204833773908943,7.941684966339946,0.8999972744200893,0.616897557010984,58
pretrained_coverage,42,140,2.657945588539386,5.865378535541919,0.8925595976027274,4.210263339952491,7.953198808284904,0.899707096645098,0.6260617893937666,58
pretrained_coverage,42,150,2.5261423280869404,5.882310005173351,0.8919384102357244,4.331842518948961,8.492669063452112,0.885639794131699,0.6440329539759096,58
pretrained_coverage,42,160,2.653256373569883,6.032902539705782,0.886334634174894,4.82953242926762,9.138282521230883,0.8675915542859217,0.6739208373154926,58
pretrained_coverage,42,170,2.9079645672063714,6.257103315650412,0.8777293595199945,5.197934783190147,9.201293672661844,0.865759268395119,0.6903098921240285,58
pretrained_coverage,42,180,2.8894835636533536,6.244497719079269,0.8782215175485371,5.4916171062951795,10.056749025834426,0.8396378942447977,0.7162702455553568,58
pretrained_coverage,42,190,2.7650007620625114,6.124171530509796,0.8828694378405308,4.846755413625432,9.525001333300377,0.8561477641018376,0.6918919894454361,58
pretrained_coverage,42,200,2.818890573238505,6.064646957516569,0.8851352997227475,4.643403105900205,9.448438644813983,0.8584510602388721,0.6856682982459432,58
pretrained_ensemble,42,50,4.692166951058924,8.252187755499664,0.7873263247280016,5.339588747353389,10.479270393511264,0.8258800157526739,0.8585966605121703,58
pretrained_ensemble,42,60,3.7637640536516557,6.988740470408294,0.8474636460497638,5.082660886611061,8.116556078371614,0.8955447883367272,0.7034113860077822,58
pretrained_ensemble,42,70,3.8021430963757394,7.322083618646385,0.8325655177073048,4.563213768224607,8.169351864774871,0.8941814684650725,0.7264991226318602,58
pretrained_ensemble,42,80,3.3360217025910304,7.085610390861919,0.8432057715975795,4.275147539445724,8.090523682682305,0.8962137564733897,0.7088259074195282,58
pretrained_ensemble,42,90,3.556992887354445,7.411628873931104,0.8284452037914742,4.21663759056179,7.8456509252842705,0.90240119756841,0.7221272786885433,58
pretrained_ensemble,42,100,3.2735326131184896,6.963915286846586,0.8485453910160072,4.078399529950373,7.610314215551175,0.9081684947821971,0.6859724808948847,58
pretrained_ensemble,42,110,2.9188255458042542,6.31379221485302,0.8755037971161065,3.917224936649717,6.9358572197385,0.9237241923727115,0.6230598048733654,58
pretrained_ensemble,42,120,3.019192051613468,6.339692952054979,0.8744802736104491,3.9864688610208443,6.963829235379914,0.9231077176238683,0.6256007106420864,58
pretrained_ensemble,42,130,2.9073526952458524,6.208791666128438,0.8796101952439965,4.080993154679223,6.94355010706186,0.9235548963251248,0.6165485223029663,58
pretrained_ensemble,42,140,2.9946144915175164,6.176845321217821,0.8808459009680965,3.981153219595723,6.758527395473807,0.9275746365461806,0.6087040501430254,58
pretrained_ensemble,42,150,2.9201963304103105,6.020695937683078,0.8867941357885535,3.865081294925734,6.75213544506776,0.9277115659064746,0.5984628816876653,58
pretrained_ensemble,42,160,2.8987910555697036,6.027607775878643,0.8865340629458569,3.80584629541156,6.824158930752976,0.9261611725155661,0.6011612761900521,58
pretrained_ensemble,42,170,2.7185570519545985,5.953800014806873,0.8892958196459538,3.6111764940722244,6.627745554817432,0.930350471549002,0.5902684551463208,58
pretrained_ensemble,42,180,2.662348496776888,5.824861563178516,0.8940388284379279,3.516757363286512,6.429120122892746,0.934462539827039,0.5757612477007634,58
pretrained_ensemble,42,190,2.611182737350464,5.833175650385518,0.893736126258404,3.513505841397692,6.513555911614181,0.9327297847846584,0.5789382488135926,58
pretrained_ensemble,42,200,2.337478203609072,5.6891216152791655,0.8989198283962173,3.3086262056197238,6.452185550764907,0.9339914454421808,0.5677543521350088,58
pretrained_hybrid,42,50,4.692166951058924,8.252187755499664,0.7873263247280016,5.339588747353389,10.479270393511264,0.8258800157526739,0.8585966605121703,58
pretrained_hybrid,42,60,4.244432472360546,8.620511759915845,0.7679179069961948,6.089520222017136,10.40694671179737,0.8282751333441507,0.8800182926659978,58
pretrained_hybrid,42,70,4.247908521246636,9.170797823479196,0.7373425197596126,6.154568149303569,11.084390446582695,0.8051904886587251,0.9366044498923318,58
pretrained_hybrid,42,80,4.280910576349018,8.778563119871885,0.7593297509009798,6.1108813516024885,10.55918724937724,0.8232141466975069,0.894946009479382,58
pretrained_hybrid,42,90,3.399623985948234,7.357855510513348,0.8309255258218599,4.839272895900683,8.925812440960001,0.8736771138264128,0.7524723939926588,58
pretrained_hybrid,42,100,3.2148826429213604,6.920328051987159,0.8504353704151115,4.560095155650171,8.210327777922409,0.8931172750426014,0.7019466752843881,58
pretrained_hybrid,42,110,3.13528015805387,7.020569387858,0.8460710853192508,4.99807339043453,8.744894004912087,0.8787461251723976,0.7251215856640295,58
pretrained_hybrid,42,120,3.0083188336471034,6.584899265524085,0.8645828072856735,4.702957460249978,8.143286173714321,0.8948556548371805,0.6782790082008192,58
pretrained_hybrid,42,130,2.6556521892547607,5.944634667863525,0.8896363958301249,3.5917559985456795,7.046445807229968,0.9212724459671915,0.6027820488634799,58
pretrained_hybrid,42,140,2.6233312990473605,5.999078812985317,0.887605600787447,3.809711105522068,6.979979512370213,0.9227506521003648,0.6042030401768357,58
pretrained_hybrid,42,150,2.386837673187256,5.6094459779733254,0.901731240234544,3.3973905914131253,6.4648506587258705,0.9337320524138424,0.5630271825163615,58
pretrained_hybrid,42,160,2.278192383667518,5.627039456834835,0.9011138528488091,3.3321244020571656,6.422848432874158,0.9345903427437994,0.5628440915797978,58
pretrained_hybrid,42,170,2.3448518172077746,5.8482869611721995,0.8931848428829916,3.4860084007526257,6.689574692558444,0.9290449123783665,0.5854183769719254,58
pretrained_hybrid,42,180,2.4543009303081997,5.806658280346294,0.8947000723978721,3.5755859133840984,6.548483323512808,0.9320064090839754,0.578326089798437,58
pretrained_hybrid,42,190,2.6821240885504354,5.986748923694973,0.8880671337714773,4.179055429875166,8.197193328148332,0.8934589722126425,0.6415021328035003,58
pretrained_hybrid,42,200,2.863382438133503,6.244241641125507,0.8782315052678314,4.479311363176368,9.347980552487686,0.8614450242464081,0.6940733024756438,58
pretrained_quantile_width,42,50,4.692166951058924,8.252187755499664,0.7873263247280016,5.339588747353389,10.479270393511264,0.8258800157526739,0.8585966605121703,58
pretrained_quantile_width,42,60,4.4762903419034235,9.53490696319181,0.7160718486885349,6.9551458468382386,11.134290703104973,0.8034325343579894,0.9615799699421581,58
pretrained_quantile_width,42,70,4.255439363676926,8.310779089615904,0.7842955960769115,5.154289135987731,9.582433508404343,0.8544077844159639,0.8342983955145822,58
pretrained_quantile_width,42,80,4.354087816983804,8.230599436341546,0.7884376086131705,5.0580593054322005,9.254443219496036,0.8642039565397897,0.818878212924179,58
pretrained_quantile_width,42,90,4.549904337148557,8.311336198740626,0.7842666758233054,4.981851370581265,8.940147962470112,0.8732710199973395,0.8142342867395486,58
pretrained_quantile_width,42,100,3.658320602329298,7.244996638802341,0.8360724637109503,4.564297991237421,7.892844779816851,0.9012234961565878,0.7128889488128343,58
pretrained_quantile_width,42,110,3.573189101273986,7.09905671406636,0.8426101118829157,4.260797759308213,7.844302771761432,0.9024347363699042,0.7019852360615603,58
