strategy,fits,fit_seconds,mean_best_epoch,hit_max_epoch,best_epoch_ge_490
full_data_pretrained,9,675.6644767080434,186.0,1,1
pretrained_coverage,135,7193.628274127375,256.7925925925926,33,13
pretrained_ensemble,135,5519.561371040065,211.11851851851853,19,8
pretrained_hybrid,135,5536.142476659385,256.1111111111111,35,18
pretrained_quantile_width,135,6181.415474955109,220.17777777777778,17,4
pretrained_random,135,4374.427205794025,123.97777777777777,10,2
pretrained_shared_round0,9,72.11759474989958,55.111111111111114,0,0
scratch_random,144,5239.946880031377,141.94444444444446,3,1
