outer_seed,strategy,budget,NRMSE,E_zero,E_full,recovery,defined
42,pretrained_random,50,0.8585966605121703,1.5884982793653895,0.6050224195414573,0.7421652616708768,True
42,pretrained_random,60,0.8006435584749305,1.5884982793653895,0.6050224195414573,0.8010920786927149,True
42,pretrained_random,70,0.7942487494764279,1.5884982793653895,0.6050224195414573,0.8075943318335774,True
42,pretrained_random,80,0.7895492269748471,1.5884982793653895,0.6050224195414573,0.8123728146551306,True
42,pretrained_random,90,0.8119159536095817,1.5884982793653895,0.6050224195414573,0.7896302873105968,True
42,pretrained_random,100,0.8019130651397233,1.5884982793653895,0.6050224195414573,0.7998012420625001,True
42,pretrained_random,110,0.8978835283386125,1.5884982793653895,0.6050224195414573,0.7022183047283083,True
42,pretrained_random,120,0.8698694680251235,1.5884982793653895,0.6050224195414573,0.7307030509817691,True
42,pretrained_random,130,0.8679803483570072,1.5884982793653895,0.6050224195414573,0.7326239112136151,True
42,pretrained_random,140,0.8297302194101822,1.5884982793653895,0.6050224195414573,0.7715167102231126,True
42,pretrained_random,150,0.8455870936769863,1.5884982793653895,0.6050224195414573,0.7553934123216849,True
42,pretrained_random,160,0.8269690421031182,1.5884982793653895,0.6050224195414573,0.7743242802101974,True
42,pretrained_random,170,0.8222659217311432,1.5884982793653895,0.6050224195414573,0.7791064213527538,True
42,pretrained_random,180,0.781037810403812,1.5884982793653895,0.6050224195414573,0.8210272381328545,True
42,pretrained_random,190,0.7759277109145217,1.5884982793653895,0.6050224195414573,0.8262231963643104,True
42,pretrained_random,200,0.7975914431008505,1.5884982793653895,0.6050224195414573,0.8041954750227748,True
42,pretrained_coverage,50,0.8585966605121703,1.5884982793653895,0.6050224195414573,0.7421652616708768,True
42,pretrained_coverage,60,0.8407373684911226,1.5884982793653895,0.6050224195414573,0.760324621499236,True
42,pretrained_coverage,70,0.9034576237998977,1.5884982793653895,0.6050224195414573,0.6965505545689061,True
42,pretrained_coverage,80,0.7890178890989289,1.5884982793653895,0.6050224195414573,0.8129130799505221,True
42,pretrained_coverage,90,0.7398910974025834,1.5884982793653895,0.6050224195414573,0.8628652889504872,True
42,pretrained_coverage,100,0.7371568282546823,1.5884982793653895,0.6050224195414573,0.8656454986735714,True
42,pretrained_coverage,110,0.7621623795509151,1.5884982793653895,0.6050224195414573,0.8402198097291478,True
42,pretrained_coverage,120,0.6299457603526738,1.5884982793653895,0.6050224195414573,0.9746579028226697,True
42,pretrained_coverage,130,0.616897557010984,1.5884982793653895,0.6050224195414573,0.9879253391418751,True
42,pretrained_coverage,140,0.6260617893937666,1.5884982793653895,0.6050224195414573,0.9786071313879775,True
42,pretrained_coverage,150,0.6440329539759096,1.5884982793653895,0.6050224195414573,0.9603340193409158,True
42,pretrained_coverage,160,0.6739208373154926,1.5884982793653895,0.6050224195414573,0.9299439665083697,True
42,pretrained_coverage,170,0.6903098921240285,1.5884982793653895,0.6050224195414573,0.9132795464874554,True
42,pretrained_coverage,180,0.7162702455553568,1.5884982793653895,0.6050224195414573,0.8868830130372333,True
42,pretrained_coverage,190,0.6918919894454361,1.5884982793653895,0.6050224195414573,0.9116708671227266,True
42,pretrained_coverage,200,0.6856682982459432,1.5884982793653895,0.6050224195414573,0.9179991273818112,True
42,pretrained_ensemble,50,0.8585966605121703,1.5884982793653895,0.6050224195414573,0.7421652616708768,True
42,pretrained_ensemble,60,0.7034113860077822,1.5884982793653895,0.6050224195414573,0.8999579242504854,True
42,pretrained_ensemble,70,0.7264991226318602,1.5884982793653895,0.6050224195414573,0.8764822726689495,True
42,pretrained_ensemble,80,0.7088259074195282,1.5884982793653895,0.6050224195414573,0.8944524292679086,True
42,pretrained_ensemble,90,0.7221272786885433,1.5884982793653895,0.6050224195414573,0.8809275713508099,True
42,pretrained_ensemble,100,0.6859724808948847,1.5884982793653895,0.6050224195414573,0.9176898339244244,True
42,pretrained_ensemble,110,0.6230598048733654,1.5884982793653895,0.6050224195414573,0.9816595545770312,True
42,pretrained_ensemble,120,0.6256007106420864,1.5884982793653895,0.6050224195414573,0.9790759570811294,True
42,pretrained_ensemble,130,0.6165485223029663,1.5884982793653895,0.6050224195414573,0.988280238252546,True
42,pretrained_ensemble,140,0.6087040501430254,1.5884982793653895,0.6050224195414573,0.9962565114692015,True
42,pretrained_ensemble,150,0.5984628816876653,1.5884982793653895,0.6050224195414573,1.0066697497333248,True
42,pretrained_ensemble,160,0.6011612761900521,1.5884982793653895,0.6050224195414573,1.0039260174134792,True
42,pretrained_ensemble,170,0.5902684551463208,1.5884982793653895,0.6050224195414573,1.0150018571861823,True
42,pretrained_ensemble,180,0.5757612477007634,1.5884982793653895,0.6050224195414573,1.0297528114680237,True
42,pretrained_ensemble,190,0.5789382488135926,1.5884982793653895,0.6050224195414573,1.0265224310971237,True
42,pretrained_ensemble,200,0.5677543521350088,1.5884982793653895,0.6050224195414573,1.0378942370920223,True
42,pretrained_hybrid,50,0.8585966605121703,1.5884982793653895,0.6050224195414573,0.7421652616708768,True
42,pretrained_hybrid,60,0.8800182926659978,1.5884982793653895,0.6050224195414573,0.720383708072131,True
42,pretrained_hybrid,70,0.9366044498923318,1.5884982793653895,0.6050224195414573,0.6628468029604343,True
42,pretrained_hybrid,80,0.894946009479382,1.5884982793653895,0.6050224195414573,0.7052051791186531,True
42,pretrained_hybrid,90,0.7524723939926588,1.5884982793653895,0.6050224195414573,0.850072604245112,True
42,pretrained_hybrid,100,0.7019466752843881,1.5884982793653895,0.6050224195414573,0.9014472447139853,True
42,pretrained_hybrid,110,0.7251215856640295,1.5884982793653895,0.6050224195414573,0.8778829547030538,True
42,pretrained_hybrid,120,0.6782790082008192,1.5884982793653895,0.6050224195414573,0.9255125706161443,True
42,pretrained_hybrid,130,0.6027820488634799,1.5884982793653895,0.6050224195414573,1.0022780128821653,True
42,pretrained_hybrid,140,0.6042030401768357,1.5884982793653895,0.6050224195414573,1.0008331463923967,True
42,pretrained_hybrid,150,0.5630271825163615,1.5884982793653895,0.6050224195414573,1.0427008315512838,True
42,pretrained_hybrid,160,0.5628440915797978,1.5884982793653895,0.6050224195414573,1.0428869987405798,True
42,pretrained_hybrid,170,0.5854183769719254,1.5884982793653895,0.6050224195414573,1.019933425283099,True
42,pretrained_hybrid,180,0.578326089798437,1.5884982793653895,0.6050224195414573,1.0271448754703543,True
42,pretrained_hybrid,190,0.6415021328035003,1.5884982793653895,0.6050224195414573,0.9629073628013871,True
42,pretrained_hybrid,200,0.6940733024756438,1.5884982793653895,0.6050224195414573,0.9094529041616447,True
42,pretrained_quantile_width,50,0.8585966605121703,1.5884982793653895,0.6050224195414573,0.7421652616708768,True
42,pretrained_quantile_width,60,0.9615799699421581,1.5884982793653895,0.6050224195414573,0.6374516498406642,True
42,pretrained_quantile_width,70,0.8342983955145822,1.5884982793653895,0.6050224195414573,0.7668717806513611,True
42,pretrained_quantile_width,80,0.818878212924179,1.5884982793653895,0.6050224195414573,0.7825510496810695,True
42,pretrained_quantile_width,90,0.8142342867395486,1.5884982793653895,0.6050224195414573,0.7872730020688605,True
42,pretrained_quantile_width,100,0.7128889488128343,1.5884982793653895,0.6050224195414573,0.8903211215670429,True
42,pretrained_quantile_width,110,0.7019852360615603,1.5884982793653895,0.6050224195414573,0.9014080360473089,True
42,pretrained_quantile_width,120,0.8492824335281777,1.5884982793653895,0.6050224195414573,0.7516359842015347,True
42,pretrained_quantile_width,130,0.8125526772093721,1.5884982793653895,0.6050224195414573,0.7889828656241058,True
42,pretrained_quantile_width,140,0.805095154007843,1.5884982793653895,0.6050224195414573,0.7965656884529896,True
42,pretrained_quantile_width,150,0.7728997244953064,1.5884982793653895,0.6050224195414573,0.8293020583302334,True
42,pretrained_quantile_width,160,0.7679708495512647,1.5884982793653895,0.6050224195414573,0.8343137471223956,True
42,pretrained_quantile_width,170,0.7362355457397463,1.5884982793653895,0.6050224195414573,0.8665822603700923,True
42,pretrained_quantile_width,180,0.7447708842774432,1.5884982793653895,0.6050224195414573,0.8579035129942035,True
42,pretrained_quantile_width,190,0.7410663865620117,1.5884982793653895,0.6050224195414573,0.8616702528469689,True
