outer_seed,strategy,round,selected_mean_ensemble_uncertainty,selected_mean_quantile_width,selected_mean_latent_distance,batch_mean_pairwise_distance,batch_min_pairwise_distance,selected_unique_compounds,compound_hhi,condition_distribution,best_epoch,hit_max_epoch,best_epoch_ge_490,fit_time
42,pretrained_random,1,0.15494030092305539,0.6903045547628915,8.102034422592867,14.546069220836342,5.5099095295150065,10,0.10000000000000003,"{""mean"": [87.1171646118164, 13.639566421508789, 1.962770700454712, 0.0, 1.0372294187545776, 1.5404503345489502, 1.399999976158142, 117.0090103149414, 380.0], ""std"": [0.8039100170135498, 10.882214546203613, 0.8275448679924011, 0.0, 0.8275448679924011, 0.8346618413925171, 0.9165151119232178, 24.184412002563477, 166.13247680664062]}",46.666666666666664,False,False,0.0
42,pretrained_random,2,0.21093625155455759,0.7710522538200995,7.072725966653005,12.581931330492125,3.8985942482423894,10,0.10000000000000003,"{""mean"": [86.80643463134766, 9.433375358581543, 2.2826333045959473, 0.0, 0.7173668742179871, 1.8630638122558594, 1.399999976158142, 114.8189926147461, 320.0], ""std"": [0.5682353377342224, 7.691961288452148, 0.5849400162696838, 0.0, 0.5849399566650391, 0.5899705290794373, 0.9165151715278625, 21.872604370117188, 60.0]}",48.666666666666664,False,False,0.0
42,pretrained_random,3,0.5760691587201957,0.8168614013637019,8.238885118587145,16.569880530134732,3.993685767160342,10,0.10000000000000003,"{""mean"": [86.74164581298828, 8.556373596191406, 2.349325180053711, 0.0, 0.6506748795509338, 1.9303293228149414, 1.2000000476837158, 108.71699523925781, 300.0], ""std"": [0.6979085206985474, 9.447304725646973, 0.7184262871742249, 0.0, 0.7184262871742249, 0.7246047854423523, 0.9797959327697754, 13.157719612121582, 0.0]}",179.0,True,False,0.0
42,pretrained_random,4,0.3151417179270374,0.025102932577613497,6.277909336279322,11.942648593879856,5.9368002912698215,9,0.12000000000000002,"{""mean"": [86.64363098144531, 7.229653358459473, 2.450216770172119, 0.0, 0.5497835278511047, 2.0320885181427, 1.2000000476837158, 117.75999450683594, 300.0], ""std"": [0.5786568522453308, 7.833040714263916, 0.5956684947013855, 0.0, 0.5956684947013855, 0.6007912755012512, 0.9797959327697754, 22.470123291015625, 0.0]}",93.66666666666667,False,False,0.0
42,pretrained_random,5,0.06968018911722809,0.14151902073538036,9.567230565382415,22.69317581283027,3.670810197175191,9,0.12000000000000002,"{""mean"": [86.969970703125, 11.64714241027832, 2.114285707473755, 0.0, 0.8857143521308899, 1.6932685375213623, 1.0, 110.7490005493164, 330.0], ""std"": [0.749396562576294, 10.144285202026367, 0.7714285850524902, 0.0, 0.7714285850524902, 0.7780628204345703, 1.0, 16.95443344116211, 90.0]}",271.3333333333333,True,False,45.35314633301459
42,pretrained_random,6,0.25505916234103365,0.05791239828373014,9.622619029863749,24.462557896840067,4.176422069019934,9,0.12000000000000002,"{""mean"": [87.03224182128906, 12.48998737335205, 2.0501911640167236, 0.0, 0.9498089551925659, 1.6286226511001587, 1.2000000476837158, 119.01200103759766, 300.0], ""std"": [0.8474886417388916, 11.472127914428711, 0.8724051713943481, 0.0, 0.8724052309989929, 0.8799079060554504, 0.9797959327697754, 15.37304401397705, 0.0]}",182.66666666666666,True,False,61.46241970884148
42,pretrained_random,7,0.2562436163880125,0.022559864913163124,5.326764939005335,11.335081403720748,4.315080276160302,8,0.14,"{""mean"": [86.96748352050781, 11.613321304321289, 2.1168577671051025, 0.0, 0.883142352104187, 1.6958625316619873, 1.600000023841858, 115.27000427246094, 300.0], ""std"": [0.7628248929977417, 10.326064109802246, 0.7852520942687988, 0.0, 0.7852520942687988, 0.7920053005218506, 0.800000011920929, 15.50967788696289, 0.0]}",92.66666666666667,False,False,51.71014466590714
42,pretrained_random,8,0.0998336556761249,0.22968958739323675,5.478413367743721,10.975989554593394,5.158088209605952,9,0.12000000000000002,"{""mean"": [87.09404754638672, 13.326807022094727, 1.986554741859436, 0.0, 1.0134453773498535, 1.564439058303833, 1.399999976158142, 115.89200592041016, 340.0], ""std"": [0.6919234991073608, 9.366294860839844, 0.7122658491134644, 0.0, 0.7122658491134644, 0.7183913588523865, 0.9165151715278625, 14.64889907836914, 80.0]}",74.33333333333333,False,False,53.26875733293127
42,pretrained_random,9,0.32915324113732486,0.3195832271793358,6.894826835455842,14.778087440911609,5.368599197974516,9,0.12000000000000002,"{""mean"": [86.98765563964844, 11.886568069458008, 2.096078395843506, 0.0, 0.9039216041564941, 1.6749045848846436, 1.399999976158142, 106.46199798583984, 320.0], ""std"": [0.5924732089042664, 8.020081520080566, 0.6098921895027161, 0.0, 0.6098921895027161, 0.6151372194290161, 0.9165151119232178, 11.47831916809082, 60.0]}",136.66666666666666,False,False,77.9990036248928
42,pretrained_random,10,0.3748787652701556,0.34534461424189145,6.8679603839581365,16.914398494626596,4.511925598766225,10,0.10000000000000003,"{""mean"": [86.93595886230469, 11.186708450317383, 2.1492996215820312, 0.0, 0.8507002592086792, 1.7285836935043335, 1.2000000476837158, 120.13899993896484, 300.0], ""std"": [0.7796921133995056, 10.55438232421875, 0.8026146292686462, 0.0, 0.802614688873291, 0.8095172047615051, 0.9797959327697754, 29.393451690673828, 0.0]}",175.66666666666666,False,False,95.5169895410072
