outer_seed,strategy,round,budget_after_reveal,query_rank,sample_id,canonical_smiles
42,pretrained_random,1,60,1,f1ea027f4cb80b10d15b,Cc1ccc(C(C)C)cc1
42,pretrained_random,1,60,2,3b03dfa8ff44ff554734,O=Cc1cc(Br)ccc1O
42,pretrained_random,1,60,3,f6e991e3dc3a3d3c5d89,COc1ccc(CCO)cc1
42,pretrained_random,1,60,4,4768b747981033fbdf34,CC(C)CCOC(=O)c1ccccc1
42,pretrained_random,1,60,5,77577e6f6f0aa6789972,CCOC(=O)C(C)Br
42,pretrained_random,1,60,6,45264f1c88b241fb888c,CC(=O)c1c(C)cc(C)cc1C
42,pretrained_random,1,60,7,c35ed383b2db14b3bc06,O=C1CCCc2ccccc21
42,pretrained_random,1,60,8,56b391fdec7a2a622e52,CCOC(=O)C(C)(C)Br
42,pretrained_random,1,60,9,f9b97e958092bd5cb81a,O=C(c1ccccc1)c1ccc(Cl)cc1
42,pretrained_random,1,60,10,c2bd8e8f13a96726e7fc,COc1ccc(CO)cc1
42,pretrained_random,2,70,1,97feb43dae8371e80d3b,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,pretrained_random,2,70,2,7dea14d96460814919d3,COc1ccc(C)cc1OC
42,pretrained_random,2,70,3,dd7fdbe3fa3800e6499f,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
42,pretrained_random,2,70,4,b2b5155e06ff9134c6a4,c1ccc(COCc2ccccc2)cc1
42,pretrained_random,2,70,5,1837a52df085e2fc70d1,Cc1ccc(C)cc1
42,pretrained_random,2,70,6,bd93eaa60288fd0d5e89,CC(=O)c1ccc(C)cc1
42,pretrained_random,2,70,7,80b4e33a8434ac29ed52,CSc1ccc(C=O)cc1
42,pretrained_random,2,70,8,be7d68067464e72d0b8d,COC(=O)CS
42,pretrained_random,2,70,9,6b8023df74ccc51e5c76,C=CC(=O)OCCOc1ccccc1
42,pretrained_random,2,70,10,6322e8f867a741eed74c,CC(C)(CCl)c1ccccc1
42,pretrained_random,3,80,1,404dc3e2801a9a9d52aa,CCOC(=O)/C=C/c1ccccc1
42,pretrained_random,3,80,2,fde2d968ab29d13d4f1d,O=C(/C=C/c1ccccc1)c1ccccc1
42,pretrained_random,3,80,3,75b105d94d176eec90ba,ClCCc1ccccc1
42,pretrained_random,3,80,4,b7770c04c72527e1d9f6,COC(=O)c1ccc(C(C)(C)C)cc1
42,pretrained_random,3,80,5,5965305884ee5fba94d8,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1
42,pretrained_random,3,80,6,b6bb9be5584029502820,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
42,pretrained_random,3,80,7,474238f822b0c38795c6,CCOC(=O)c1ccccc1
42,pretrained_random,3,80,8,2e684264400b651dae88,C1=Cc2ccccc2C1
42,pretrained_random,3,80,9,3545611fd9950a160288,C/C(=N\O)c1ccccc1
42,pretrained_random,3,80,10,a2eeeea4e6525c9d22d4,COc1ccc(OC)c(Br)c1
42,pretrained_random,4,90,1,48b79e49508df9f5fd6d,CCOC(=O)/C=C/c1ccccc1
42,pretrained_random,4,90,2,0e13b08b0f9c772699e1,CC(=O)c1ccc(Br)cc1
42,pretrained_random,4,90,3,92e4f80b3943134ebe86,CCOC(=O)/C=C/c1ccccc1
42,pretrained_random,4,90,4,8cc7c76a92a4474d7c6a,ClCCCc1ccccc1
42,pretrained_random,4,90,5,3122a2210bde68deb81e,COC(=O)c1ccc(C(C)(C)C)cc1
42,pretrained_random,4,90,6,ca00dd1990fd356443cb,COC(=O)c1ccccc1O
42,pretrained_random,4,90,7,4365d2fb106c18823aac,CCC(=O)c1cccnc1
42,pretrained_random,4,90,8,69bed1df8dc3cf82927c,COc1cc(F)cc(Br)c1
42,pretrained_random,4,90,9,04d4a16ff682bc7c55c8,COc1ccccc1
42,pretrained_random,4,90,10,25ffb25df5bec65a633b,CC(=O)CC(=O)c1ccccc1
42,pretrained_random,5,100,1,e66b24ec1e4dfa9a9a57,CCOC(=O)/C=C(/C)N
42,pretrained_random,5,100,2,4699975b36aa2351be18,ClCCc1ccccc1
42,pretrained_random,5,100,3,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
42,pretrained_random,5,100,4,31162ac7e21c9688cbdc,CC(O)c1ccccc1
42,pretrained_random,5,100,5,53d7fb31d852cbb33059,CCOC(=O)C(Br)C(=O)OCC
42,pretrained_random,5,100,6,937105af8867732c56ec,O=C(c1ccccc1)c1ccc(Cl)cc1
42,pretrained_random,5,100,7,7ca22b2f4d23a7afb10e,C=CC(=O)OCCCCCCCCCCCC
42,pretrained_random,5,100,8,452aebfcddc0b031c20d,CCOC(=O)Cc1ccccc1
42,pretrained_random,5,100,9,d26cffd9ef4da9800470,c1ccc(COCc2ccccc2)cc1
42,pretrained_random,5,100,10,212154e56fe15a3333a2,COc1ccc(OC)c(Br)c1
42,pretrained_random,6,110,1,51091e7a7f83732eaf1b,CCC(=O)c1cccc(Br)c1
42,pretrained_random,6,110,2,6ee3c70647b37dcd5417,ClCCCc1ccccc1
42,pretrained_random,6,110,3,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
42,pretrained_random,6,110,4,793d8259fd7820530cfe,Cc1ccccc1C=O
42,pretrained_random,6,110,5,5111664a952a4ab7d54e,CCC(=O)c1cccc(Br)c1
42,pretrained_random,6,110,6,ef8527c6b63d54b73966,CCOC(=O)CC(C)=O
42,pretrained_random,6,110,7,49865eda3c0e936157be,c1ccc(COCc2ccccc2)cc1
42,pretrained_random,6,110,8,28c4b7ec4bf7f486b68c,CCOC(=O)C(Br)C(=O)OCC
42,pretrained_random,6,110,9,b983d4c3094d909b570e,C=CC(=O)OCCOc1ccccc1
42,pretrained_random,6,110,10,2909efb29670d8f2286d,CCOC(=O)C(C)(C)Br
42,pretrained_random,7,120,1,48b99ebef2fd7718f678,COc1ccc(OC)c(Br)c1
42,pretrained_random,7,120,2,de2563a5f711307823f1,C=CC(=O)OC1CCCCC1
42,pretrained_random,7,120,3,2eda4e5a40a9021016cb,O=C(Cc1ccccc1F)C1CC1
42,pretrained_random,7,120,4,b36d7c12e6d3072467ee,CCOC(=O)/C=C/c1ccccc1
42,pretrained_random,7,120,5,6dcfe9b1e0958f22523b,O=Cc1ccc(-c2ccccc2)cc1
42,pretrained_random,7,120,6,7dec4c1259ce3660b729,COc1ccc(OC)c(Br)c1
42,pretrained_random,7,120,7,b48dea92ecfc07816494,CCOC(=O)c1cccnc1
42,pretrained_random,7,120,8,77c599d272254892b6ec,CC1CCC(=O)c2ccccc21
42,pretrained_random,7,120,9,4513e318c9d037303b13,C=CC(=O)OCc1ccccc1
42,pretrained_random,7,120,10,a75e421e756083edea35,CCOC(=O)/C=C/c1ccccc1
42,pretrained_random,8,130,1,afcb9ffea06f12f9e0f5,O=CCCc1ccccc1
42,pretrained_random,8,130,2,b566ed83f272904657ba,O=C(/C=C/c1ccccc1)c1ccccc1
42,pretrained_random,8,130,3,0c0f89307cc4aff87ab6,Cc1ccc(C=O)c(C)c1
42,pretrained_random,8,130,4,a7f9a08159d001c30f67,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,pretrained_random,8,130,5,b9b624baffe611c30836,Cc1ccc(C(=O)c2ccccc2)cc1C
42,pretrained_random,8,130,6,b089551184e4d70e386d,C/C(=N\O)c1ccccc1
42,pretrained_random,8,130,7,dc9f747c03c55d77bf72,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
42,pretrained_random,8,130,8,cd998cddd3dcb4fc8c92,O=C(Cc1ccccc1)c1ccccc1
42,pretrained_random,8,130,9,400615278105cebb3ed9,COc1ccc(C=O)cc1
42,pretrained_random,8,130,10,cc31b914acbab022eb9a,COC(=O)C(C)(C)Br
42,pretrained_random,9,140,1,ad45b4b8aaed2c2b0b33,O=Cc1ccc2c(c1)CCO2
42,pretrained_random,9,140,2,a2eefb55da4d47a4347b,C=CC(=O)OCC(CC)CCCC
42,pretrained_random,9,140,3,6c8de7fb3dbd4f5adabf,O=Cc1ccc2c(c1)CCO2
42,pretrained_random,9,140,4,760d0bf0ec31747d3969,CC(=O)CC(=O)c1ccccc1
42,pretrained_random,9,140,5,c9a57e8accca7da9758b,COC(=O)c1ccccc1N
42,pretrained_random,9,140,6,1fe1163f7d97c16f3822,CC(=O)c1ccccc1
42,pretrained_random,9,140,7,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
42,pretrained_random,9,140,8,fb80794857ddc46e142c,CC(=O)c1ccc2c(c1)OCO2
42,pretrained_random,9,140,9,0d5196ceda603b66bd22,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C
42,pretrained_random,9,140,10,c761659793c5929e2214,C=CC(=O)OCCCCCCCCCCCC
42,pretrained_random,10,150,1,2d53109003f718b780fa,Cc1ccc(C(=O)c2ccccc2)cc1C
42,pretrained_random,10,150,2,d60f7e6b21ea96567843,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
42,pretrained_random,10,150,3,99dd4a9a47de5c84b7c0,O=Cc1ccc(Br)cc1O
42,pretrained_random,10,150,4,6da48b9dd6e1ed7e26fd,COc1ccc(OC)c(Br)c1
42,pretrained_random,10,150,5,2f612d3ec5e270672ad1,C/C(=N\O)c1ccccc1
42,pretrained_random,10,150,6,1bd5bb3744b78ada7307,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
42,pretrained_random,10,150,7,7a0a82051f50d5b0c89c,OCCCc1ccccc1
42,pretrained_random,10,150,8,c9bf385316b464cd2e8d,CCOC(=O)/C=C(/C)N
