outer_seed,strategy,random_aulc,active_aulc,delta_vs_pretrained_random,active_wins
42,pretrained_coverage,0.8229077165628352,0.7222591127433889,-0.10064860381944629,True
42,pretrained_ensemble,0.8229077165628352,0.6452344586310684,-0.1776732579317668,True
42,pretrained_hybrid,0.8229077165628352,0.6989217572922568,-0.12398595927057843,True
42,pretrained_quantile_width,0.8229077165628352,0.7913535406242815,-0.0315541759385537,True
525,pretrained_coverage,0.866569053030224,0.9253235427383527,0.05875448970812869,False
525,pretrained_ensemble,0.866569053030224,0.9570868928649433,0.09051783983471928,False
525,pretrained_hybrid,0.866569053030224,0.9037473535593059,0.03717830052908189,False
525,pretrained_quantile_width,0.866569053030224,0.9450488980843053,0.07847984505408123,False
1101,pretrained_coverage,0.8405589807604025,0.98265583938575,0.1420968586253475,False
1101,pretrained_ensemble,0.8405589807604025,0.9349477775003743,0.0943887967399718,False
1101,pretrained_hybrid,0.8405589807604025,1.0295632389121663,0.1890042581517638,False
1101,pretrained_quantile_width,0.8405589807604025,0.9695851613695373,0.12902618060913484,False
