outer_seed,path,sha256,rows,test_rows,L0_train,validation,U0
42,experiments/d28_al_engineering/partitions/e4_8g_protocol_a_row_seed_42.csv,37b1a5972c66176b7baa1416cc88abca6fbb83b55f5ef99bd4c4230a487915f4,574,58,42,8,466
525,experiments/d28_al_engineering/partitions/e4_8g_protocol_a_row_seed_525.csv,3cc11a5cdc96e9d4aca4699c7256af8449109d12d2ae6d8e0a4d3d2647d41878,574,58,42,8,466
1101,experiments/d28_al_engineering/partitions/e4_8g_protocol_a_row_seed_1101.csv,8e1aae991d1854b4ce36faa1486587c3627cf4573ebcf26bab1584de7f1c5cf0,574,58,42,8,466
