member,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,mean_source_ensemble_std_V1,mean_source_ensemble_std_V2
42,15.878101167859764,23.27807350088978,9.9960264037893,15.355762173524544,,
525,16.50596352804193,24.158125481698992,10.632516806793843,16.142819182157123,,
1101,16.24064502399994,23.607150306215686,10.448322707978056,15.816805205969866,,
mean,16.187392458056376,23.63275978443601,10.357384011757315,15.758991869488364,0.7741820812225342,1.3105850219726562
