canonical_smiles,sample_id,source_row_count,same_compound_condition_distance,global_condition_distance
C=CC(=O)OCc1ccccc1,b5365d56777fde5c4dfc,21,0.0,0.0
C=CC(=O)OCc1ccccc1,df02863943321996441f,21,0.0,0.0
C=CC(=O)OCc1ccccc1,efca00a284b2cadc5737,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0b9968c1280b5e4f726a,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0d5196ceda603b66bd22,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0f8a39d1c0a7eaf35c75,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,1619a0c8b233772ba0c0,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,244e5c6375ff0c923725,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,4f34bbce67c94a44318a,21,0.0,0.0
C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,6de4f7fd8ac19d183348,21,0.0,0.0
CC(=O)CC(=O)OC(C)(C)C,1773be1aaa4102ae19f0,30,0.0,0.0
CC(=O)CC(=O)OC(C)(C)C,1895e2147dd146c4e564,30,0.0,0.0
CC(=O)CC(=O)OC(C)(C)C,4e6d2ab0e823ac1d4b58,30,0.19275290857590927,0.005601800006884539
CC(=O)CC(=O)OC(C)(C)C,60f64adee75a0999c5d5,30,0.0,0.0
CC(=O)CC(=O)OC(C)(C)C,851993fe56d61c8bf074,30,0.0,0.0
CC(=O)CC(=O)OC(C)(C)C,e7c8cd496e2795b23cb3,30,0.0,0.0
CC(=O)CC(=O)c1ccccc1,25ffb25df5bec65a633b,19,0.1680522906902337,0.0018672191823975448
CC(=O)CC(=O)c1ccccc1,41927f703a0632f098fb,19,0.7655715464777312,0.0
