fold,model,selected_alpha,V1_RMSE,V2_RMSE,combined_NRMSE,validation_compounds,train_validation_compound_overlap
0,S0_zero_shot,,11.27116630496841,16.68337039054143,0.58597590982523,12,0
0,S1_global_offset,,8.16945060275129,11.005725978338225,0.4068522578313678,12,0
0,S2_affine,,5.918941070711091,7.561712052593479,0.28799476422203985,12,0
0,S3_condition_ridge,100.0,5.122582571451446,6.420671718032258,0.24721317322960734,12,0
1,S0_zero_shot,,23.253326026858712,35.9425347656498,1.2339686334716635,12,0
1,S1_global_offset,,19.05944469717436,30.063398796768755,1.0213367080288103,12,0
1,S2_affine,,10.13820770336967,18.414644055198064,0.5831251864008288,12,0
1,S3_condition_ridge,100.0,10.493586678808699,20.270374966337837,0.6234686645089351,12,0
2,S0_zero_shot,,11.222090282443702,16.364677322931726,0.5793780515073919,13,0
2,S1_global_offset,,8.61204898181193,11.433540625964046,0.4261242231446738,13,0
2,S2_affine,,8.036441684805212,11.265031882631373,0.4074394381292379,13,0
2,S3_condition_ridge,10.0,10.578052404564522,17.112256811445807,0.573866945917397,13,0
3,S0_zero_shot,,15.985938160607962,22.845015887416867,0.8176546915448759,13,0
3,S1_global_offset,,12.618085246039223,16.72419497665957,0.6238849874950004,13,0
3,S2_affine,,8.430333344271453,13.433462767209194,0.4539901748499894,13,0
3,S3_condition_ridge,10.0,8.562461261596843,13.51597881766971,0.4590000789253458,13,0
4,S0_zero_shot,,16.314936544541602,20.99503486840997,0.7963264636474638,12,0
4,S1_global_offset,,12.222347340375935,13.506057861818991,0.5600202398087937,12,0
4,S2_affine,,5.646100543226906,6.572834771967797,0.264189053370144,12,0
4,S3_condition_ridge,100.0,5.121986639215749,6.897211720543908,0.2550336476009121,12,0
