epoch,train_loss,validation_V1_rmse,validation_V1_mae,validation_V1_r2,validation_V1_q10_q90_coverage,validation_V1_interval_width,validation_V1_mean_pinball_loss,validation_V1_quantile_crossing_rate,validation_V2_rmse,validation_V2_mae,validation_V2_r2,validation_V2_q10_q90_coverage,validation_V2_interval_width,validation_V2_mean_pinball_loss,validation_V2_quantile_crossing_rate,validation_within_target_quantile_crossing_rate,validation_q50_V1_gt_q50_V2_rate,validation_V1_q90_gt_V2_q10_rate,validation_combined_normalized_rmse,validation_all_outputs_finite
1,686.735107421875,10.075655937194824,7.446228504180908,-1.2008540630340576,0.0,1.2805994749069214,3.531166569477855,0.0,21.428852081298828,15.438811302185059,-1.046396255493164,0.0,1.0632200241088867,7.580230149454795,0.0,0.0,0.0,0.2692307692307692,1.3060921973076076,True
2,624.9667358398438,9.989591598510742,7.323514938354492,-1.1634161472320557,0.0,1.281627893447876,3.5062554297347868,0.0,20.49750328063965,14.177913665771484,-0.8723794221878052,0.0,0.9662342667579651,6.960414704374778,0.0,0.0,0.0,0.0,1.27138845577446,True
3,596.2185974121094,9.893056869506836,7.188417911529541,-1.1218056678771973,0.0,1.3130342960357666,3.4479387617837163,0.0,19.842334747314453,13.186594009399414,-0.7545973062515259,0.0,1.0060175657272339,6.437266812473536,0.0,0.0,0.0,0.0,1.244926621199185,True
4,567.0191345214844,9.7407808303833,6.978174209594727,-1.0569896697998047,0.0,1.3501784801483154,3.3312115237594413,0.0,19.471220016479492,12.594327926635742,-0.6895779371261597,0.002403846153846154,1.0879448652267456,6.097519726688281,0.0,0.0,0.0,0.0,1.223740443974438,True
5,577.001953125,9.5421724319458,6.698764324188232,-0.9739633798599243,0.0,1.4132927656173706,3.1661463705584025,0.0,19.20625877380371,12.177297592163086,-0.6439081430435181,0.007211538461538462,1.1913551092147827,5.841740083255066,0.0,0.0,0.0,0.0,1.2028608384210977,True
6,555.4128723144531,9.321300506591797,6.380581378936768,-0.883638858795166,0.002403846153846154,1.495627760887146,2.971238074575861,0.0,18.979270935058594,11.823781967163086,-0.6052806377410889,0.009615384615384616,1.3129220008850098,5.616023473709058,0.0,0.0,0.0,0.0,1.1817588692490772,True
7,535.063720703125,9.104543685913086,6.060358047485352,-0.7970532178878784,0.004807692307692308,1.574819803237915,2.7686947553012615,0.0,18.76531410217285,11.486618995666504,-0.5692915916442871,0.021634615384615384,1.4496486186981201,5.397000078780529,0.0,0.0,0.0,0.0,1.1613647201545345,True
8,526.0309753417969,8.90194320678711,5.754197120666504,-0.717964768409729,0.009615384615384616,1.6622320413589478,2.5665591868930138,0.0,18.5567626953125,11.152894973754883,-0.5346041917800903,0.057692307692307696,1.6017018556594849,5.179609773059686,0.0,0.0,0.0,0.0,1.1420735166283726,True
9,506.8639678955078,8.713838577270508,5.46368932723999,-0.6461281776428223,0.028846153846153848,1.7721184492111206,2.366703155149634,0.0,18.350284576416016,10.816110610961914,-0.5006436109542847,0.08413461538461539,1.769683837890625,4.962931823768677,0.0,0.0,0.0,0.0,1.1237905127141719,True
10,497.4779357910156,8.537099838256836,5.183917045593262,-0.5800299644470215,0.125,1.912262201309204,2.1711010553706913,0.0,18.146114349365234,10.47834587097168,-0.4674363136291504,0.15144230769230768,1.955067753791809,4.751566787598988,0.0,0.0,0.0,0.0,1.1063168271753152,True
11,474.5727081298828,8.370027542114258,4.911762714385986,-0.5187925100326538,0.2668269230769231,2.0807321071624756,1.996442990291577,0.0,17.945356369018555,10.142195701599121,-0.4351459741592407,0.18990384615384615,2.1559603214263916,4.549778367999273,0.0,0.0,0.0,0.0,1.0895743943308633,True
12,474.12628173828125,8.21040153503418,4.642824172973633,-0.4614146947860718,0.43028846153846156,2.270660877227783,1.847007128596306,0.0,17.750019073486328,9.818136215209961,-0.404072642326355,0.24519230769230768,2.3713438510894775,4.359517686069012,0.0,0.0,0.0,0.0,1.0734848630787661,True
