selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
0,1836,211,1433152.750234504,209751.229534104
1,1614,211,1223401.5207004,178472.6906877457
2,614,164,1047809.5032207532,117974.19692759542
3,783,107,895293.7401266163,120952.90538693577
4,2347,53,857270.3399047551,46578.56480249153
5,982,16,783272.8404417556,98569.64453941782
6,2766,164,734365.2391451242,79625.99584071146
7,1312,53,717536.030053625,43956.36022370588
8,1547,11,679905.2850264346,144242.99669089023
9,847,216,650457.9437304334,152543.92521752242
10,2731,95,604406.27974197,147881.07185062696
11,2871,16,586133.9260139152,76716.8394584012
12,2323,53,585668.502201692,32109.375879036408
13,2138,164,575113.2763801407,68163.18745389296
14,2888,138,566172.6458272482,88999.42288970173
15,1450,211,537925.7480860269,111998.10897529672
16,2938,100,525415.2730782629,85811.12102776542
17,2404,307,509406.6592720334,137626.50091078458
18,820,109,507218.56994667195,128782.81587313674
19,1555,131,464516.6615083728,53064.079973808606
20,1398,213,454847.13110965193,55512.06976687422
21,1366,7,450206.67793279485,49032.01514500653
22,1710,100,439604.15205049753,58860.79206138296
23,694,53,425124.9189566772,30633.920910446686
24,1793,208,419883.61337097094,50088.52969197591
25,228,138,416998.7923461208,60753.01172038843
26,2122,332,393075.76395144186,77462.42810938737
27,1464,11,391420.77288860106,75715.7396224208
28,2134,281,369638.19193102827,39740.71981166942
29,2572,107,361400.4056687241,70444.3751365112
30,975,131,358389.4662956261,35292.48768327835
31,2799,344,347079.04567425896,57748.89247934625
32,2642,53,333223.8333585176,29798.066326521774
33,1566,300,328497.4970594202,45055.99949359763
34,1353,363,296614.99212699285,37312.1041869568
35,612,213,288313.60557268624,47509.225586007786
36,2640,52,276040.35365705634,40220.759232298995
37,842,208,269618.62925186224,45981.405806311086
38,2729,370,294408.0219661584,63414.33460604292
39,1292,4,265041.5019415043,20974.10859845909
40,1088,372,425092.29750687757,63834.61241403839
41,2864,131,252513.21335959953,23204.31608248844
42,109,281,250416.37773241074,29496.435457238797
43,2783,49,244716.85397622557,34381.79743462757
44,429,57,243844.71281678422,15581.431426931413
45,1074,80,241653.58367817054,115907.27038506378
46,1746,354,240755.37966145354,37731.69602920397
47,2259,355,235386.44034799805,65163.8728338771
48,2955,160,234300.90920693666,34689.92427683584
49,1668,256,232243.752142217,55384.38903125335
50,2600,4,223093.31528983975,20614.25133408743
51,1833,166,222062.41790226288,74021.01801666524
52,1277,350,221628.591446158,73876.43378612399
53,1308,300,221438.76947175874,28758.433873496644
54,2895,19,220523.83797083207,68887.45515532536
55,981,132,218127.49633499514,61752.41273074565
56,899,93,211249.60611048425,43675.63943705332
57,595,100,209028.11206153673,53309.09534533988
58,2995,131,206105.80944053218,19499.70228251384
59,1316,377,205286.80333467256,20360.8297915983
60,1355,211,201933.69511727092,67312.17159042391
61,1363,212,200032.3081464407,23632.802206033215
62,797,160,199610.9849301008,22209.4943553365
63,2198,216,190345.6193145872,73177.47714315401
64,2610,57,189026.128370588,12844.814053403737
65,1930,28,186636.2166623841,13500.567424896471
66,1402,353,179829.50667574164,55547.56466544059
67,1431,173,179374.85269799427,25392.897392154933
68,855,92,178205.36328940527,20558.457647581592
69,2362,359,177276.18403065694,56851.44916881283
70,1047,282,175520.77070960536,29187.041537133395
71,1688,357,174741.21816677664,41799.14046244882
72,2432,319,172025.64340982406,24179.651660232514
73,143,131,167106.8800096312,17600.391380187517
74,1385,377,164565.32095699126,18666.51834652401
75,90,237,162164.22625769375,28111.746584090957
76,48,4,161253.25461175074,20472.796319436296
77,2586,409,180011.25778376902,34262.60141300564
78,699,95,160763.2286574297,80381.72684574302
79,1311,369,160671.75070175712,52801.72373768079
80,1567,52,155378.21368880087,31674.144931197225
81,1121,139,155290.14925361745,31890.79252016692
82,57,0,151721.4167415954,10766.158740251172
83,1849,19,151636.38281550672,38457.46870858583
84,2528,319,147845.99174959154,17389.07948676389
85,2581,280,147034.99745235994,9944.369049492825
86,1917,31,146700.29433775492,20070.90282580218
87,398,28,146135.23316845426,12314.90746347906
88,1683,53,144496.33309903805,17571.848405370634
89,2127,120,139778.45343459456,14751.586245113805
90,1336,165,138142.03210821626,69071.32216407626
91,2715,129,137520.21652825514,28385.95079080519
92,1386,335,133936.17328571656,44645.425639092224
93,881,57,132475.9957984127,12346.121214650173
94,2901,208,131674.95348364481,23165.498622089013
95,2862,77,129874.48277914022,50983.07996486605
96,1104,372,129520.24702343454,33080.594498362276
97,2255,380,129171.84523572063,43057.39351376792
98,839,212,129134.14374535524,20701.13076469114
99,2350,164,128073.85558903083,64037.0769321915
100,2879,354,127562.79123647095,29332.452390700753
101,846,342,127427.34635412798,63713.87863435061
102,996,63,125427.57059708574,8722.795084118694
103,598,367,125366.65382528893,28820.017376705335
104,1602,25,123035.28200579817,34033.66142639771
105,127,407,122607.07868532545,15532.799508403084
106,1084,395,120542.55318370143,19838.309181869394
107,473,427,117738.15892298892,21188.4282825024
108,2701,282,117146.78211538626,20448.217007043364
109,2724,156,116861.73618309305,18101.590456617225
110,546,68,116299.35183098324,18325.206996307228
111,1472,270,113118.5597217527,14954.129646022619
112,2275,154,113046.42473183452,17678.022258081517
113,2796,364,111857.82585746958,27102.274050876847
114,858,356,109725.42504951649,36575.39892522237
115,760,43,109578.85579665797,17304.277637104096
116,1367,169,108151.9500319851,31693.832605361327
117,2892,57,107784.15419919681,7770.520485246314
118,1901,31,106558.79947724708,10537.264349493424
119,2475,386,106163.02555949296,21232.826151332236
120,1909,237,105940.93302101898,22602.641810324276
121,1712,355,105059.24468588812,57160.097502650635
122,23,206,104325.1611350192,8039.330665197107
123,1724,370,104165.83492752255,34722.02196274209
124,2811,360,104103.88362550171,46765.374657441396
125,25,0,102738.06831639896,6787.360217094636
126,1179,395,100704.24400183203,14522.080208721483
127,405,6,100282.79102000639,7966.212372602982
128,1328,57,100013.63371395049,7573.253554273997
129,1551,324,99731.29717848853,14359.641497418042
130,2882,213,98717.85773028867,32906.672617347125
131,670,78,98453.79864736473,7939.753415885298
132,2252,269,97807.66337980986,32603.19507592148
133,896,210,96011.76674814173,19546.41192879677
134,14,228,95816.34121140455,20151.39534841945
135,2317,467,154739.12704431853,34985.44865418653
136,363,467,119753.678390132,28147.25134120058
137,1503,319,95678.91931710884,16685.6095031347
138,2520,120,95524.4849869797,12959.749669691373
139,1754,87,95080.33504951639,4971.040018927464
140,1333,158,94748.90565231504,31583.331083779347
141,2866,309,93920.606841515,31307.867652798435
142,173,400,93329.39136700312,15629.528507672381
143,412,420,93062.6013810091,22890.31914990324
144,1681,52,92031.28510692187,24730.84332311261
145,1043,63,92011.52434900598,7578.856682748259
146,1721,53,91781.52140258135,16204.884601547368
147,1107,429,91628.83916087994,30542.96645013377
148,531,467,91606.42704893142,23953.321096862783
149,134,357,91143.56039981364,30381.272082930314
150,1370,167,89687.86814611999,44844.36068247701
151,895,92,89535.94680038372,12291.55272105603
152,1611,81,88917.31372538811,44458.85858977938
153,893,302,88034.48230138226,8672.913164801665
154,1716,212,87732.76375419076,13026.711637517437
155,2616,376,87394.0795985001,29131.885616986605
156,1317,417,87123.33049291186,29041.377130423905
157,1545,410,86901.01684075873,43451.09269689559
158,2143,87,85138.28412166444,4519.953229108007
159,1076,378,83986.91060084349,83986.90947948338
160,1073,78,82574.33110142124,5390.406221094088
161,1825,83,82090.63025320921,7907.902997826834
162,1174,28,81930.09213361729,8405.225869310561
163,1706,280,80860.84004256656,9376.279945785127
164,859,93,80224.42353191925,40112.40268400323
165,1749,221,78979.42715409742,32666.47689670464
166,936,316,78477.29169134184,8898.608267686064
167,2856,284,77942.99074604292,4997.349158018169
168,1033,16,77905.07031895017,32120.23082404345
169,160,57,77294.01809382251,5309.331214509082
170,2869,344,77138.74746221234,38569.476114855905
171,1446,315,77081.846647092,25694.75637658434
172,2780,298,77063.11778995075,21559.831879661775
173,1924,6,76384.3979540748,4866.457429998067
174,607,53,75576.63680103398,12500.989735535084
175,84,408,75417.82436173063,12569.74301308619
176,2656,427,75361.32347463939,13871.42224054609
177,80,31,74947.29416873664,10303.99318406362
178,1159,70,72933.58224101186,7723.466805692741
179,2569,107,71748.5680193329,23916.474937924984
180,2894,387,71613.51078428281,71613.51078428281
181,2928,87,71578.5738714536,3350.0562667420218
182,2361,179,70734.56077509528,20435.08532870739
183,2809,457,70417.02790470351,23472.46413966373
184,2953,3,69714.39510946973,6327.724775124874
185,2741,353,68735.52403563447,24924.50038400307
186,16,467,67653.10595206864,16913.276418076537
187,1391,305,67490.06575321736,6170.175353044329
188,2739,52,67300.44178380926,16616.273376101875
189,2456,51,67119.62491572324,9166.872606699431
190,2774,6,66651.81311242499,3732.3515002625154
191,2942,500,66609.22588040677,9587.94863307452
192,594,443,66595.45588595164,20826.674170120205
193,619,78,66403.11705796389,4035.773855025105
194,1287,83,66275.18438271836,6126.65268449088
195,2090,256,66091.18774980603,22030.53574597754
196,2039,87,65479.95431812245,2727.403264750083
197,2355,92,64953.03544934685,10167.20287951956
198,2121,359,63573.714329006674,21191.312739986868
199,1572,463,63219.50813571931,31609.806612215034
200,2401,156,62558.031254922156,11450.143635092983
201,2132,280,62108.50037344478,5741.087264538448
202,852,302,62016.301202466806,6788.0519304047375
203,2710,58,61680.211968075855,10109.64175246028
204,1788,57,61366.553979913035,4949.694650417336
205,488,14,61230.46708027994,13301.857906117948
206,515,63,61026.00813322079,6860.734158570394
207,1028,316,60680.154947179515,8017.758362734316
208,2932,136,60147.1240944442,12228.304385205647
209,2598,270,60025.68102615459,11474.84368632417
210,2037,87,60025.61455913829,2647.478053023478
211,1709,180,59603.74384075262,19868.316027909692
212,323,40,59452.47797237829,12069.113129206336
213,1110,6,59187.27736652052,3497.237138690437
214,1129,419,58812.47316919852,12635.674698357994
215,1253,154,58189.29785722059,12125.723237984017
216,2310,303,58105.423927175805,3000.0931395300095
217,1463,360,57338.50896806031,28670.903888527944
218,1228,395,57139.15841774136,14150.788733653812
219,1379,120,56645.99747329436,12319.193072283335
220,2818,59,56601.74783655411,6165.324895874554
221,120,537,56559.095594701226,8047.949317605457
222,2877,394,56423.774153391874,19090.992445882584
223,2566,21,55959.529610531186,11565.14328324631
224,2450,282,55802.41898375991,18601.01269485039
225,2061,238,55788.93284456592,5765.678006144553
226,1375,232,55538.56200074501,3694.3003646993584
227,500,298,55503.28591028896,11481.16132360819
228,2115,201,55456.05042970205,8361.01575210614
229,2343,369,55068.59425279562,27534.4753673338
230,2346,365,54955.64124563846,18318.623498742963
231,2294,87,54730.93941295291,2316.6365412442296
232,1378,313,54341.37999240985,14368.233470234743
233,1341,78,54295.916109214,3932.5525296510077
234,359,76,53187.996847148235,10440.893683861483
235,2194,284,53082.04724218277,4260.886219292763
236,65,0,52912.15012886851,5430.4390666791405
237,2212,255,52422.67386587414,8463.236052276457
238,1001,129,52362.92940549129,17454.446782783387
239,1570,507,51392.05115102706,17130.77222369751
240,1839,204,51282.152920562614,3780.6075401442504
241,1444,252,50835.07406224962,7057.656250644197
242,2977,126,50373.46694335879,7221.876876864779
243,1487,49,50283.57048394278,16761.49147362628
244,1935,87,50097.721478312145,2312.8687788509887
245,2086,70,49763.49876138743,3006.1073015590755
246,1859,578,49491.37419500698,6751.63611773112
247,2758,303,49105.60993562334,2653.2584885488277
248,1219,51,48786.1876026651,6333.8185340218115
249,306,6,48695.6328537684,2319.7042495368287
250,1025,130,48509.49165809323,11255.646335199635
251,2591,302,48440.50532830577,4918.080367397546
