split_mode,seed,molecular_latent_l2_mean,condition_latent_l2_mean,V1_molecular_projection_gradient_l2,V1_condition_encoder_gradient_l2,V2_molecular_projection_gradient_l2,V2_condition_encoder_gradient_l2
row,42,10.949101448059082,12.175128936767578,3.1180185043893176,25.312370189109146,20.145709673082855,48.02295443155694
row,525,11.910100936889648,12.513067245483398,9.235032918422919,27.954644619228045,30.99414398322617,202.8987363012541
row,1101,10.154655456542969,10.248631477355957,6.229969510554713,12.60331486640013,6.169743325861305,22.812463485996698
compound,42,10.148298263549805,10.81490421295166,21.569728041258795,14.824148759901451,38.58565834013476,58.08325448933671
compound,525,10.171417236328125,10.570088386535645,16.468217352389107,37.1340295004086,44.884925911229786,76.23937850928513
compound,1101,9.808572769165039,9.656255722045898,6.932623646819738,9.753690690623053,16.893648369206566,26.75107925245241
