split_mode,seed,prediction_mode,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,delta_V1_rmse,delta_V1_mae,delta_V1_r2,delta_V2_rmse,delta_V2_mae,delta_V2_r2
row,42,full,5.65983772277832,4.23475456237793,0.482169508934021,10.882891654968262,7.720042705535889,0.5011574029922485,0.0,0.0,0.0,0.0,0.0,0.0
row,42,condition_permuted,10.354024887084961,7.304330825805664,-0.7329978942871094,19.587940216064453,13.926275253295898,-0.6160410642623901,4.694187164306641,3.0695762634277344,-1.2151674032211304,8.705048561096191,6.20623254776001,-1.1171984672546387
row,42,condition_disabled,9.18680191040039,6.662600040435791,-0.3642951250076294,18.821809768676758,13.955073356628418,-0.49209892749786377,3.5269641876220703,2.4278454780578613,-0.8464646339416504,7.938918113708496,6.235030651092529,-0.9932563304901123
row,42,condition_only,8.638456344604492,6.547119140625,-0.20629048347473145,15.870923042297363,11.755051612854004,-0.06091165542602539,2.978618621826172,2.3123645782470703,-0.6884599924087524,4.988031387329102,4.035008907318115,-0.5620690584182739
row,525,full,5.411566734313965,4.289863586425781,0.47125697135925293,11.080193519592285,8.289222717285156,0.49516141414642334,0.0,0.0,0.0,0.0,0.0,0.0
row,525,condition_permuted,10.444642066955566,7.651177406311035,-0.9696351289749146,19.968793869018555,14.85473346710205,-0.6396893262863159,5.033075332641602,3.361313819885254,-1.4408921003341675,8.88860034942627,6.5655107498168945,-1.1348507404327393
row,525,condition_disabled,8.501006126403809,6.651994705200195,-0.30478596687316895,18.046995162963867,13.801774978637695,-0.33926868438720703,3.0894393920898438,2.362131118774414,-0.7760429382324219,6.966801643371582,5.512552261352539,-0.8344300985336304
row,525,condition_only,8.74927043914795,6.889479160308838,-0.38210904598236084,17.273862838745117,12.989689826965332,-0.22697818279266357,3.3377037048339844,2.5996155738830566,-0.8533660173416138,6.193669319152832,4.700467109680176,-0.7221395969390869
row,1101,full,6.416657447814941,4.131248950958252,0.3552137017250061,13.108890533447266,7.450737953186035,0.38016653060913086,0.0,0.0,0.0,0.0,0.0,0.0
row,1101,condition_permuted,8.311079978942871,5.757489204406738,-0.08171534538269043,15.784797668457031,10.058459281921387,0.10128659009933472,1.8944225311279297,1.6262402534484863,-0.43692904710769653,2.6759071350097656,2.6077213287353516,-0.27887994050979614
row,1101,condition_disabled,9.22790813446045,6.447607517242432,-0.3335355520248413,18.55577278137207,12.48746395111084,-0.24194180965423584,2.811250686645508,2.3163585662841797,-0.6887492537498474,5.446882247924805,5.036725997924805,-0.6221083402633667
row,1101,condition_only,8.028783798217773,4.988851070404053,-0.009479761123657227,17.322046279907227,9.757270812988281,-0.08228480815887451,1.612126350402832,0.8576021194458008,-0.36469346284866333,4.213155746459961,2.306532859802246,-0.46245133876800537
compound,42,full,7.897414684295654,5.130354881286621,0.18596625328063965,15.197406768798828,9.20095443725586,0.20269495248794556,0.0,0.0,0.0,0.0,0.0,0.0
compound,42,condition_permuted,9.847206115722656,6.730389595031738,-0.2656062841415405,17.856199264526367,11.617857933044434,-0.10068631172180176,1.949791431427002,1.6000347137451172,-0.4515725374221802,2.658792495727539,2.416903495788574,-0.3033812642097473
compound,42,condition_disabled,10.85295581817627,7.736658096313477,-0.5373353958129883,21.565610885620117,15.204253196716309,-0.6054953336715698,2.9555411338806152,2.6063032150268555,-0.7233016490936279,6.368204116821289,6.003298759460449,-0.8081902861595154
compound,42,condition_only,9.175148963928223,5.913437843322754,-0.09874987602233887,17.432138442993164,10.266314506530762,-0.049027323722839355,1.2777342796325684,0.7830829620361328,-0.2847161293029785,2.234731674194336,1.0653600692749023,-0.2517222762107849
compound,525,full,5.625692844390869,3.9214096069335938,0.382686972618103,10.73215103149414,6.363572597503662,0.39582711458206177,0.0,0.0,0.0,0.0,0.0,0.0
compound,525,condition_permuted,7.805652141571045,5.513420581817627,-0.1884251832962036,13.540645599365234,9.07876205444336,0.038240671157836914,2.179959297180176,1.5920109748840332,-0.5711121559143066,2.8084945678710938,2.7151894569396973,-0.35758644342422485
compound,525,condition_disabled,8.394550323486328,6.347743511199951,-0.37451136112213135,16.211811065673828,11.478411674499512,-0.378639817237854,2.768857479095459,2.4263339042663574,-0.7571983337402344,5.4796600341796875,5.11483907699585,-0.7744669318199158
compound,525,condition_only,7.805730819702148,5.4077606201171875,-0.18844902515411377,14.239705085754395,7.865790843963623,-0.06362771987915039,2.1800379753112793,1.4863510131835938,-0.5711359977722168,3.507554054260254,1.502218246459961,-0.45945483446121216
compound,1101,full,6.723260879516602,4.15593957901001,0.15627044439315796,13.571341514587402,7.3521294593811035,0.19385236501693726,0.0,0.0,0.0,0.0,0.0,0.0
compound,1101,condition_permuted,7.600533485412598,4.968295097351074,-0.07827973365783691,14.663015365600586,8.468466758728027,0.05894362926483154,0.8772726058959961,0.8123555183410645,-0.23455017805099487,1.0916738510131836,1.1163372993469238,-0.1349087357521057
compound,1101,condition_disabled,8.170003890991211,5.038693428039551,-0.24591350555419922,16.757722854614258,9.56804370880127,-0.2291334867477417,1.4467430114746094,0.882753849029541,-0.4021839499473572,3.1863813400268555,2.215914249420166,-0.42298585176467896
compound,1101,condition_only,7.821966171264648,4.354030609130859,-0.14202392101287842,17.37162971496582,9.529581069946289,-0.3208400011062622,1.0987052917480469,0.1980910301208496,-0.2982943654060364,3.800288200378418,2.1774516105651855,-0.5146923661231995
