column,protocol,seed,fold,method,n_train,n_valid,unique_train_compounds,unique_valid_compounds,selected_penalty,free_coefficients,physical_projection_frequency,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,769539383,0,M0_scale_only,256,64,63,14,0.0,2,,7.96038494521167,4.989906498575102,0.2776453138230459,7.812822136169022,6.15704294261635,0.7534602018429752,0.7927070066456796,0.7927070066456796,0.7481111807682137,0.7481111807682137,True
25g,row,769539383,0,M1_conditional_EA,256,64,63,14,0.0,6,,7.537388872523008,5.331975629944006,0.35237411386957973,8.533157294119482,6.691320809285218,0.7059029531624826,0.7735451826083289,0.7735451826083289,0.7436735113561325,0.7436735113561325,True
25g,row,769539383,0,M2_EA_source_magnitude,256,64,63,14,0.0,8,,7.983234941637231,5.892838815636445,0.2734923760533149,8.462897960669283,6.6810409351655835,0.7107260204498347,0.8073332050449866,0.8073332050449866,0.7697793056023206,0.7697793056023206,True
25g,row,769539383,0,M3_center_width,256,64,63,14,1.0,8,0.0,6.970487931212918,4.628155975509486,0.4461288880979888,8.832582334069764,6.9322217110882915,0.6849013444584631,0.7363421136316664,0.7363421136316664,0.7170135844687888,0.7170135844687888,True
25g,row,769539383,1,M0_scale_only,256,64,62,15,0.0,2,,6.881723256405249,4.712712735905371,0.5719108061827882,9.217072565550797,6.746042568968787,0.7124324128854036,0.7387311541294901,0.7387311541294901,0.7233392021784592,0.7233392021784592,True
25g,row,769539383,1,M1_conditional_EA,256,64,62,15,0.0,6,,6.777835586355959,4.871322342417338,0.5847382622850643,8.952607364383926,6.73539751324405,0.7286979995475111,0.72456881300015,0.72456881300015,0.7085218538419944,0.7085218538419944,True
25g,row,769539383,1,M2_EA_source_magnitude,256,64,62,15,0.0,8,,6.91270080229652,4.921363658100484,0.5680481109888124,9.666260729390432,7.423398722107046,0.6837205823063571,0.7520467491523637,0.7520467491523637,0.7392751937116975,0.7392751937116975,True
25g,row,769539383,1,M3_center_width,256,64,62,15,1.0,8,0.0,5.804451051713135,4.172054760803755,0.6954475034563818,9.023509613552367,6.77785450091576,0.7243837047456505,0.6548571728302649,0.6548571728302649,0.6489613537668575,0.6489613537668575,True
25g,row,769539383,2,M0_scale_only,256,64,61,16,0.0,2,,12.744359799945142,6.802484082037223,-0.6529241404607256,14.77195604146388,8.235469947865656,0.4072313428240042,1.3153311361910174,1.3153311361910174,1.2681139812167568,1.2681139812167568,True
25g,row,769539383,2,M1_conditional_EA,256,64,61,16,0.0,6,,12.791651188134422,5.739069765901436,-0.6652141435894952,15.144620640002154,8.08324866638932,0.37694552861247743,1.3271734409493643,1.3271734409493643,1.2827051791082305,1.2827051791082305,True
25g,row,769539383,2,M2_EA_source_magnitude,256,64,61,16,0.1,8,,16.263614673319925,6.1555553060399255,-1.6918510607652024,17.39572747007875,8.106113381158924,0.17795723894702964,1.6478692704633628,1.6478692704633628,1.573029263859595,1.573029263859595,True
25g,row,769539383,2,M3_center_width,256,64,61,16,1.0,8,0.0,11.998928062632059,5.256680300788573,-0.4652164088599582,15.533189226520479,8.032774997609014,0.3445637083466123,1.2752228067853746,1.2752228067853746,1.2444882916593167,1.2444882916593167,True
25g,row,769539383,3,M0_scale_only,256,64,61,16,0.0,2,,7.123547714057821,5.345117002630938,0.5099198078492949,8.512337230006597,6.810382906280515,0.7842226699499502,0.7408278597314968,0.7408278597314968,0.7167658877227854,0.7167658877227854,True
25g,row,769539383,3,M1_conditional_EA,256,64,61,16,0.0,6,,6.32028274601629,4.7854789479010265,0.6142130884090586,7.455388351649615,5.639350723343839,0.8344806716129795,0.6551430325395523,0.6551430325395523,0.6329226315235066,0.6329226315235066,True
25g,row,769539383,3,M2_EA_source_magnitude,256,64,61,16,0.0,8,,6.51723424010909,4.735485154997182,0.5897948243672559,7.423170100664972,5.694031656492589,0.835908154760419,0.6698103167882842,0.6698103167882842,0.6444180657044143,0.6444180657044143,True
25g,row,769539383,3,M3_center_width,256,64,61,16,1.0,8,0.0,5.389363397942063,4.226661574700912,0.7194893131473343,7.652695874172178,5.6196793044618865,0.8256037739209054,0.5892335197423997,0.5892335197423997,0.5799881051799577,0.5799881051799577,True
25g,row,769539383,4,M0_scale_only,256,64,61,16,0.0,2,,7.435379168729016,4.8732126732500625,0.4172716274261774,10.682581054972559,7.294269992696918,0.6996026457770874,0.8160733991534055,0.8160733991534055,0.8040503612070375,0.8040503612070375,True
25g,row,769539383,4,M1_conditional_EA,256,64,61,16,0.0,6,,6.164220637390457,4.14458529332501,0.5994873168307946,9.67296328006494,6.915885385498027,0.7537009209022212,0.6978569010414053,0.6978569010414053,0.6919892002846544,0.6919892002846544,True
25g,row,769539383,4,M2_EA_source_magnitude,256,64,61,16,0.1,8,,6.202042032749439,4.059720963079033,0.5945574414884112,10.178953492620234,7.2578161862659,0.7272592879774922,0.714285167920975,0.714285167920975,0.7101260813497994,0.7101260813497994,True
25g,row,769539383,4,M3_center_width,256,64,61,16,1.0,8,0.0,5.494302843429238,3.5745280624774183,0.6818110371372194,9.675446473945215,7.043549444658419,0.7535744473795342,0.6513076150556117,0.6513076150556117,0.6495571171868718,0.6495571171868718,True
25g,row,1425370602,0,M0_scale_only,261,66,63,15,0.0,2,,8.07609831489468,5.688808660497294,0.4581695243255195,10.155803329007922,7.991046582458101,0.5854267572891065,0.8513364871765701,0.8513364871765701,0.828323427828939,0.828323427828939,True
25g,row,1425370602,0,M1_conditional_EA,261,66,63,15,0.0,6,,7.529105599370814,5.090706020038132,0.5290801349058927,10.32908703504006,7.8476831103464555,0.5711587252421026,0.8141876446599755,0.8141876446599755,0.7990036111496521,0.7990036111496521,True
25g,row,1425370602,0,M2_EA_source_magnitude,261,66,63,15,1.0,8,,7.467186964622676,4.89147105658848,0.5367938840399837,9.972511913161307,7.282498272180914,0.6002561120903936,0.800886662850117,0.800886662850117,0.7839846516086637,0.7839846516086637,True
25g,row,1425370602,0,M3_center_width,261,66,63,15,1.0,8,0.0,7.583834504668865,4.678076057815838,0.5222090398500006,10.015522794307476,7.626284642170793,0.5968005305984588,0.8106916149238574,0.8106916149238574,0.7927241589313698,0.7927241589313698,True
25g,row,1425370602,1,M0_scale_only,261,66,62,16,0.0,2,,6.069392982019129,4.76393659037006,0.5255388323225774,10.154740359060792,7.326002398630764,0.6299070257201922,0.704373676271607,0.704373676271607,0.7009558397921869,0.7009558397921869,True
25g,row,1425370602,1,M1_conditional_EA,261,66,62,16,0.0,6,,5.722427763395844,4.540633599487389,0.5782347493858111,9.645156618177014,7.143297036966846,0.666118956921498,0.6660896944491238,0.6660896944491238,0.6630906217719083,0.6630906217719083,True
25g,row,1425370602,1,M2_EA_source_magnitude,261,66,62,16,0.1,8,,5.546230359360323,4.279200964814961,0.6038077603996759,9.957827770237325,7.355264721167123,0.6441209567417281,0.6629810464133494,0.6629810464133494,0.6616345722277487,0.6616345722277487,True
25g,row,1425370602,1,M3_center_width,261,66,62,16,0.1,8,0.0,5.769798213104059,4.520653894887289,0.5712230736749913,9.584446992961288,7.1805170622401615,0.6703088320248296,0.6676832881252875,0.6676832881252875,0.6642083440717628,0.6642083440717628,True
25g,row,1425370602,2,M0_scale_only,262,65,63,15,0.0,2,,9.478576045953385,6.439270274458113,0.040024158941320276,9.357841549783913,6.093107812623877,0.776203569507758,0.9449413881120972,0.9449413881120972,0.8924993508205382,0.8924993508205382,True
25g,row,1425370602,2,M1_conditional_EA,262,65,63,15,0.0,6,,8.79285619472749,5.203170806789372,0.17389728974277063,8.905149571275834,5.801013097777253,0.7973324500534726,0.8809222188784617,0.8809222188784617,0.8349080259512149,0.8349080259512149,True
25g,row,1425370602,2,M2_EA_source_magnitude,262,65,63,15,0.1,8,,9.285127866749182,4.825495373354062,0.0788085809563045,8.2617087517791,5.461979840560645,0.8255618217758511,0.9090216437649073,0.9090216437649073,0.846133057657499,0.846133057657499,True
25g,row,1425370602,2,M3_center_width,262,65,63,15,1.0,8,0.0,7.681166010448977,4.245156029699339,0.36958228416240757,8.623108549727123,5.655131769281658,0.8099667976133427,0.7867516460173982,0.7867516460173982,0.7555944200090297,0.7555944200090297,True
25g,row,1425370602,3,M0_scale_only,262,65,62,16,0.0,2,,7.6703141489031434,5.137606417779826,0.4558848248747034,9.269054078109367,7.422225402911372,0.7437048693232048,0.7999970156497571,0.7999970156497571,0.7749955520550234,0.7749955520550234,True
25g,row,1425370602,3,M1_conditional_EA,262,65,62,16,0.0,6,,6.915613908995575,4.982795179725075,0.5576907584026087,9.269565394442388,7.504806848848148,0.7436765921117796,0.7425406596566251,0.7425406596566251,0.72712231143688,0.72712231143688,True
25g,row,1425370602,3,M2_EA_source_magnitude,262,65,62,16,0.1,8,,6.75395346448139,4.938312696440907,0.5781280374085572,9.093292023001002,7.135608278199216,0.7533325751963933,0.7261604384277618,0.7261604384277618,0.7113818979468796,0.7113818979468796,True
25g,row,1425370602,3,M3_center_width,262,65,62,16,1.0,8,0.0,6.374754934311164,4.8595416672343195,0.6241699316582466,9.310964674606598,7.464523019570203,0.7413819211885482,0.7035399000509488,0.7035399000509488,0.6940899341014527,0.6940899341014527,True
25g,row,1425370602,4,M0_scale_only,262,65,62,16,0.0,2,,7.209962134225317,4.921647818444528,0.5670574968450366,7.829406273528459,5.359789005853746,0.7969062198746588,0.7329461324923439,0.7329461324923439,0.7010092476410666,0.7010092476410666,True
25g,row,1425370602,4,M1_conditional_EA,262,65,62,16,0.0,6,,6.329531325471224,4.134786452885343,0.6663375278661127,7.328033813826253,4.869406256426522,0.8220844558141226,0.653079037528417,0.653079037528417,0.6295486067731659,0.6295486067731659,True
25g,row,1425370602,4,M2_EA_source_magnitude,262,65,62,16,1.0,8,,6.330805435250955,4.321165412162255,0.6662031844574878,6.537875773895321,4.496958613271265,0.8583840100259277,0.6367467140377314,0.6367467140377314,0.605054529587572,0.605054529587572,True
25g,row,1425370602,4,M3_center_width,262,65,62,16,1.0,8,0.0,5.752718150804274,3.6583135511683063,0.7243801770404192,6.96997769521829,4.648670057877952,0.8390460124130547,0.6004044687504426,0.6004044687504426,0.5818111992704932,0.5818111992704932,True
25g,row,536279090,0,M0_scale_only,261,65,63,14,0.0,2,,9.643068640820955,6.761399568977805,0.20842789476986068,12.171670979069154,8.921046611021799,0.5856997729756326,1.0175663419798302,1.0175663419798302,0.9904508424195686,0.9904508424195686,True
