column,protocol,seed,target,variable,support,missingness,unique_levels,compound_levels,min,max,std,oof_residual_rank_corr,ratio_rank_corr,partial_source_rank_corr,compound_controlled_rank_corr,common_support_levels,note
25g,row,769539383,V1,EA_fraction,320,0.0,7,77,0.0196078431372549,1.0,0.3435169161322168,0.04188047554883205,-0.5174044747463076,0.24322468754803808,-0.21347751402896378,7,observational OOF association; no causal interpretation
25g,row,769539383,V1,source_magnitude,320,0.0,319,77,0.3525278825324393,1.1968594847882348,0.12069503179797444,0.2967897907440934,0.1693539032382437,,0.3034593292354519,0,observational OOF association; no causal interpretation
25g,row,769539383,V1,source_width,320,0.0,319,77,1.6459186,23.1617635,3.542564964898411,0.2609077231809883,0.3710026194411051,0.0721636751973602,0.397704712021946,0,observational OOF association; no causal interpretation
25g,row,769539383,V1,source_center,320,0.0,319,77,4.8763611,27.015292000000002,2.941748733313105,0.2920158179049446,0.2198772284040773,0.04147489613011034,0.333663628579076,0,observational OOF association; no causal interpretation
25g,row,769539383,V1,loading_solvent,320,0.0,2,77,0.0,1.0,0.40907670429883924,0.06268407826455473,0.17531694712513987,0.20598616130157862,-0.0034587593459656854,2,observational OOF association; no causal interpretation
25g,row,769539383,V1,loading_amount,320,0.0,79,77,48.75,352.2,58.43649789748237,-0.13526785905240235,-0.07763920549916484,-0.1763132613886552,-0.014019227501045882,4,observational OOF association; no causal interpretation
25g,row,769539383,V1,loading_solvent_volume,320,0.0,6,77,300.0,900.0,107.87317133444256,-0.16364052199998985,-0.030632309099779393,-0.23403526591158821,,2,observational OOF association; no causal interpretation
25g,row,769539383,V2,EA_fraction,320,0.0,7,77,0.0196078431372549,1.0,0.3435169161322168,0.029412226780318847,-0.15928059695699456,0.15174996994751938,-0.09754217263587908,7,observational OOF association; no causal interpretation
25g,row,769539383,V2,source_magnitude,320,0.0,319,77,0.3525278825324393,1.1968594847882348,0.12069503179797444,0.07713998157391538,0.020729940666834666,,0.06339233389709079,0,observational OOF association; no causal interpretation
25g,row,769539383,V2,source_width,320,0.0,319,77,1.6459186,23.1617635,3.542564964898411,-0.02002552698502255,-0.07113790825025558,-0.14973725479532835,0.09579392213412455,0,observational OOF association; no causal interpretation
25g,row,769539383,V2,source_center,320,0.0,319,77,4.8763611,27.015292000000002,2.941748733313105,0.05423728999770132,-0.004569991336279366,-0.09354126629116899,0.07260593244197287,0,observational OOF association; no causal interpretation
25g,row,769539383,V2,loading_solvent,320,0.0,2,77,0.0,1.0,0.40907670429883924,0.07178071231350067,0.09352993735779867,0.10727321317284758,-0.053363715623470566,2,observational OOF association; no causal interpretation
25g,row,769539383,V2,loading_amount,320,0.0,79,77,48.75,352.2,58.43649789748237,0.0061981416950687394,0.03208874244105994,0.0003341707744494688,0.05642938503276223,4,observational OOF association; no causal interpretation
25g,row,769539383,V2,loading_solvent_volume,320,0.0,6,77,300.0,900.0,107.87317133444256,-0.18100605006983417,-0.20813192692784566,-0.13563909336630786,,2,observational OOF association; no causal interpretation
25g,row,1425370602,V1,EA_fraction,327,0.0,7,78,0.0196078431372549,1.0,0.3368916600764064,0.05797915520974346,-0.491106843427247,0.16625405936431778,-0.15778963414099517,7,observational OOF association; no causal interpretation
25g,row,1425370602,V1,source_magnitude,327,0.0,325,78,0.3525278825324393,0.9741836358179342,0.11094960761796034,0.11822430427750996,0.20326447965062952,,0.2103630081569403,0,observational OOF association; no causal interpretation
25g,row,1425370602,V1,source_width,327,0.0,325,78,1.7963569999999995,21.818364600000002,3.2964707311785215,0.1958112937199464,0.4141388141722818,0.18332839989189598,0.2967261570246914,0,observational OOF association; no causal interpretation
25g,row,1425370602,V1,source_center,327,0.0,325,78,4.8763611,19.397289,2.612259343580921,0.13594076438312877,0.25958704950172623,0.2220765927508473,0.23636876872033308,0,observational OOF association; no causal interpretation
25g,row,1425370602,V1,loading_solvent,327,0.0,2,78,0.0,1.0,0.3967528988434705,0.16265460899006065,0.1598783757040857,0.14992308121302822,0.052431804578892446,2,observational OOF association; no causal interpretation
