column,protocol,seed,method,n_rows,unique_compounds,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,row,769539383,M0_scale_only,320,77,8.708321831230023,5.34468659847974,0.23640598251148348,10.495548816659356,7.048641671685646,0.6631248465667805,0.9076349293477349,0.9076349293477349,0.8790073880613288,0.8790073880613288,True
25g,row,769539383,M1_conditional_EA,320,77,8.298448245620735,4.974486395897763,0.30659438323998334,10.309922603472662,6.813040619552089,0.6749355438992997,0.8718919777227692,0.8718919777227692,0.847225842936989,0.847225842936989,True
25g,row,769539383,M2_EA_source_magnitude,320,77,9.559940400171088,5.152992779570614,0.07975398573108727,11.192704062404584,7.032480176238008,0.6168853877650573,0.9891090446461624,0.9891090446461624,0.9547288569581072,0.9547288569581072,True
25g,row,769539383,M3_center_width,320,77,7.55627196749204,4.371616134856028,0.42507825220237205,10.515666622650567,6.881215991746674,0.6618321682444868,0.8208079656384693,0.8208079656384693,0.806530303767512,0.806530303767512,True
25g,row,1425370602,M0_scale_only,327,78,7.777282664279293,5.38925162003549,0.419626407865312,9.39680322311886,6.843450083003515,0.717222154898775,0.8111196408874471,0.8111196408874471,0.7857563498299762,0.7857563498299762,True
25g,row,1425370602,M1_conditional_EA,327,78,7.133676319485896,4.790572854586149,0.5117090492093685,9.155752079840653,6.638514963061324,0.7315439694598912,0.7562942107697854,0.7562942107697854,0.737419617940253,0.737419617940253,True
25g,row,1425370602,M2_EA_source_magnitude,327,78,7.185686681669244,4.650726696452131,0.5045630090461385,8.864924240260898,6.352409465269094,0.7483278422403665,0.7535512252574128,0.7535512252574128,0.7316747930102729,0.7316747930102729,True
25g,row,1425370602,M3_center_width,327,78,6.686672649789807,4.393614397568912,0.5709854701897127,8.96979226318845,6.520458799781531,0.7423382893216217,0.7181302766001886,0.7181302766001886,0.7032716255726239,0.7032716255726239,True
25g,row,536279090,M0_scale_only,326,77,7.520578434430359,5.2164351595251315,0.46707556504347525,9.592644348784573,6.825450641875077,0.7140678434912152,0.7959179946519878,0.7959179946519878,0.7755582149299377,0.7755582149299377,True
25g,row,536279090,M1_conditional_EA,326,77,6.642595985087511,4.4497955251569214,0.5842437173835746,9.104146851814782,6.433439837500085,0.7424480619578693,0.7181070092650522,0.7181070092650522,0.7046533613397887,0.7046533613397887,True
25g,row,536279090,M2_EA_source_magnitude,326,77,6.730270655958663,4.427031875916166,0.5731962735739385,8.944239026564153,6.329445961923624,0.751416037147942,0.7207885328351594,0.7207885328351594,0.7052433779003463,0.7052433779003463,True
25g,row,536279090,M3_center_width,326,77,6.265592186675504,4.168539959052476,0.6300973932876526,8.951795822699872,6.336837502613515,0.7509958131633596,0.6864158924062657,0.6864158924062657,0.6759924536254729,0.6759924536254729,True
25g,row,2767143051,M0_scale_only,320,78,8.694736969878736,5.476080622251246,0.2124580753957377,10.51351539059655,6.902708091770575,0.6596622520994174,0.9069881635381184,0.9069881635381184,0.8787041505923181,0.8787041505923181,True
25g,row,2767143051,M1_conditional_EA,320,78,7.718990134121683,4.9744550746251015,0.3792999826827108,10.289017969601618,6.650783353800362,0.6740416861886811,0.8274174343085692,0.8274174343085692,0.809806444435017,0.809806444435017,True
25g,row,2767143051,M2_EA_source_magnitude,320,78,8.548288782979172,5.224085509622496,0.2387642841351133,11.750896361464397,7.0530696862712485,0.5748362753490348,0.9249805042629298,0.9249805042629298,0.9078954809633227,0.9078954809633227,True
25g,row,2767143051,M3_center_width,320,78,7.52560572761108,4.500289768016369,0.4100112793577667,10.44803696657626,6.745616389846008,0.6638883141678544,0.8168588650012747,0.8168588650012747,0.8024810234003537,0.8024810234003537,True
25g,row,1362771960,M0_scale_only,315,77,9.00420522779899,5.700570467567541,0.22972338893566657,10.798203673108269,7.2453267517997535,0.6487704894316085,0.9372689705487446,0.9372689705487446,0.9071954806119892,0.9071954806119892,True
25g,row,1362771960,M1_conditional_EA,315,77,8.252916121279604,5.233742132816943,0.35290088897823735,10.39001027222114,6.956423130681056,0.6748229230419795,0.8702493479481863,0.8702493479481863,0.8468274526227235,0.8468274526227235,True
25g,row,1362771960,M2_EA_source_magnitude,315,77,8.547286863116119,5.317357930079675,0.3059152527269817,11.612373817137197,7.342555621958664,0.5938092915772011,0.9215150808740152,0.9215150808740152,0.9035236763954134,0.9035236763954134,True
25g,row,1362771960,M3_center_width,315,77,7.910476329820183,4.785538651243077,0.40548719719895776,10.472487154781346,6.984102361666376,0.669639859867406,0.8462208363593963,0.8462208363593963,0.8276632357256165,0.8276632357256165,True
25g,compound,769539383,M0_scale_only,310,61,8.604132557063533,5.429553778635751,0.2632455323918059,10.273635599935055,6.82968870237095,0.6379691843242361,0.8946279020018172,0.8946279020018172,0.8654943226960865,0.8654943226960865,True
25g,compound,769539383,M1_conditional_EA,310,61,7.912320815779892,4.935124927753128,0.37695937017619385,10.468672434014994,7.020193685719014,0.6240929718248537,0.8462683885797172,0.8462683885797172,0.8276616340083629,0.8276616340083629,True
25g,compound,769539383,M2_EA_source_magnitude,310,61,9.051383381855134,4.974994512105155,0.1846604421422201,11.6583878668909,7.285873036665585,0.5337979019371804,0.9605741777215873,0.9605741777215873,0.9369419759632364,0.9369419759632364,True
25g,compound,769539383,M3_center_width,310,61,7.355840106552976,4.452968938033375,0.4615155658949949,10.34995234075279,6.883329464459128,0.6325705829385384,0.8018524145888063,0.8018524145888063,0.7886580697530184,0.7886580697530184,True
25g,compound,1425370602,M0_scale_only,318,61,8.606637741204333,5.2182087052390616,0.264801607888175,10.922391773767483,7.044717689246883,0.6176889365676143,0.909565168353235,0.909565168353235,0.8858304343623322,0.8858304343623322,True
25g,compound,1425370602,M1_conditional_EA,318,61,7.797017248276613,4.9125323271526975,0.39661502541141824,10.79684231622551,6.952988136221839,0.6264275134688234,0.8456266183498103,0.8456266183498103,0.8305516040948144,0.8305516040948144,True
25g,compound,1425370602,M2_EA_source_magnitude,318,61,8.003621326513622,4.952493839029201,0.36421457627924925,12.04485921278019,7.317075768553432,0.5350729423221334,0.8924806813495797,0.8924806813495797,0.8824764881864291,0.8824764881864291,True
25g,compound,1425370602,M3_center_width,318,61,7.525246077500062,4.434686271369889,0.4379448734435778,10.814905662148204,6.971172206175893,0.6251764784715164,0.8260180994550289,0.8260180994550289,0.8138682874269779,0.8138682874269779,True
