column,protocol,seed,method,target,variable,stratum,n,row_fraction,rmse,mae,signed_error,sse_fraction
25g,row,769539383,M1_conditional_EA_OOF,V1,EA_fraction,0,136,0.425,11.78959979253217,7.754734607551245,0.6138909979378385,0.8578142889662453
25g,row,769539383,M1_conditional_EA_OOF,V1,EA_fraction,1,118,0.36875,4.768607477260107,3.5576492292610826,-1.3931112823114558,0.12176469919786774
25g,row,769539383,M1_conditional_EA_OOF,V1,EA_fraction,2,66,0.20625,2.61119039585039,1.7786231970834459,0.6170155820048911,0.02042101183588684
25g,row,769539383,M1_conditional_EA_OOF,V1,source_magnitude,0,107,0.334375,3.3058654587878458,2.6644338533490783,-1.467494381823985,0.053065268907868494
25g,row,769539383,M1_conditional_EA_OOF,V1,source_magnitude,1,106,0.33125,4.360351960869254,3.6492838167825727,-2.1128784002736496,0.09145452530303558
25g,row,769539383,M1_conditional_EA_OOF,V1,source_magnitude,2,107,0.334375,13.273485286093551,8.597356446728789,3.1851596458251437,0.8554802057890958
25g,row,769539383,M1_conditional_EA_OOF,V1,source_width,0,107,0.334375,3.616211917537375,2.9160434752586313,-1.46452067331347,0.06349620449459252
25g,row,769539383,M1_conditional_EA_OOF,V1,source_width,1,106,0.33125,4.771344929293885,3.6523790001503507,-1.6640134501464403,0.10950746728784658
25g,row,769539383,M1_conditional_EA_OOF,V1,source_width,2,107,0.334375,13.05063912552505,8.342680568398817,2.737515986721318,0.8269963282175607
25g,row,769539383,M1_conditional_EA_OOF,V1,loading solvent,DCM,252,0.7875,7.322774224790766,4.993469646347638,0.287265010897216,0.6132083659665308
25g,row,769539383,M1_conditional_EA_OOF,V1,loading solvent,PE,68,0.2125,11.195821318536893,4.904136703054111,-1.6553780871614905,0.38679163403346917
25g,row,769539383,M1_conditional_EA_OOF,V2,EA_fraction,0,136,0.425,13.103406114358151,9.252517687220397,-0.19067620399100213,0.6865094544545365
25g,row,769539383,M1_conditional_EA_OOF,V2,EA_fraction,1,118,0.36875,6.857160916452503,4.826391452784279,-0.3765659090111408,0.16312100975811553
25g,row,769539383,M1_conditional_EA_OOF,V2,EA_fraction,2,66,0.20625,8.803155146966953,5.33812729342652,1.1426419375045558,0.15036953578734777
25g,row,769539383,M1_conditional_EA_OOF,V2,source_magnitude,0,107,0.334375,6.256106465351456,3.9424239410739714,-0.026367384681144235,0.1231207496094981
25g,row,769539383,M1_conditional_EA_OOF,V2,source_magnitude,1,106,0.33125,7.5236189704855425,5.867828488691142,-1.4261868693603534,0.17640003319003172
25g,row,769539383,M1_conditional_EA_OOF,V2,source_magnitude,2,107,0.334375,14.92231256838109,10.620035670658812,1.4863994876849507,0.7004792172004701
25g,row,769539383,M1_conditional_EA_OOF,V2,source_width,0,107,0.334375,5.943764790475525,3.6819649656275275,0.6362045710439289,0.11113381402034989
25g,row,769539383,M1_conditional_EA_OOF,V2,source_width,1,106,0.33125,7.5306859427514405,5.936370175187604,-1.1639566238149002,0.17673157566248937
25g,row,769539383,M1_conditional_EA_OOF,V2,source_width,2,107,0.334375,15.045947844458663,10.812593536118106,0.5640480363727924,0.712134610317161
25g,row,769539383,M1_conditional_EA_OOF,V2,loading solvent,DCM,252,0.7875,9.699562235632305,7.003669179927085,0.6996591160664969,0.6970180428457222
25g,row,769539383,M1_conditional_EA_OOF,V2,loading solvent,PE,68,0.2125,12.310744591388323,6.106593601691812,-2.5186245644051097,0.3029819571542777
25g,row,1425370602,M1_conditional_EA_OOF,V1,EA_fraction,0,141,0.43119266055045874,9.59567304079409,7.076721738340905,0.5298651430214709,0.7801811322927188
25g,row,1425370602,M1_conditional_EA_OOF,V1,EA_fraction,1,122,0.3730886850152905,5.1242682493346114,3.6448545413368008,-0.9546173574184541,0.19250809263261653
25g,row,1425370602,M1_conditional_EA_OOF,V1,EA_fraction,2,64,0.19571865443425077,2.664798050980122,1.9379266296955282,0.4418790594753944,0.027310775074664555
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_magnitude,0,109,0.3333333333333333,3.385205236625661,2.3386473994114523,-0.4288177232437876,0.07506231483492501
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_magnitude,1,109,0.3333333333333333,4.477419056060954,3.765821101629349,-1.8855924349857933,0.13131291188524305
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_magnitude,2,109,0.3333333333333333,11.007321090797978,8.267250062717647,2.1908131616002344,0.793624773279832
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_width,0,109,0.3333333333333333,3.470322345173189,2.7723934663435776,-1.3785412152793193,0.07888448211134064
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_width,1,109,0.3333333333333333,4.739827324875182,3.599795913471103,-1.0617080005679143,0.147155665129408
25g,row,1425370602,M1_conditional_EA_OOF,V1,source_width,2,109,0.3333333333333333,10.870092605150143,7.9995291839437686,2.3166522192178878,0.7739598527592517
25g,row,1425370602,M1_conditional_EA_OOF,V1,loading solvent,DCM,263,0.8042813455657493,7.432072687446779,4.983240256989058,0.27722735074772215,0.8729735653231732
25g,row,1425370602,M1_conditional_EA_OOF,V1,loading solvent,PE,64,0.19571865443425077,5.747041637494197,3.9988302478366955,-1.3497322793632756,0.12702643467682692
25g,row,1425370602,M1_conditional_EA_OOF,V2,EA_fraction,0,141,0.43119266055045874,11.244695460045975,8.898678833715456,-0.5665304998734683,0.6503972664065508
25g,row,1425370602,M1_conditional_EA_OOF,V2,EA_fraction,1,122,0.3730886850152905,6.838119310286495,5.031319481317806,0.29101479205577213,0.20811212197840295
25g,row,1425370602,M1_conditional_EA_OOF,V2,EA_fraction,2,64,0.19571865443425077,7.7846972184932275,4.722807822600015,0.4109117055862414,0.1414906116150462
