variant,split,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse
R0_LEGACY_E0_EXACT,train,0.9010668396949768,2.4456732273101807,1.3352878093719482,0.9437768459320068,3.7884457111358643,2.1601266860961914,0.2785285706980736
R0_LEGACY_E0_EXACT,validation,0.8467990756034851,2.9028220176696777,1.4582219123840332,0.8705072402954102,5.501949310302734,2.7170629501342773,0.3591374084522375
R0_LEGACY_E0_EXACT,test,0.866943895816803,2.971252918243408,1.6040033102035522,0.9028745889663696,4.969061374664307,2.868246078491211,0.34838893949222244
R1_LEGACY_CLEAN_TRAINING_PROTOCOL,train,0.9277889132499695,2.08943772315979,1.1218770742416382,0.965691089630127,2.9594221115112305,1.6885651350021362,0.2307812913185784
R1_LEGACY_CLEAN_TRAINING_PROTOCOL,validation,0.8509088158607483,2.863621950149536,1.393159031867981,0.8813472986221313,5.266629219055176,2.3493218421936035,0.34949511079288953
R1_LEGACY_CLEAN_TRAINING_PROTOCOL,test,0.8661819696426392,2.979748249053955,1.5022109746932983,0.9303350448608398,4.2083821296691895,2.3409719467163086,0.32881492160962567
R2_CONDITION_COMPLETE_V2,train,0.9353592991828918,1.9768807888031006,1.0415159463882446,0.967799961566925,2.8670272827148438,1.6156949996948242,0.2200463183573125
R2_CONDITION_COMPLETE_V2,validation,0.858151912689209,2.793196439743042,1.3001723289489746,0.8830100297927856,5.2295966148376465,2.3650574684143066,0.34364338758955876
R2_CONDITION_COMPLETE_V2,test,0.8892179727554321,2.7111704349517822,1.3742140531539917,0.9415625333786011,3.854372978210449,2.1358718872070312,0.2998133100573508
R3_CLEAN_CURRENT,train,0.5525708198547363,5.2010321617126465,3.865319013595581,0.5829312801361084,10.318280220031738,7.220767498016357,0.6574563835526847
R3_CLEAN_CURRENT,validation,0.4124305248260498,5.684854030609131,4.3991241455078125,0.4514530301094055,11.32402515411377,7.9530110359191895,0.7200280370640338
R3_CLEAN_CURRENT,test,0.5250543355941772,5.613635063171387,4.0438008308410645,0.6068851947784424,9.996953964233398,7.160453796386719,0.6755486030793918
