phase,column,protocol,outer_seed,inner_fold,arm,loss_recipe,n_inner_train,n_inner_validation,inner_train_group_sha256,inner_validation_group_sha256,inner_train_scales,best_epoch,epochs_run,validation_score,runtime_seconds,trainable_parameter_count,total_parameter_count,all_outputs_finite,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse
inner_screen,25g,row,536279090,3,R2,raw_quantile,261,65,da5b6abbc83fd6b3c83c4a521cb14342440ad47b1c28bc8708cc13aca06bebd6,4b5c2546f561e281c42553f3bacb47aa255704faa42a75033e70608bb14dbba0,"{""V1"": 10.198145715870224, ""V2"": 17.619704758738983}",162,242,0.4285032679632639,1927.8987617492676,103844,526409,True,0.7877905368804932,4.9233832359313965,3.514021158218384,0.8848069906234741,6.453742504119873,4.601709842681885,0.4285032679632639
inner_screen,25g,row,536279090,4,R0,raw_quantile,262,64,78af0826cab406a5f1db4c5d564e705b9edd34eeebb0b91816db223fbf73106f,e8741885f601346b03e1fd5918e180a87ec2ab7c2823c0d7aa65f6f0794d3e81,"{""V1"": 10.32897533350513, ""V2"": 18.351617272104885}",185,265,0.4956235737963011,2619.189508199692,36387,458952,True,0.748519778251648,5.106888771057129,3.3789234161376953,0.658994197845459,9.11746311187744,6.954472064971924,0.4956235737963011
inner_screen,25g,row,536279090,4,R1,raw_quantile,262,64,78af0826cab406a5f1db4c5d564e705b9edd34eeebb0b91816db223fbf73106f,e8741885f601346b03e1fd5918e180a87ec2ab7c2823c0d7aa65f6f0794d3e81,"{""V1"": 10.32897533350513, ""V2"": 18.351617272104885}",184,264,0.4958901534984887,2592.633203983307,85796,508361,True,0.7483372688293457,5.108741283416748,3.382354497909546,0.6585089564323425,9.123948097229004,6.963444709777832,0.4958901534984887
inner_screen,25g,row,536279090,4,R2,raw_quantile,262,64,78af0826cab406a5f1db4c5d564e705b9edd34eeebb0b91816db223fbf73106f,e8741885f601346b03e1fd5918e180a87ec2ab7c2823c0d7aa65f6f0794d3e81,"{""V1"": 10.32897533350513, ""V2"": 18.351617272104885}",182,262,0.4957244189100304,929.367350101471,103844,526409,True,0.7486292123794556,5.105777740478516,3.3859896659851074,0.6585710048675537,9.12311840057373,6.961518287658691,0.4957244189100304
inner_screen,25g,row,769539383,0,R0,raw_quantile,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,"{""V1"": 10.105490984229125, ""V2"": 18.587814923567823}",185,265,0.4871303431424768,166.1808478832245,36387,458952,True,0.6277053356170654,5.714815616607666,3.990694522857666,0.7840002775192261,7.312922954559326,5.843709945678711,0.4871303431424768
inner_screen,25g,row,769539383,0,R1,raw_quantile,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,"{""V1"": 10.105490984229125, ""V2"": 18.587814923567823}",178,258,0.4874929877790447,313.0404682159424,85796,508361,True,0.6267572641372681,5.722087383270264,3.9994051456451416,0.7841503620147705,7.310382843017578,5.849617958068848,0.4874929877790447
inner_screen,25g,row,769539383,0,R2,raw_quantile,256,64,11d91469cc8b37144c2194db1dd36c3c3c29b2c31ad39c4a7b02335e69dbf2ac,9e8564835eea2efd85601fee960a0c2087ee4475ea8c02849e10b1ab67bffb74,"{""V1"": 10.105490984229125, ""V2"": 18.587814923567823}",174,254,0.4875414128989607,309.5587959289551,103844,526409,True,0.6264100670814514,5.724748134613037,4.002950191497803,0.7844347357749939,7.305564880371094,5.850430488586426,0.4875414128989607
inner_screen,25g,row,769539383,1,R0,raw_quantile,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,"{""V1"": 9.814766533842146, ""V2"": 18.297244540947766}",160,240,0.5161595210765964,296.865599155426,36387,458952,True,0.737635612487793,5.387441158294678,3.7228212356567383,0.7376107573509216,8.80432415008545,6.32334041595459,0.5161595210765964
inner_screen,25g,row,769539383,1,R1,raw_quantile,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,"{""V1"": 9.814766533842146, ""V2"": 18.297244540947766}",159,239,0.5161388795780257,285.86102509498596,85796,508361,True,0.7377389669418335,5.386379718780518,3.719913959503174,0.7375245690345764,8.805770874023438,6.32597541809082,0.5161388795780257
inner_screen,25g,row,769539383,1,R2,raw_quantile,256,64,f0c31768bbd49ed3dbdf8f21c4af6ac515501c11a20b92644b54dca8782c6724,d80bf18de8de720fbce18e5e173e6710ba2599e01d0709e3613b17c759ca786f,"{""V1"": 9.814766533842146, ""V2"": 18.297244540947766}",160,240,0.515899463022984,276.4637622833252,103844,526409,True,0.7379571199417114,5.384139537811279,3.717878818511963,0.7378007173538208,8.80113697052002,6.323962211608887,0.515899463022984
