column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,comparison_status
25g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,7.211193199790533,4.813142321965496,0.5168797312925775,9.428123939913092,6.756730211385598,0.652634208015288,0.7685882371463578,0.7685882371463578,0.7508095276107285,0.7508095276107285,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,769539383,BALANCED_JOINT_FULL128,7.364552804067501,4.8399643806963715,0.4961123007454376,9.396647578520575,7.038332455948395,0.6549497396478438,0.7794758392799866,0.7794758392799866,0.7595619329616058,0.7595619329616058,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,769539383,paper_style_current_v2,7.1011461415706005,4.545999385542168,0.5315126196096889,9.190250155537898,6.66714374698795,0.6699413284459579,0.7546365488755138,0.7546365488755138,0.736428365297984,0.736428365297984,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,10.280940468713712,4.5013465371128145,-0.3195369566061801,14.124504429713337,7.626886805950842,0.3128415099971976,1.1122637052453548,1.1122637052453548,1.0916623114520787,1.0916623114520787,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1425370602,BALANCED_JOINT_FULL128,9.226760006076908,4.230040673254137,-0.0628067849827411,14.112907192078898,7.498536497821196,0.3139694601806573,1.0348386217212215,1.0348386217212215,1.0244091048512007,1.0244091048512007,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1425370602,paper_style_current_v2,8.561660804846218,4.4503824324324315,0.0848929412572643,13.862068305909792,7.608212445945947,0.3381393714920742,0.9808366930977654,0.9808366930977654,0.9744041427062262,0.9744041427062262,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,10.62894733393563,5.039050461470422,-0.5598065372949115,13.611237992493097,7.912006223134795,0.3033663531051195,1.1261393440254823,1.1261393440254823,1.097781678466079,1.097781678466079,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,536279090,BALANCED_JOINT_FULL128,9.692498394806687,5.035681771447024,-0.2970648832530924,13.442905716700375,7.484678486951357,0.3204905565541003,1.0517280644960094,1.0517280644960094,1.033124409386728,1.033124409386728,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,536279090,paper_style_current_v2,9.110250888056642,4.7527877499999995,-0.1459110314714926,13.812179174374366,7.042253756756757,0.2826458777768779,1.0185480329463346,1.0185480329463346,1.0076630486086633,1.0076630486086633,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,6.533583148942936,4.379779632944305,0.6451554432561406,9.11379969307098,6.895009484352394,0.6906711074330516,0.7102470280364946,0.7102470280364946,0.6980362196003551,0.6980362196003551,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,2767143051,BALANCED_JOINT_FULL128,6.603043671781815,4.440998068004878,0.6375704148164117,9.360424706625135,7.0970489065686,0.673703333670922,0.7215353872946813,0.7215353872946813,0.7101141571137236,0.7101141571137236,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,2767143051,paper_style_current_v2,6.610322984583623,4.599930156626505,0.6367708767031357,9.654902498891754,7.3853687349397585,0.6528498853688852,0.7295346014251538,0.7295346014251538,0.719734698242554,0.719734698242554,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,5.388600386252651,3.872145356961948,0.6715588045580465,8.875625909689587,6.375998880816418,0.6924343872919205,0.6214768904079405,0.6214768904079405,0.6179743761873384,0.6179743761873384,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1362771960,BALANCED_JOINT_FULL128,5.583299390696593,4.133121566128522,0.6473957835715076,8.67102311742967,6.104511524932841,0.7064510797560228,0.6296753674128076,0.6296753674128076,0.623965500096282,0.623965500096282,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
25g,row,1362771960,paper_style_current_v2,5.660511443624723,3.958606889534883,0.6375759461294832,9.037774999359858,6.132694337209303,0.6810938832002287,0.6450169608076108,0.6450169608076108,0.6402714064303496,0.6402714064303496,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,16.480874578355923,9.73432653473324,0.5006263018211126,16.957175281968734,12.171558628939149,0.7285791642471307,1.6563866939738774,1.6563866939738774,1.573175853636808,1.573175853636808,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,769539383,BALANCED_JOINT_FULL128,15.80192125142754,8.337554799053295,0.5409236266389148,16.665798719281067,10.804584249051846,0.7378267188679455,1.59629419993651,1.59629419993651,1.521031010998885,1.521031010998885,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,769539383,paper_style_current_v2,14.47478585148574,7.819261609195403,0.6147971867377773,15.96134711515464,10.290737839080458,0.7595220564007742,1.4765203362717207,1.4765203362717207,1.4149089226674607,1.4149089226674607,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,16.663705709577584,10.194597136303464,0.6015736106186075,20.513366759834412,14.495949489346687,0.7292306580314831,1.7464833233767283,1.7464833233767283,1.695379417077668,1.695379417077668,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1425370602,BALANCED_JOINT_FULL128,15.664543406332893,9.228892801433142,0.6479207726311518,19.78664185831884,13.377716589505392,0.7480758593172107,1.6533076434849674,1.6533076434849674,1.6093759769034277,1.6093759769034277,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1425370602,paper_style_current_v2,16.02823220015688,8.767093364583333,0.6313823107427392,19.06873193872977,11.788728020833332,0.7660251233169535,1.6650172826967968,1.6650172826967968,1.6101257592792724,1.6101257592792724,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,10.125387651738098,7.286441157308426,0.825778545252948,14.704516936227316,10.76935632175146,0.809900955994548,1.1153101984535154,1.1153101984535154,1.0998309122219825,1.0998309122219825,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,536279090,BALANCED_JOINT_FULL128,8.961009332497559,6.655142618771231,0.8635441444945213,13.380811790551691,9.620938896026262,0.8425860077968692,0.9965081429185636,0.9965081429185636,0.9847769198769728,0.9847769198769728,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,536279090,paper_style_current_v2,10.1090557260625,7.716983489999999,0.8263401192293771,15.201236769767034,10.58797157,0.7968409113176415,1.1269398156904662,1.1269398156904662,1.1142431995304087,1.1142431995304087,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,12.2972213562051,7.979866188934501,0.7369187931292509,15.947116781932507,11.130807610291026,0.7465843975989692,1.3075796968030728,1.3075796968030728,1.2762900262666237,1.2762900262666237,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,2767143051,BALANCED_JOINT_FULL128,11.110141936288716,7.368278898548103,0.7852589567059484,15.073916389144758,10.57534199099222,0.773576653430319,1.1973299630836756,1.1973299630836756,1.1738068201813274,1.1738068201813274,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,2767143051,paper_style_current_v2,10.819079198636862,7.548342322222222,0.796363115433235,12.964650574050788,9.507497611111113,0.8325093248831461,1.125960162248946,1.125960162248946,1.089736709778372,1.089736709778372,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,16.170994657022316,9.49427669733067,0.6529362227292053,19.055174515047444,14.210092079266596,0.7688247360835856,1.6757985507998323,1.6757985507998323,1.6187630295744222,1.6187630295744222,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1362771960,BALANCED_JOINT_FULL128,15.584985004799243,9.237203503317325,0.6776344684110979,17.888752671262452,12.843137015638264,0.7962603198062926,1.6047042122661253,1.6047042122661253,1.5453008564798427,1.5453008564798427,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
40g,row,1362771960,paper_style_current_v2,14.114413126354629,8.084523586206895,0.7355999871697525,16.287930074417332,11.039848701149426,0.8310931380784737,1.4551699947618149,1.4551699947618149,1.402198791091514,1.402198791091514,True,DIRECTLY_COMPARABLE_EXACT_ROW_TEST_IDS
