column,method,stage,fits,hit_max_epoch,early_stopped,best_epoch_mean,epochs_run_mean
25g,P0,B,5,3,1,135.8,147.2
25g,P1,A,5,5,0,150.0,150.0
25g,P1,B,5,1,3,91.0,118.2
25g,P2,A,5,5,0,150.0,150.0
25g,P2,B,5,3,1,136.0,145.2
40g,P0,B,5,5,0,150.0,150.0
40g,P1,A,5,5,0,150.0,150.0
40g,P1,B,5,5,0,150.0,150.0
40g,P2,A,5,5,0,150.0,150.0
40g,P2,B,5,4,1,139.8,147.8
