column,candidate,reference,metric,mean_paired_delta,median_paired_delta,std,seed_wins,n
25g,P1,P0,V1_rmse,0.0808141538867364,0.01868076956638376,0.2767003187523238,2,5
25g,P1,P0,V1_mae,0.06837730096552166,-0.03394510810810747,0.2738212498980189,3,5
25g,P1,P0,V1_r2,-0.018908223918305267,-0.004685180942857192,0.05331937272215459,3,5
25g,P1,P0,V2_rmse,-0.1871373431091648,-0.2519155545769429,0.21162974838430024,4,5
25g,P1,P0,V2_mae,0.02452195398665733,-0.027511457831323582,0.22993339147372271,3,5
25g,P1,P0,V2_r2,0.013912159598070994,0.017526952098489756,0.0183953477959134,1,5
25g,P1,P0,combined_normalized_rmse,-0.0006452858738118517,-0.004087993281777336,0.011974011266233132,3,5
25g,P2,P1,V1_rmse,-0.22199371826564374,0.06679923374985908,0.6658174768752785,2,5
25g,P2,P1,V1_mae,-0.009233025793809801,0.04545548255813969,0.3312604230621013,2,5
25g,P2,P1,V1_r2,0.05965606971398378,-0.008360341021913853,0.12681861716044565,3,5
25g,P2,P1,V2_rmse,-0.3528614625012946,-0.23939583662188646,0.6855391516074878,3,5
25g,P2,P1,V2_mae,0.0021960777740748227,0.0077381511627896415,0.32638967413343,2,5
25g,P2,P1,V2_r2,0.033435846738745625,0.01619668433311361,0.06262952663271082,2,5
25g,P2,P1,combined_normalized_rmse,-0.020196507399518816,-0.002691611737812294,0.05091326126830604,3,5
25g,P2,P0,V1_rmse,-0.14117956437890733,-0.09504192667761835,0.4809815694490039,3,5
25g,P2,P0,V1_mae,0.059144275171711856,0.03595818918919047,0.20518144324899226,2,5
25g,P2,P0,V1_r2,0.040747845795678514,0.012069074544001857,0.09257516956094312,2,5
25g,P2,P0,V2_rmse,-0.5399988056104593,-0.4913113911988294,0.6581124374371957,4,5
25g,P2,P0,V2_mae,0.026718031760732154,-0.03175394594594394,0.2703339304027779,3,5
25g,P2,P0,V2_r2,0.047348006336816614,0.033723636431603365,0.05903130317386655,1,5
25g,P2,P0,combined_normalized_rmse,-0.020841793273330668,-0.01752295711574925,0.04229845748344285,3,5
25g,P3,P2,V1_rmse,0.193187846599443,0.23006417701132964,0.2677685527679031,1,5
25g,P3,P2,V1_mae,0.15039646150371383,0.3157166744186033,0.36094071420197577,2,5
25g,P3,P2,V1_r2,-0.03788605382290018,-0.026763990722331932,0.0531578255719184,4,5
25g,P3,P2,V2_rmse,0.8035333884426883,0.021951269355668046,1.2182677585648514,1,5
25g,P3,P2,V2_mae,0.20643899267642568,0.12067155813953612,0.27825344461853635,1,5
25g,P3,P2,V2_r2,-0.07728724230250834,-0.0014665102489365145,0.11529222150937155,4,5
25g,P3,P2,combined_normalized_rmse,0.03189033970143185,0.013624236207822826,0.04440691357327862,1,5
25g,P3,P0,V1_rmse,0.05200828222053566,0.07355678995253445,0.303677530175798,2,5
25g,P3,P0,V1_mae,0.2095407366754257,0.21986956395348667,0.3070400477676749,1,5
25g,P3,P0,V1_r2,0.002861791972778338,-0.00948102056977096,0.04657192108460306,3,5
25g,P3,P0,V2_rmse,0.26353458283222897,0.1309979209959682,0.6807277399794904,2,5
