method,parameter_drift,bn_buffer_drift,bn_affine_drift,quantile_crossing_count_fit,runtime_seconds,column,seed,combined_normalized_rmse,quantile_crossing_count_test
P0,1.3045187284381146,150.064852218273,0.1087768068378773,2,71.04346895217896,25g,536279090,0.8190534154001443,2
P1,1.1693665823751895,150.06141184929052,0.0589607872520024,0,218.9303970336914,25g,536279090,0.8230919028035527,0
P2,0.8153428987310803,0.0,0.0475084523198836,0,377.4998140335083,25g,536279090,0.753658508088344,0
P3,10.131191715218073,0.0,0.0079211763894742,9,500.58686995506287,25g,536279090,0.8344615325013374,9
P0,1.316782288572344,150.0705882875243,0.1080552286778944,0,72.57386803627014,25g,769539383,0.6251188872682147,0
P1,1.1214539094245006,134.07155218263134,0.0591696461965306,0,218.53796696662903,25g,769539383,0.619661438215891,0
P2,0.8107144006193524,0.0,0.0454034454247654,0,362.1206958293915,25g,769539383,0.6559053221744214,0
P3,2.3952808694387926,0.0,0.0382431492517725,1,428.2453010082245,25g,769539383,0.6356444297658848,1
P0,1.1275986234983295,96.087160304454,0.1045238478103876,13,82.76209807395935,25g,1362771960,0.5245971372478839,13
P1,0.8554937032773114,67.11467554477923,0.0542746214837707,1,248.21840810775757,25g,1362771960,0.509765791869947,1
P2,0.8121252214106823,0.0,0.0456064401804939,0,440.9478621482849,25g,1362771960,0.5070741801321347,0
P3,2.014573199837638,0.0,0.002465552314937,0,513.2582092285156,25g,1362771960,0.5164691490112229,0
P0,1.2952891416094203,150.06823296898148,0.1054861751926028,2,66.82454586029053,25g,1425370602,0.7535607385820122,2
P1,0.7139628700790962,37.180981351619614,0.048415270874843,15,171.85878896713257,25g,1425370602,0.7706726095215826,15
P2,0.7158164547818807,0.0,0.0419008917637422,0,314.3253309726715,25g,1425370602,0.6925852249504443,0
P3,3.5570444695095373,0.0,0.1528627422664345,8,400.61737298965454,25g,1425370602,0.7684755863662358,8
P0,1.2632574267797063,133.07583794639044,0.1066595205746652,4,99.554682970047,25g,2767143051,0.6094657595076429,4
P1,0.8521368119722627,67.11446707861154,0.0545166200551515,3,255.73867082595825,25g,2767143051,0.6053777662258656,3
P2,0.8057653032668519,0.0,0.0452891231428375,0,438.16237711906433,25g,2767143051,0.6183637362939004,0
P3,1.4564461211933308,0.0,0.0043174368854519,54,511.6885468959808,25g,2767143051,0.6319879725017232,54
P0,2.124706661109014,150.06084414533342,0.2214367791828156,99,82.33837532997131,40g,536279090,0.4479825812216697,99
P1,1.8868206320376597,150.0607800621472,0.1763609361227128,21,253.24915194511416,40g,536279090,0.3924150722365752,21
P2,1.0861190921545003,0.0,0.0761703115082718,0,430.6387162208557,40g,536279090,0.4672403130321634,0
P3,14.933257994370152,0.0,0.0321828462566221,9,579.7502861022949,40g,536279090,0.4239924234996272,9
P0,2.0957129935242103,150.05886981963044,0.2180806033633265,84,92.8115780353546,40g,769539383,0.5433830311804633,84
P1,1.8564151292099256,150.06074747558068,0.1718148809107045,6,253.8918619155884,40g,769539383,0.5045541668460934,6
P2,1.1134748003438972,0.0,0.0781147137963276,0,439.74259305000305,40g,769539383,0.5187797017688641,0
P3,10.931901964788398,0.0,0.0024104438594724,29,537.7288210391998,40g,769539383,0.536855977792556,29
P0,2.09514420928079,150.0615488488536,0.2173056003510925,86,90.78854274749756,40g,1362771960,0.6020908236009199,86
P1,1.8551938386082572,150.06269764281464,0.170311609646456,5,270.841983795166,40g,1362771960,0.534043594265829,5
P2,1.088821092161003,0.0,0.0766161812253518,0,464.2631747722626,40g,1362771960,0.6008313223582105,0
P3,3.3375405091954033,0.0,0.0906694066043483,7,558.8866398334503,40g,1362771960,0.4805582838706111,7
P0,2.1074202821391506,150.06057910889302,0.2189431146992911,94,95.30155181884766,40g,1425370602,0.6076668682175156,94
P1,1.8688753786151224,150.06082804430437,0.1731316565445801,16,276.0541818141937,40g,1425370602,0.5784967415051445,16
P2,1.1056161248122414,0.0,0.0777946880360334,0,441.5976309776306,40g,1425370602,0.6205081381716312,0
P3,20.597823206825023,0.0,0.0247217553823398,14,585.9685277938843,40g,1425370602,0.5494197462630567,14
P0,2.1182167054086887,150.05800135271008,0.2208049041552085,90,101.39412713050842,40g,2767143051,0.4858982337779131,90
P1,1.8751877587091077,150.05675112680228,0.1752217714026401,14,301.46888613700867,40g,2767143051,0.4112104633823767,14
P2,0.9770341456057984,0.0,0.0684075951804485,0,476.8324551582336,40g,2767143051,0.5108802278877401,0
P3,1.9504203369997777,0.0,0.0067575273258099,90,544.8858091831207,40g,2767143051,0.4604086796677025,90
