column,method,V1_r2_mean,V1_r2_std,V1_rmse_mean,V1_rmse_std,V1_mae_mean,V1_mae_std,V2_r2_mean,V2_r2_std,V2_rmse_mean,V2_rmse_std,V2_mae_mean,V2_mae_std,combined_normalized_rmse_mean,combined_normalized_rmse_std
25g,BALANCED_JOINT_FULL128,0.2842413661795047,0.4358816396828256,7.694030853485901,1.7390462395099628,4.535961291906186,0.3895586345921833,0.5339128339619093,0.19867367639728126,10.99678166227093,2.5661745453277063,7.044621574444477,0.5670722897627475,0.8434506560409412,0.19017414140801833
25g,HIER_CW_SHARED_LAMBDA_CORRECTED,0.1908500970411346,0.5847541916685491,8.008652907527091,2.3294678380576777,4.521092862090997,0.44583213552387363,0.5303895131685155,0.20356764538896532,11.030658392976019,2.6037426582303573,7.113326321128009,0.6364174609445845,0.8677430409723261,0.23550089745811598
25g,P0,0.37712725231615163,0.33276632385794946,7.278276395948441,1.2897742419108822,4.397483203828008,0.34476282500013583,0.5460236902592933,0.16815434520034384,10.89464701168197,2.167159763718405,6.891243018403974,0.49309675029421546,0.6663591876011796,0.11827271573438101
25g,P1,0.3582190283978465,0.3544791046674274,7.359090549835178,1.426310494783406,4.465860504793531,0.36668460740816894,0.5599358498573642,0.17418661340910457,10.707509668572804,2.2234088012035227,6.915764972390631,0.5888947393557342,0.6657139017273678,0.12832113736189446
25g,P2,0.4178750981118302,0.2508325299962068,7.137096831569534,1.038953562109126,4.45662747899972,0.45881549065810334,0.5933716965961099,0.11779721417614576,10.354648206071511,1.6419363345260571,6.917961050164706,0.5343851216934462,0.6455173943278489,0.09208913468928936
25g,P3,0.37998904428893,0.2925265582504706,7.330284678168977,1.1196009867715437,4.607023940503434,0.5671975378064189,0.5160844542936015,0.22953055849788206,11.158181594514199,2.8199857058694695,7.124400042841131,0.6515818959836587,0.6774077340292808,0.12516749359518092
25g,paper_style_current_v2,0.3489682704456159,0.3584998162467804,7.408778452536362,1.4153402836955353,4.461541322827197,0.3017352647788804,0.5249340692568047,0.1970858160571464,11.111435026814734,2.498624952380193,6.967134604367944,0.5869047086112988,0.8257145674304758,0.16447029740663688
40g,BALANCED_JOINT_FULL128,0.7030563937763269,0.12498682397632715,13.424520186269191,3.1865586417350986,8.16541452422462,1.1429891042942604,0.7796651118437274,0.04189224690410715,16.559184285711762,2.4750592697369185,11.444343748242797,1.5956044837489598,1.4096288323379684,0.29496493021622244
40g,HIER_CW_SHARED_LAMBDA_CORRECTED,0.6635666947102249,0.12469857240918714,14.347636790579804,2.9694740211792063,8.93790154292206,1.2418014172151364,0.7566239823911433,0.03400365279644629,17.43547005500208,2.345152284811271,12.555552825918983,1.722678711816184,1.500311692681405,0.27437533050224744
40g,P0,0.6125585112889925,0.08062798400354862,15.533457967345788,1.8012394883874387,10.831885958437741,0.6047603458931802,0.7298419129382988,0.03868752847165649,18.356241113626304,2.3526216959294857,13.254001106563218,1.1126658337373416,0.5374043075996963,0.07036696437527724
40g,P1,0.6857290793858704,0.09010518441568698,13.944371812061409,2.212973048121139,8.94838627770594,0.5007518637633975,0.7788611281547471,0.04244434180410189,16.605513433306964,2.558592943724242,11.325968241611111,1.3073604621946302,0.4841440076472038,0.07991007633630733
40g,P2,0.6098625300827849,0.06089954490094034,15.617440901066345,1.5583041252743128,10.159468579560345,0.7503756992008415,0.7198797126496576,0.029088675679892727,18.712714182059585,2.2474550756645946,13.304714440229887,1.5712079947167565,0.5436479406437218,0.06462914777706003
40g,P3,0.6759627142593553,0.10960154581465781,14.064402348310733,2.1580481914963645,8.878245806400383,1.046912914924576,0.7640187531470917,0.05716974263974999,16.939538353970754,1.088211389753862,11.448437430139846,0.9280179572348077,0.4902470222187107,0.052553963216176725
40g,paper_style_current_v2,0.7208965438625763,0.09526228761842101,13.109113220539323,2.5318741104342615,7.987240874441571,0.4773682695065743,0.7971981107993977,0.034594517374202674,15.896779294423913,2.1965660558201576,10.642956748434866,0.8495092720608616,1.369921518333949,0.23678543660150195
