epoch,train_loss,normalized_valid_score,legacy_valid_score,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate
1,243.9237060546875,1.5985447997059188,192.90469062088323,6.617699146270752,8.620766639709473,-0.09063645106375051,3.106626510620117,0.07272727272727272,6.990615367889404,11.809762001037598,15.400459289550781,0.1070979296332113,5.35523796081543,0.07272727272727272,4.189408779144287,0.09090909090909091
2,243.77691650390625,1.5974826557213273,192.78252922877846,6.614481449127197,8.617040634155273,-0.08969390175351699,3.1049227714538574,0.07272727272727272,6.991340160369873,11.806035995483398,15.396697044372559,0.1075340981869225,5.353468418121338,0.07272727272727272,4.189406394958496,0.09090909090909091
3,243.63023376464844,1.5964211033022808,192.6604391170922,6.611329078674316,8.613314628601074,-0.08875167815663954,3.1032299995422363,0.07272727272727272,6.992063999176025,11.802311897277832,15.392936706542969,0.10797006620336769,5.35169792175293,0.07272727272727272,4.189404487609863,0.09090909090909091
4,243.4835662841797,1.5953599470429811,192.53837972597648,6.608230113983154,8.609590530395508,-0.08781036655715968,3.101545810699463,0.07272727272727272,6.9927873611450195,11.798583984375,15.38917350769043,0.10840610106556814,5.349928379058838,0.07272727272727272,4.189401149749756,0.09090909090909091
5,243.33700561523438,1.5942995322339162,192.41641918331925,6.605129241943359,8.605865478515625,-0.08686918524302212,3.0998613834381104,0.07272727272727272,6.9935102462768555,11.7948579788208,15.385415077209473,0.1088416011617257,5.34815788269043,0.07272727272727272,4.189398765563965,0.09090909090909091
6,243.19049072265625,1.5932396634235406,192.2945169257664,6.6020283699035645,8.602141380310059,-0.0859288507836109,3.098177194595337,0.07272727272727272,6.99423360824585,11.791132926940918,15.381656646728516,0.10927690072061724,5.346388339996338,0.07272727272727272,4.189396381378174,0.09090909090909091
7,243.0440216064453,1.5921800850587209,192.17263067017166,6.598927021026611,8.598419189453125,-0.08498923289358329,3.0964927673339844,0.07272727272727272,6.994955062866211,11.787406921386719,15.377894401550293,0.10971253450828566,5.34461784362793,0.07272727272727272,4.189393520355225,0.09090909090909091
8,242.89764404296875,1.5911210374325073,192.0508138711416,6.595828056335449,8.594696044921875,-0.0840498755742407,3.094808578491211,0.07272727272727272,6.995678901672363,11.78367805480957,15.37413501739502,0.11014783406717721,5.34284782409668,0.07272727272727272,4.189390182495117,0.09090909090909091
9,242.75132751464844,1.5900629704868534,191.92910274497353,6.592727184295654,8.590975761413574,-0.08311149539496676,3.0931241512298584,0.07272727272727272,6.996401309967041,11.779953956604004,15.370376586914062,0.11058279939729199,5.34107780456543,0.07272727272727272,4.189387321472168,0.09090909090909091
10,242.6051025390625,1.589005118626475,191.80741704673483,6.589629173278809,8.587254524230957,-0.08217337578637784,3.091439962387085,0.07272727272727272,6.997122287750244,11.776226997375488,15.366618156433105,0.11101776472740665,5.339308261871338,0.07272727272727272,4.189383029937744,0.09090909090909091
11,242.45892333984375,1.587948246629146,191.68583693605297,6.586528778076172,8.583536148071289,-0.0812364938885426,3.0897557735443115,0.07272727272727272,6.997844219207764,11.772500038146973,15.362860679626465,0.11145239582874467,5.337538242340088,0.07272727272727272,4.1893792152404785,0.09090909090909091
12,242.31283569335938,1.586892024148249,191.5643296089329,6.583430767059326,8.579818725585938,-0.08030013313207718,3.088071584701538,0.07272727272727272,6.99856424331665,11.768776893615723,15.35910415649414,0.1118869600843273,5.335768699645996,0.07272727272727272,4.189375400543213,0.09090909090909091
13,242.16680908203125,1.5858363459193714,191.44288038935474,6.580332279205322,8.576102256774902,-0.07936429351698182,3.0863869190216064,0.07272727272727272,6.999253749847412,11.765049934387207,15.355347633361816,0.11232132380264381,5.333999156951904,0.07272727272727272,4.189371109008789,0.09090909090909091
14,242.02090454101562,1.5847811972296406,191.32150047625464,6.577233791351318,8.57238483428955,-0.0784289750432563,3.0847012996673584,0.07272727272727272,6.999923229217529,11.761326789855957,15.351593971252441,0.11275528644642818,5.332230567932129,0.07272727272727272,4.189365863800049,0.09090909090909091
15,241.8750457763672,1.5837267715271923,191.20018375483323,6.5741353034973145,8.568671226501465,-0.07749476399494215,3.0830163955688477,0.07272727272727272,7.0005927085876465,11.757600784301758,15.347837448120117,0.11318944962747868,5.330461025238037,0.07272727272727272,4.189361095428467,0.09090909090909091
16,241.72927856445312,1.5826728749243744,191.07893629005594,6.571037769317627,8.564956665039062,-0.07656087865998407,3.0813310146331787,0.07272727272727272,7.001260757446289,11.75387954711914,15.344083786010742,0.11362314488824155,5.328691482543945,0.07272727272727272,4.189355850219727,0.09090909090909091
17,241.58358764648438,1.581620000773793,190.9578070587827,6.567941665649414,8.561244010925293,-0.07562777503708085,3.079646348953247,0.07272727272727272,7.001926898956299,11.750155448913574,15.340332984924316,0.11405650592022776,5.326923370361328,0.07272727272727272,4.189350605010986,0.09090909090909091
18,241.43798828125,1.5805674145028175,190.83669360360363,6.564845085144043,8.557533264160156,-0.07469525769821894,3.0779612064361572,0.07272727272727272,7.002594470977783,11.74643325805664,15.336578369140625,0.11449006748947999,5.325154781341553,0.07272727272727272,4.189345359802246,0.09090909090909091
19,241.29241943359375,1.5795155210979042,190.7156656524121,6.561748027801514,8.55382251739502,-0.07376365235675442,3.0762765407562256,0.07272727272727272,7.00325870513916,11.742707252502441,15.332826614379883,0.11492329482995545,5.323385238647461,0.07272727272727272,4.189341068267822,0.09090909090909091
20,241.14697265625,1.5784646034692582,190.59474285925307,6.558653354644775,8.550114631652832,-0.07283289387001601,3.074591875076294,0.07272727272727272,7.003924369812012,11.739112854003906,15.329075813293457,0.1153562547874094,5.321637153625488,0.07272727272727272,4.189335346221924,0.09090909090909091
21,241.00160217285156,1.5774140636164073,190.4738616314362,6.555558204650879,8.546406745910645,-0.07190259138197641,3.0729072093963623,0.07272727272727272,7.004587650299072,11.735581398010254,15.325325012207031,0.11578908105335273,5.319900989532471,0.07272727272727272,4.189329624176025,0.09090909090909091
22,240.85629272460938,1.5763641703819022,190.35305287465962,6.552463054656982,8.542699813842773,-0.0709728751779779,3.0712225437164307,0.07272727272727272,7.005249977111816,11.732048988342285,15.321575164794922,0.11622170678202992,5.3181633949279785,0.07272727272727272,4.189326286315918,0.09090909090909091
23,240.7111053466797,1.5753151922209714,190.2323474520408,6.549370765686035,8.538994789123535,-0.07004420125671929,3.069538116455078,0.07272727272727272,7.005910873413086,11.728520393371582,15.317827224731445,0.1166541319734411,5.316426753997803,0.07272727272727272,4.1893205642700195,0.09090909090909091
24,240.56597900390625,1.5742667097887844,190.11168688115686,6.546275615692139,8.53529167175293,-0.06911611361950198,3.0678536891937256,0.07272727272727272,7.006570816040039,11.724987983703613,15.314077377319336,0.1170864903190969,5.314689636230469,0.07272727272727272,4.1893157958984375,0.09090909090909091
25,240.42092895507812,1.5732189183654495,189.99111160098755,6.543183326721191,8.531588554382324,-0.06818880769433955,3.066169261932373,0.07272727272727272,7.007229328155518,11.721457481384277,15.310330390930176,0.11751858128173132,5.31295919418335,0.09090909090909091,4.1893110275268555,0.09090909090909091
26,240.27597045898438,1.5721720998881143,189.87064118133776,6.540090560913086,8.527888298034668,-0.06726234862390346,3.0644848346710205,0.07272727272727272,7.007887363433838,11.71792984008789,15.306584358215332,0.11795033801558885,5.3112406730651855,0.09090909090909091,4.189304828643799,0.09090909090909091
27,240.13111877441406,1.5711256123082542,189.75019924899652,6.536999702453613,8.524188995361328,-0.06633660612285097,3.062800884246826,0.07272727272727272,7.008544445037842,11.714400291442871,15.302836418151855,0.11838216159520176,5.309521675109863,0.09090909090909091,4.189300537109375,0.09090909090909091
28,239.986328125,1.5700800240125736,189.62987168514064,6.533908843994141,8.520489692687988,-0.06541138476316832,3.061116933822632,0.07272727272727272,7.009200572967529,11.710871696472168,15.299093246459961,0.11881345040877178,5.307802677154541,0.09090909090909091,4.189296245574951,0.09090909090909091
29,239.8415985107422,1.569035139007482,189.50961799128027,6.530818462371826,8.516792297363281,-0.0644870102582118,3.0594325065612793,0.07272727272727272,7.0098557472229,11.707343101501465,15.295350074768066,0.11924460553083116,5.306084156036377,0.09090909090909091,4.1892900466918945,0.09090909090909091
30,239.69699096679688,1.5679911659416246,189.3894672915294,6.527729034423828,8.513096809387207,-0.06356341746531036,3.057748556137085,0.07272727272727272,7.0105085372924805,11.703816413879395,15.291608810424805,0.11967542642411377,5.304365634918213,0.09090909090909091,4.189285755157471,0.09090909090909091
31,239.55245971679688,1.566947849649008,189.26937743400185,6.5246405601501465,8.509404182434082,-0.06264086695514881,3.0560646057128906,0.07272727272727272,7.011159896850586,11.700289726257324,15.28786563873291,0.12010638100890703,5.302647590637207,0.09090909090909091,4.1892805099487305,0.09090909090909091
32,239.4080352783203,1.5659051174202507,189.14935801094816,6.521551132202148,8.505711555480957,-0.06171877244368584,3.054380416870117,0.07272727272727272,7.011812686920166,11.696763038635254,15.284124374389648,0.12053700136492351,5.300928592681885,0.09090909090909091,4.189277172088623,0.09090909090909091
33,239.26364135742188,1.5648629234994136,189.02939607225608,6.518464088439941,8.502019882202148,-0.060797394501606705,3.052696943283081,0.07272727272727272,7.012460708618164,11.693236351013184,15.280383110046387,0.12096742118367387,5.299210071563721,0.09090909090909091,4.189271450042725,0.09090909090909091
34,239.119384765625,1.5638217442270137,188.9095515129061,6.515377044677734,8.498330116271973,-0.05987686341425369,3.051013231277466,0.07272727272727272,7.013108253479004,11.689711570739746,15.276644706726074,0.12139750677364747,5.297492027282715,0.09090909090909091,4.189266204833984,0.09090909090909091
35,238.9752197265625,1.5627811613095517,188.78976599706766,6.512291431427002,8.49464225769043,-0.05895711403895576,3.0493292808532715,0.07272727272727272,7.013754367828369,11.686185836791992,15.272905349731445,0.1218275255178658,5.295773983001709,0.09090909090909091,4.189262866973877,0.09090909090909091
36,238.83111572265625,1.5617412657219676,188.6700653500602,6.509203910827637,8.490954399108887,-0.058037950947698924,3.047645330429077,0.07272727272727272,7.014400005340576,11.682663917541504,15.269168853759766,0.12225721003330725,5.294055461883545,0.09090909090909091,4.189257621765137,0.09090909090909091
37,238.68711853027344,1.5607023963009636,188.55047061777623,6.506119728088379,8.48727035522461,-0.057119960424524274,3.045961618423462,0.07272727272727272,7.015045166015625,11.67913818359375,15.265432357788086,0.12268676085723795,5.292337417602539,0.09090909090909091,4.189253330230713,0.09090909090909091
38,238.54318237304688,1.5596639003381114,188.43091699125307,6.503036022186279,8.483586311340332,-0.05620229561470613,3.044278621673584,0.07272727272727272,7.015686988830566,11.675616264343262,15.261695861816406,0.12311611114390264,5.290619850158691,0.09090909090909091,4.1892499923706055,0.09090909090909091
39,238.39935302734375,1.558626149342165,188.3114497468714,6.4999518394470215,8.479903221130371,-0.05528554280228537,3.0425949096679688,0.07272727272727272,7.016326427459717,11.672093391418457,15.25796127319336,0.12354526089330131,5.2889018058776855,0.09090909090909091,4.189244270324707,0.09090909090909091
40,238.25564575195312,1.5575894228539116,188.19208824839097,6.4968695640563965,8.476223945617676,-0.05436989741527554,3.0409111976623535,0.07272727272727272,7.016963481903076,11.668571472167969,15.254226684570312,0.12397421010543386,5.287184238433838,0.09090909090909091,4.189240455627441,0.09090909090909091
41,238.11196899414062,1.5565531147744343,188.0727806991108,6.49378776550293,8.472543716430664,-0.05345457774162221,3.0392279624938965,0.07272727272727272,7.0175957679748535,11.665075302124023,15.250494003295898,0.12440295878030028,5.285470485687256,0.09090909090909091,4.189236640930176,0.09090909090909091
42,237.96841430664062,1.5555178758905805,187.95359171103883,6.490707874298096,8.468866348266602,-0.05254049577872233,3.0375447273254395,0.07272727272727272,7.018228054046631,11.661792755126953,15.246763229370117,0.12483130638063455,5.283792972564697,0.09090909090909091,4.189232349395752,0.09090909090909091
43,237.824951171875,1.5544833343914939,187.83447597985105,6.4876275062561035,8.465190887451172,-0.05162700009986376,3.0358614921569824,0.07272727272727272,7.018853664398193,11.658514022827148,15.243032455444336,0.1252595202894582,5.282115459442139,0.09090909090909091,4.189228057861328,0.09090909090909091
44,237.68153381347656,1.553449327312729,187.71541732442256,6.4845476150512695,8.461516380310059,-0.050714155847717546,3.0341763496398926,0.07272727272727272,7.019434928894043,11.655235290527344,15.239301681518555,0.12568766735252634,5.28043794631958,0.09090909090909091,4.189223766326904,0.09090909090909091
45,237.53826904296875,1.5524161210671057,187.59644638555665,6.481468677520752,8.457843780517578,-0.04980222359296871,3.032491683959961,0.07272727272727272,7.020012378692627,11.651955604553223,15.23557186126709,0.12611554703257322,5.2787604331970215,0.09090909090909091,4.189219951629639,0.09090909090909091
46,237.39508056640625,1.551383656883925,187.47756151171598,6.478389739990234,8.454172134399414,-0.0488910079076037,3.030806541442871,0.07272727272727272,7.0205912590026855,11.648676872253418,15.231843948364258,0.1265431593295986,5.277083396911621,0.09090909090909091,4.189215660095215,0.09090909090909091
47,237.251953125,1.5503518302953263,187.35874813789542,6.47531270980835,8.450501441955566,-0.04798044364895104,3.0291218757629395,0.07272727272727272,7.021165370941162,11.64539909362793,15.228116989135742,0.12697050424360246,5.275406360626221,0.09090909090909091,4.189211368560791,0.09090909090909091
48,237.10891723632812,1.5493210696087254,187.24005297364874,6.472236633300781,8.446833610534668,-0.04707079138769599,3.027435064315796,0.07272727272727272,7.021681308746338,11.642123222351074,15.22439193725586,0.12739764862034042,5.2737298011779785,0.09090909090909091,4.189206123352051,0.09090909090909091
49,236.96600341796875,1.5482906334508184,187.1213856643335,6.469160556793213,8.443166732788086,-0.046162116266509345,3.0257465839385986,0.07272727272727272,7.022121429443359,11.638846397399902,15.220664978027344,0.12782479299707827,5.27205228805542,0.09090909090909091,4.189203262329102,0.09090909090909091
50,236.82315063476562,1.5472613080427253,187.00284937938795,6.466085910797119,8.439501762390137,-0.04525396228669276,3.024057388305664,0.07272727272727272,7.022558212280273,11.635568618774414,15.216941833496094,0.12825140260777323,5.2703752517700195,0.09090909090909091,4.1891984939575195,0.09090909090909091
51,236.68040466308594,1.54623267665052,186.88438600043082,6.463012218475342,8.43583869934082,-0.044346785446944814,3.0223684310913086,0.07272727272727272,7.022992134094238,11.632292747497559,15.213218688964844,0.1286780122184682,5.268698215484619,0.09090909090909091,4.189195156097412,0.09090909090909091
52,236.5377655029297,1.5452047848269121,186.76600841225263,6.4599385261535645,8.43217658996582,-0.043440325176580696,3.020679473876953,0.07272727272727272,7.02342414855957,11.629019737243652,15.209497451782227,0.12910415390887575,5.267021656036377,0.09090909090909091,4.1891913414001465,0.09090909090909091
53,236.39520263671875,1.5441774822632208,186.64768914464776,6.456865310668945,8.428516387939453,-0.04253471176094248,3.0189905166625977,0.07272727272727272,7.0238518714904785,11.625744819641113,15.205775260925293,0.12953042929079395,5.265345573425293,0.09090909090909091,4.189187526702881,0.09090909090909091
54,236.25274658203125,1.5431511843146564,186.5294861576117,6.453794956207275,8.424858093261719,-0.04162988005735935,3.0173022747039795,0.07272727272727272,7.024277687072754,11.622471809387207,15.202055931091309,0.12995623675242463,5.263669013977051,0.09090909090909091,4.189183235168457,0.09090909090909091
55,236.11038208007812,1.5421251051657325,186.41129634960907,6.450723648071289,8.4212007522583,-0.040725569495146274,3.0156137943267822,0.07272727272727272,7.024698734283447,11.619199752807617,15.198333740234375,0.13038217790556605,5.26199197769165,0.09090909090909091,4.18917989730835,0.09090909090909091
56,235.9680938720703,1.5411003413996776,186.2932662032622,6.447653293609619,8.417545318603516,-0.039822301215673095,3.0139262676239014,0.07272727272727272,7.025116443634033,11.615926742553711,15.19461727142334,0.13080738375539858,5.260315895080566,0.09090909090909091,4.189175605773926,0.09090909090909091
57,235.82589721679688,1.5400760035692156,186.17527815449694,6.444583892822266,8.413890838623047,-0.03891961922024101,3.0122387409210205,0.07272727272727272,7.025530815124512,11.612655639648438,15.190899848937988,0.13123265645098636,5.258639812469482,0.09090909090909091,4.189172744750977,0.09090909090909091
58,235.68380737304688,1.5390528299456658,186.05742221005767,6.441515922546387,8.410239219665527,-0.03801804465022007,3.010552167892456,0.07272727272727272,7.025944232940674,11.609384536743164,15.187185287475586,0.13165752807204212,5.256963729858398,0.09090909090909091,4.189168453216553,0.09090909090909091
59,235.5417938232422,1.538029977707039,185.93959380635124,6.438448429107666,8.406588554382324,-0.03711712150691149,3.0088655948638916,0.07272727272727272,7.0263543128967285,11.606111526489258,15.18346881866455,0.13208239969309776,5.255286693572998,0.09090909090909091,4.189164638519287,0.09090909090909091
60,235.39987182617188,1.5370082308473592,185.82189583033414,6.435381889343262,8.402939796447754,-0.03621691493298673,3.007179021835327,0.07272727272727272,7.026759624481201,11.602843284606934,15.179756164550781,0.132506803393866,5.253611087799072,0.09090909090909091,4.189161777496338,0.09090909090909091
61,235.258056640625,1.5359869085590905,185.70423981236127,6.432314395904541,8.3992919921875,-0.035317620356459356,3.0054931640625,0.07272727272727272,7.027162075042725,11.599574089050293,15.176042556762695,0.1329312739403895,5.2519354820251465,0.09090909090909091,4.189157485961914,0.09090909090909091
62,235.1163330078125,1.5349663794276047,185.5866706945285,6.4292497634887695,8.395646095275879,-0.03441897720664455,3.0038070678710938,0.07272727272727272,7.027560710906982,11.596304893493652,15.172329902648926,0.13335541025813624,5.250259876251221,0.09090909090909091,4.189154148101807,0.09090909090909091
63,234.97470092773438,1.5339463780544653,185.46915795209588,6.42618465423584,8.392001152038574,-0.033521050626213134,3.0021212100982666,0.07272727272727272,7.027956962585449,11.593033790588379,15.168617248535156,0.13377941288437234,5.248583793640137,0.09090909090909091,4.189149379730225,0.09090909090909091
64,234.8331298828125,1.5329275837212832,185.35178987564086,6.423120498657227,8.388358116149902,-0.03262384061516577,3.0004355907440186,0.07272727272727272,7.028348445892334,11.589767456054688,15.164909362792969,0.1342029475903208,5.246908187866211,0.09090909090909091,4.189146518707275,0.09090909090909091
65,234.69171142578125,1.5319094311721013,185.23448115106112,6.420058250427246,8.38471794128418,-0.031727803172200586,2.9987504482269287,0.07272727272727272,7.028738498687744,11.58650016784668,15.161199569702148,0.1346264822962694,5.245233058929443,0.09090909090909091,4.189141273498535,0.09090909090909091
66,234.55032348632812,1.5308916904292627,185.11722561577517,6.416996479034424,8.38107681274414,-0.030832026299920434,2.9970650672912598,0.07272727272727272,7.02912712097168,11.583233833312988,15.157491683959961,0.13504974961919647,5.243558406829834,0.09090909090909091,4.189136505126953,0.09090909090909091
67,234.40907287597656,1.5298748091288084,185.0000468826961,6.413934707641602,8.377440452575684,-0.029937487138393948,2.995379686355591,0.07272727272727272,7.029513835906982,11.579964637756348,15.153780937194824,0.13547308378787892,5.241883277893066,0.09090909090909091,4.1891303062438965,0.09090909090909091
68,234.2678985595703,1.5288589142998363,184.8829950549025,6.410874843597412,8.373804092407227,-0.02904366454625107,2.99369478225708,0.07272727272727272,7.0298967361450195,11.576701164245605,15.150075912475586,0.1358958163447631,5.240209102630615,0.09090909090909091,4.189121723175049,0.09090909090909091
69,234.12680053710938,1.5278436485497915,184.76601381008186,6.407813549041748,8.370168685913086,-0.028150428238149283,2.9920098781585693,0.07272727272727272,7.030280590057373,11.573436737060547,15.146371841430664,0.1363182815186259,5.238534450531006,0.09090909090909091,4.18911600112915,0.09090909090909091
70,233.9857940673828,1.5268289652710703,184.64909019238667,6.404755115509033,8.366535186767578,-0.02725784335676007,2.990325450897217,0.07272727272727272,7.0306620597839355,11.570171356201172,15.142666816711426,0.1367407466924887,5.236860275268555,0.09090909090909091,4.189110279083252,0.09090909090909091
71,233.84490966796875,1.5258155993894524,184.53231382334388,6.401698112487793,8.362905502319336,-0.026366691614138293,2.988640785217285,0.07272727272727272,7.031044006347656,11.566906929016113,15.138964653015137,0.13716281079181936,5.235185623168945,0.09090909090909091,4.189103603363037,0.09090909090909091
72,233.7041015625,1.5248024365503983,184.41556156548313,6.3986406326293945,8.359274864196777,-0.025475800442201546,2.9869563579559326,0.07272727272727272,7.031425476074219,11.56364631652832,15.135262489318848,0.13758480804539464,5.2335124015808105,0.09090909090909091,4.189094543457031,0.09090909090909091
73,233.56338500976562,1.5237900619276528,184.2988956815425,6.395583629608154,8.355646133422852,-0.0245857561249907,2.98527193069458,0.07272727272727272,7.031805515289307,11.560382843017578,15.131561279296875,0.13800653791594852,5.231838226318359,0.09090909090909091,4.189087390899658,0.09090909090909091
