rank,method,25g_compound_nrmse,40g_compound_nrmse,mean_compound_nrmse,relative_gain_vs_m3,wins_vs_m3,max_column_deterioration,max_endpoint_rmse_deterioration,aggregate_mae_change,promotion_gate_passed
1,M3_LATENT_TINY_ADAPTER,0.7201221254626212,1.6256166798711784,1.1728694026668998,0.037404728703615886,6,0.0013594482588901169,0.0027195113043265717,-0.055279756055852,False
2,HIER_CW_25G_40G,0.7035534734307024,1.644238778677766,1.1738961260542342,0.0365620781277459,8,-0.021679944186408395,-0.01026673160993874,-0.05833825874313869,True
3,HIER_CW_8G_25G_40G,0.7046850730875013,1.6482691891073382,1.1764771310974198,0.03444380030063801,7,-0.020106408298653067,-0.009249978491758015,-0.049170465264955165,False
4,M3_LATENT_RESIDUAL_RIDGE,0.7330454536949603,1.6311290077920018,1.182087230743481,0.02983948938714595,7,0.01932986795692404,0.024714633411687004,-0.05441289735300803,False
5,M3_CENTER_WIDTH_FULL,0.7191444857435867,1.7177455294905979,1.2184450076170923,0.0,10,0.0,0.0,0.0,False
