column,protocol,seed,method,selected
25g,row,2767143051,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.1936085600205197, 1.2295651278745021, 1.280144346979775, 0.9085894229673124, 1.4165073390151712], ""mean_inner_cv_score"": 1.205682959371456}"
25g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.7858408652451241, 1.5176521944655073, 1.3498692564904795, 0.6847311009948645, 0.5787237269233964], ""mean_inner_cv_score"": 0.9833634288238743}"
25g,row,2767143051,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [90, 38, 184, 187, 187], ""fold_scores"": [0.6523723006248474, 2.262873649597168, 1.68593168258667, 0.39921140670776367, 0.33406466245651245], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 1.0668907403945922, ""weight_decay"": 0.001}"
25g,row,536279090,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.0807445699109388, 0.8086368071555806, 1.3698908228438444, 1.1535452393884142, 1.346970392767688], ""mean_inner_cv_score"": 1.1519575664132933}"
25g,row,536279090,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.565284877105538, 1.1386723314646447, 1.1277127873776163, 1.1541934559366613, 0.8531084714104363], ""mean_inner_cv_score"": 1.1677943846589796}"
25g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [1.6107586352492846, 0.96723228611261, 0.7586982653385725, 0.6675113403358406, 0.7971909661319695], ""mean_inner_cv_score"": 0.9602782986336555}"
25g,row,536279090,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [22, 101, 137, 145, 196], ""fold_scores"": [2.7443504333496094, 1.0015218257904053, 0.4550536870956421, 0.4352248013019562, 0.5866413712501526], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 1.0445584237575531, ""weight_decay"": 0.01}"
25g,row,769539383,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2004446213317734, 1.0681271258609355, 1.1162587215991118, 1.435628660683042, 0.9799433012113009], ""mean_inner_cv_score"": 1.1600804861372327}"
25g,row,769539383,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.267874327151279, 1.1216353973273345, 0.9652130051425967, 0.9750455751391649, 1.5878335376263144], ""mean_inner_cv_score"": 1.1835203684773379}"
25g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.7682109251238545, 0.7680744070074064, 1.9997457194473174, 0.7640822027627266, 0.789538546345096], ""mean_inner_cv_score"": 1.0179303601372802}"
25g,row,769539383,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [117, 48, 18, 1, 98], ""fold_scores"": [0.6249056458473206, 0.5371612906455994, 4.004739761352539, 0.4892522096633911, 0.581362783908844], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 1.2474843382835388, ""weight_decay"": 0.01}"
40g,compound,1362771960,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.3200919715204993, 1.0168821521782898, 1.4157860257906438, 1.1647206656005373, 0.9037834096800061], ""mean_inner_cv_score"": 1.1642528449539953}"
40g,compound,1362771960,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [0.7577136828295683, 1.4693946150370079, 1.4490319470697013, 1.2489390596772063, 1.0391534905687854], ""mean_inner_cv_score"": 1.1928465590364539}"
40g,compound,1362771960,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.8360767832410781, 0.9936892524161978, 0.9720380473927199, 1.0833470995414436, 0.8300224117926437], ""mean_inner_cv_score"": 0.9430347188768167}"
40g,compound,1362771960,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [119, 119, 128, 56, 181], ""fold_scores"": [0.6783576011657715, 0.9906351566314697, 0.8722000122070312, 1.228419542312622, 0.7456024289131165], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.9030429482460022, ""weight_decay"": 0.01}"
40g,compound,1425370602,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2631138858010869, 1.3280561240475364, 1.213107796031372, 0.8614329610667095, 1.1514541653957], ""mean_inner_cv_score"": 1.163432986468481}"
40g,compound,1425370602,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2905240038406616, 0.8430582735471952, 0.9067102191466055, 1.2174420555548333, 1.436760474324608], ""mean_inner_cv_score"": 1.1388990052827808}"
40g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 100.0, ""fold_scores"": [0.5998414562775475, 0.9716254823025785, 1.1435784373789757, 0.9039480228282709, 1.0422270453514373], ""mean_inner_cv_score"": 0.9322440888277621}"
40g,compound,1425370602,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [134, 202, 62, 117, 193], ""fold_scores"": [0.3492717444896698, 0.9067232608795166, 1.3786462545394897, 0.7692593336105347, 1.0493969917297363], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.8906595170497894, ""weight_decay"": 0.001}"
40g,compound,2767143051,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.1866140335600248, 1.6585406534631302, 0.8731317892878195, 1.2267839499212323, 1.1012500014584712], ""mean_inner_cv_score"": 1.2092640855381354}"
40g,compound,2767143051,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2324333984576308, 1.4040993190631914, 1.1792369389907262, 1.0986738084402783, 1.0169485608303943], ""mean_inner_cv_score"": 1.1862784051564443}"
40g,compound,2767143051,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.651241235560778, 1.0125233698521041, 1.000855788375339, 1.0430371537471221, 1.041708606475267], ""mean_inner_cv_score"": 0.9498732308021219}"
40g,compound,2767143051,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [203, 141, 201, 85, 33], ""fold_scores"": [0.4335835874080658, 0.993807315826416, 0.8757851719856262, 1.1070784330368042, 1.0688459873199463], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.8958200991153717, ""weight_decay"": 0.01}"
40g,compound,536279090,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2385084915286426, 1.3640960029747426, 0.9578557648955317, 1.0273027217752622, 0.9720715820870957], ""mean_inner_cv_score"": 1.111966912652255}"
40g,compound,536279090,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.410137376295218, 1.0491544525448582, 1.004235044816922, 1.1277856143944065, 1.015580902959714], ""mean_inner_cv_score"": 1.1213786782022237}"
40g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 100.0, ""fold_scores"": [0.9492250637345406, 0.8992849396866444, 1.0851908419568166, 0.8354075412801757, 0.8580429880658328], ""mean_inner_cv_score"": 0.9254302749448019}"
40g,compound,536279090,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [129, 179, 156, 33, 216], ""fold_scores"": [0.8217897415161133, 0.9687344431877136, 1.0446653366088867, 0.6681721210479736, 0.6861004829406738], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.8378924250602722, ""weight_decay"": 0.001}"
40g,compound,769539383,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.5146208223608535, 1.1541420713152792, 1.1322760237382443, 1.0716672123998172, 0.9226601780424011], ""mean_inner_cv_score"": 1.159073261571319}"
40g,compound,769539383,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2329164641544992, 1.3449073547390746, 1.0372400622043936, 1.0362973978080874, 1.228023029456808], ""mean_inner_cv_score"": 1.1758768616725725}"
40g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.9098607827054268, 1.07964717353543, 0.7366887991409102, 1.22503821994146, 0.7817962022081236], ""mean_inner_cv_score"": 0.9466062355062702}"
40g,compound,769539383,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [75, 193, 99, 120, 91], ""fold_scores"": [0.8365464210510254, 1.0989831686019897, 0.5674818754196167, 1.5186941623687744, 0.6679664254188538], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.937934410572052, ""weight_decay"": 0.001}"
40g,row,1362771960,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.3466418183704727, 1.113633841803881, 1.4145716022778858, 1.0237428518060834, 0.9920785576600266], ""mean_inner_cv_score"": 1.1781337343836698}"
40g,row,1362771960,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.028909322806018, 1.0221120565464494, 1.298266726106883, 0.9572713274380209, 1.505406818845251], ""mean_inner_cv_score"": 1.1623932503485244}"
40g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [1.0050783663897074, 0.92917488421664, 0.9749467516779329, 1.2575248319357382, 0.7225591960622754], ""mean_inner_cv_score"": 0.9778568060564586}"
40g,row,1362771960,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [148, 1, 1, 83, 35], ""fold_scores"": [0.9117493033409119, 0.9080333709716797, 0.9765097498893738, 1.5734977722167969, 0.529760479927063], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.979910135269165, ""weight_decay"": 0.01}"
40g,row,1425370602,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.1281250415106596, 0.9960446904351115, 1.4114446973890318, 1.0578737223824397, 0.8117472094338765], ""mean_inner_cv_score"": 1.081047072230224}"
40g,row,1425370602,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [0.7751462616361274, 0.9556097438104392, 0.9802269721214925, 1.5410825173359237, 1.1437937903170279], ""mean_inner_cv_score"": 1.0791718570442022}"
40g,row,1425370602,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.8150514374814488, 1.0198751728655386, 0.9432153710838361, 1.1479137531500243, 1.0042715675138003], ""mean_inner_cv_score"": 0.9860654604189296}"
40g,row,1425370602,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [172, 86, 96, 18, 1], ""fold_scores"": [0.6251438856124878, 1.0301529169082642, 0.8209885954856873, 1.3116364479064941, 0.9061803221702576], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.9388204336166381, ""weight_decay"": 0.01}"
40g,row,2767143051,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.113909539941579, 1.5281159344941846, 1.0715617361789391, 1.1444988123513875, 1.2701043298527834], ""mean_inner_cv_score"": 1.2256380705637748}"
40g,row,2767143051,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.1936085600205197, 1.2295651278745021, 1.280144346979775, 0.9085894229673124, 1.4165073390151712], ""mean_inner_cv_score"": 1.205682959371456}"
40g,row,2767143051,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.7504555020359818, 1.019577462197545, 0.8742117759238462, 1.1357495544460896, 1.1963593778009722], ""mean_inner_cv_score"": 0.995270734480887}"
40g,row,2767143051,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [65, 67, 178, 1, 1], ""fold_scores"": [0.5445781350135803, 1.0480808019638062, 0.6699324250221252, 1.1337473392486572, 1.3911099433898926], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.9574897289276123, ""weight_decay"": 0.001}"
40g,row,536279090,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.0807445699109388, 0.8086368071555806, 1.3698908228438444, 1.1535452393884142, 1.346970392767688], ""mean_inner_cv_score"": 1.1519575664132933}"
40g,row,536279090,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.565284877105538, 1.1386723314646447, 1.1277127873776163, 1.1541934559366613, 0.8531084714104363], ""mean_inner_cv_score"": 1.1677943846589796}"
40g,row,536279090,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [1.1490609010217585, 1.1306231623165246, 0.9299124550185471, 0.8351533361174986, 0.9733641376573962], ""mean_inner_cv_score"": 1.003622798426345}"
40g,row,536279090,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [201, 1, 199, 1, 1], ""fold_scores"": [1.2473500967025757, 1.2873643636703491, 0.8250709176063538, 0.6654319763183594, 0.9014352560043335], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.9853305220603943, ""weight_decay"": 0.01}"
40g,row,769539383,HIER_CW_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.2004446213317734, 1.0681271258609355, 1.1162587215991118, 1.435628660683042, 0.9799433012113009], ""mean_inner_cv_score"": 1.1600804861372327}"
40g,row,769539383,HIER_CW_8G_25G_40G,"{""delta_penalty"": 0.1, ""fold_scores"": [1.267874327151279, 1.1216353973273345, 0.9652130051425967, 0.9750455751391649, 1.5878335376263144], ""mean_inner_cv_score"": 1.1835203684773379}"
40g,row,769539383,M3_LATENT_RESIDUAL_RIDGE,"{""alpha"": 1000.0, ""fold_scores"": [0.9578239690792365, 1.1589600095647417, 0.9198126488377488, 0.9873798167098652, 0.8371313872560466], ""mean_inner_cv_score"": 0.9722215662895277}"
40g,row,769539383,M3_LATENT_TINY_ADAPTER,"{""best_epochs"": [1, 94, 85, 125, 77], ""fold_scores"": [0.910304844379425, 1.3044134378433228, 0.8052403330802917, 0.9315976500511169, 0.7008163928985596], ""learning_rate"": 0.0005, ""mean_inner_cv_score"": 0.9304745316505432, ""weight_decay"": 0.001}"
