column,protocol,seed,method,stratum,rows,combined_normalized_rmse
25g,compound,769539383,M3_CENTER_WIDTH_FULL,low,39,0.3518322414259947
25g,compound,769539383,M3_CENTER_WIDTH_FULL,mid,31,0.623860096568487
25g,compound,769539383,M3_CENTER_WIDTH_FULL,high,22,1.3953692671423787
25g,compound,769539383,HIER_CW_25G_40G,low,39,0.3178089258459076
25g,compound,769539383,HIER_CW_25G_40G,mid,31,0.6520742519858581
25g,compound,769539383,HIER_CW_25G_40G,high,22,1.4078367174264583
25g,compound,769539383,HIER_CW_8G_25G_40G,low,39,0.3351013650727991
25g,compound,769539383,HIER_CW_8G_25G_40G,mid,31,0.6735612495475102
25g,compound,769539383,HIER_CW_8G_25G_40G,high,22,1.410998505635795
25g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,low,39,0.3718007443301297
25g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,mid,31,0.6905555535221068
25g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,high,22,1.3850495335684072
25g,compound,769539383,M3_LATENT_TINY_ADAPTER,low,39,0.3519667109942002
25g,compound,769539383,M3_LATENT_TINY_ADAPTER,mid,31,0.6233362896013556
25g,compound,769539383,M3_LATENT_TINY_ADAPTER,high,22,1.3954299752313533
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,low,37,0.5018368099610405
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,mid,29,0.7296514349742952
25g,compound,1425370602,M3_CENTER_WIDTH_FULL,high,18,1.0545049302853293
25g,compound,1425370602,HIER_CW_25G_40G,low,37,0.5484747089852333
25g,compound,1425370602,HIER_CW_25G_40G,mid,29,0.7426765731498327
25g,compound,1425370602,HIER_CW_25G_40G,high,18,0.9657637729535168
25g,compound,1425370602,HIER_CW_8G_25G_40G,low,37,0.5959149790366283
25g,compound,1425370602,HIER_CW_8G_25G_40G,mid,29,0.775187739510632
25g,compound,1425370602,HIER_CW_8G_25G_40G,high,18,0.915468672328753
25g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,low,37,0.4858016261023166
25g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,mid,29,0.706675029740382
