config,mode,pretrained,learning_rate,v2_weight,loss_scaling,best_epoch,epochs_run,trainable_parameters,total_parameters,normalized_valid_score,legacy_valid_score,normalized_test_score,split_mode,seed,protocol,train_rows,valid_rows,test_rows,train_tail_rows
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,60,160,186134,775476,0.23489587246497665,29.352483633451357,1.0853475347015484,row,42,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,125,225,186134,775476,0.2120913944499735,71.32237347675527,0.9589247800153058,row,42,no_threshold,458,57,59,17
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,73,173,186134,775476,0.3193638137496831,40.30123050777729,0.30717218292609316,row,525,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,40,140,186134,775476,0.12683686640500313,45.5275440902667,0.6774290448011416,row,525,no_threshold,458,57,59,17
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,436,500,186134,775476,0.7537725241996969,74.23872924913394,1.0917245678660752,row,1101,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,481,500,186134,775476,0.14245852692341526,52.266011327550586,0.4090056682212555,row,1101,no_threshold,458,57,59,17
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,74,174,186134,775476,0.26610275268201905,33.70560793587953,0.286981938599138,compound,42,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,87,187,186134,775476,0.446611263034198,183.49270408055145,0.10812260194587245,compound,42,no_threshold,459,57,58,18
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,100,200,186134,775476,0.21430040317382826,26.4765268398815,0.37304396119132366,compound,525,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,43,143,186134,775476,0.4001656037880877,157.98358327703568,0.20688575479846796,compound,525,no_threshold,459,57,58,18
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,17,117,186134,775476,0.37129530259564786,42.07884582398424,0.667006294435253,compound,1101,legacy_threshold,441,55,56,0
monotonic_softplus,last2_head,True,0.0001,1.0,legacy_units,30,130,186134,775476,0.2074887892330226,78.61401498048599,0.34336565365687616,compound,1101,no_threshold,459,57,58,18
