split_mode,seed,evaluation_split,slice,delta_mean_normalized_rmse_no_threshold_minus_legacy,delta_mean_normalized_absolute_error_no_threshold_minus_legacy,delta_V1_calibrated_coverage_no_threshold_minus_legacy,delta_V2_calibrated_coverage_no_threshold_minus_legacy,delta_mean_auce_no_threshold_minus_legacy,delta_raw_width_error_spearman_no_threshold_minus_legacy,delta_calibrated_width_error_spearman_no_threshold_minus_legacy
compound,42,test,common,0.023803633804458157,0.05009070699044876,0.0535714285714286,0.0,0.00022321428571427104,0.03957621326042382,0.047026657552973306
compound,42,test,full,0.02583973311644361,0.04840949410352302,0.051724137931034475,0.017241379310344862,0.006573275862068947,0.03715894060106428,0.04398781875788249
compound,42,test,tail,0.02712207337743655,0.0013355332696036726,0.0,0.5,0.14687499999999998,,
compound,42,valid,common,0.038660281351875436,0.06681394020801745,0.036363636363636265,0.018181818181818077,0.0159090909090909,0.044300144300144284,0.03621933621933626
compound,42,valid,full,-0.06002416797792809,0.032064233164964095,0.03508771929824561,0.03508771929824561,0.010526315789473674,0.03934404977962136,0.032084521648949815
compound,42,valid,tail,-0.487780221003117,-0.9235527105190036,0.0,0.5,-0.046875,,
compound,525,test,common,-0.03490891437281263,-0.029439676896466538,0.125,0.125,0.02566964285714282,0.0023239917976759505,0.01558441558441559
compound,525,test,full,0.011721877530846303,-0.0108359509837328,0.12068965517241381,0.10344827586206895,0.012499999999999949,0.003445199790827136,0.01599557045741179
compound,525,test,tail,0.3130957991768908,0.5100683745728123,0.0,-0.5,-0.025000000000000022,,
compound,525,valid,common,-0.007281648844160105,0.034628315283591726,0.018181818181818077,0.018181818181818077,0.00568181818181817,-0.29422799422799434,-0.3017316017316019
compound,525,valid,full,-0.11239174421391107,-0.014067923868089749,0.01754385964912286,0.01754385964912286,0.00899122807017544,-0.2642597873995333,-0.2710007778065855
compound,525,valid,tail,-0.6723094387642106,-1.353214500539326,0.0,0.0,-0.11249999999999999,,
compound,1101,test,common,-0.01781024919112506,0.04467489506622335,0.1071428571428571,-0.017857142857142905,-0.001450892857142852,-0.15647804873308457,-0.17049202863272744
compound,1101,test,full,0.17850998289367914,0.18796110280411416,0.10344827586206906,-0.017241379310344862,-0.005280172413793083,-0.13625386552042795,-0.14886711565891864
compound,1101,test,tail,2.163459499210349,4.19997491946506,0.0,0.0,-0.13124999999999998,,
compound,1101,valid,common,-0.050145394402976495,-0.01998021724991883,0.018181818181818077,0.036363636363636265,0.009659090909090902,0.04761904761904756,0.07373737373737377
compound,1101,valid,full,-0.14414559326344156,-0.06872685713331173,0.03508771929824561,0.03508771929824561,0.010526315789473674,0.0421960072595281,0.0655302048224008
compound,1101,valid,tail,-0.7661050439745001,-1.409259453926622,0.5,0.0,-0.13437500000000002,,
row,42,test,common,0.12475626873845846,0.12753041521478192,-0.017857142857142905,-0.0714285714285714,-0.00435267857142857,-0.057963089542036994,-0.06493506493506496
row,42,test,full,0.22346137414621103,0.25093210192012605,-0.016949152542372836,-0.06779661016949157,0.0013771186440678165,-0.04681472822910582,-0.05283459964932791
row,42,test,tail,0.8748736641526325,2.5544302537532184,0.0,0.0,0.22083333333333338,0.5,0.5
row,42,valid,common,0.025051034713015174,0.0136348263855946,0.018181818181818077,0.018181818181818077,0.01249999999999999,0.11645021645021647,0.10303030303030308
row,42,valid,full,-0.09950310711831123,-0.011209193172056042,0.01754385964912286,0.01754385964912286,0.0036184210526315833,0.10519834067928441,0.09307752138968112
row,42,valid,tail,-0.7420709847759008,-0.6944197310074411,0.0,0.0,0.11562500000000009,,
row,525,test,common,-0.013180478566995946,0.016980175872893744,-0.1071428571428572,0.0,-0.015513392857142871,0.07464114832535884,0.08995215311004778
row,525,test,full,-0.0489097539523029,0.013857662737296494,-0.10169491525423735,0.0,-0.01694915254237289,0.0643483343074226,0.07744009351256576
row,525,test,tail,-0.2198900937406405,-0.04442924912719093,0.0,0.0,-0.02083333333333337,0.0,0.0
row,525,valid,common,0.0084250958118402,0.03855193758820391,0.036363636363636265,0.018181818181818077,0.010227272727272717,-0.05476190476190479,-0.09451659451659455
row,525,valid,full,-0.09197166911267174,-0.030016931846954087,0.03508771929824561,0.01754385964912286,0.00910087719298245,-0.05658542908996633,-0.0926886180969666
row,525,valid,tail,-1.0214711347033674,-1.9156608413137977,0.0,0.0,-0.10625000000000001,,
row,1101,test,common,-0.04069138979888709,-0.027391600961910845,0.2678571428571429,0.0,-0.021986607142857134,0.31558441558441563,0.2666438824333561
row,1101,test,full,0.036028123104529186,0.01831077093623168,0.2542372881355932,0.0,-0.03315677966101696,0.2585037989479837,0.18527177089421393
row,1101,test,tail,0.555901313030714,0.8714217130348985,0.0,0.0,-0.01041666666666663,0.5,0.0
row,1101,valid,common,-0.09753225578016944,-0.056658881678753104,0.018181818181818077,0.036363636363636265,0.014772727272727264,0.10826313607706517,0.09267843938086653
row,1101,valid,full,-0.10961631824369533,-0.07584962248323757,0.03508771929824561,0.03508771929824561,0.010745614035087706,0.1344006741276102,0.11450146652829679
row,1101,valid,tail,-0.39180194486223785,-0.603594994606568,0.5,0.0,-0.08750000000000002,,
