evaluation_split,slice,protocol,rows_mean,normalized_rmse_mean,normalized_mae_mean,V1_coverage_mean,V2_coverage_mean,calibrated_width_error_spearman_mean,auce_mean
test,common,legacy_threshold,56.0,0.5409598918696539,0.604748782827144,0.7678571428571429,0.7559523809523809,0.38208556127689053,0.07081473214285715
test,common,no_threshold,56.0,0.5479547036385032,0.635156268708139,0.8392857142857143,0.7619047619047619,0.412715563795724,0.06791294642857142
test,full,legacy_threshold,58.5,0.7221329411538981,0.7349840649647265,0.7578414182739138,0.7458114163257354,0.42724722632208123,0.07054871663744398
test,full,no_threshold,58.5,0.7932414972937992,0.8197565952176529,0.8264172998246639,0.7517533606078316,0.4474128160410525,0.06472609828560295
test,tail,legacy_threshold,2.5,1.979925961552164,3.366839310748263,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.3220486111111111
test,tail,no_threshold,2.5,2.5990196707533944,4.715639568242996,0.5833333333333334,0.5833333333333334,0.5,0.3520833333333333
valid,common,legacy_threshold,55.0,0.41006888044562134,0.5093068782083762,0.8181818181818182,0.8181818181818182,0.4326240318003715,0.017045454545454516
valid,common,no_threshold,55.0,0.3962650659205254,0.5221385316311654,0.8424242424242424,0.8424242424242424,0.4175269078203187,0.02850378787878784
valid,full,legacy_threshold,57.0,0.7093965158443765,0.6640941259782998,0.7953216374269005,0.7982456140350878,0.4600725264838151,0.007529239766081859
valid,full,no_threshold,57.0,0.60645441585605,0.6361264100885189,0.8245614035087719,0.8245614035087719,0.45032324623144443,0.016447368421052613
valid,tail,legacy_threshold,2.0,2.883149890934386,4.920743439651201,0.16666666666666666,0.25,,0.4109375
valid,tail,no_threshold,2.0,2.2028934295871636,3.770793067665741,0.3333333333333333,0.3333333333333333,,0.3489583333333333
