split_mode,seed,protocol,evaluation_split,slice,rows,V1_mae,V1_rmse,V1_r2,V1_mean_pinball_loss,V1_interval_80_coverage,V1_interval_80_mean_width,V2_mae,V2_rmse,V2_r2,V2_mean_pinball_loss,V2_interval_80_coverage,V2_interval_80_mean_width,quantile_crossing_rate,V1_calibrated_coverage,V1_calibrated_width,V1_auce,V2_calibrated_coverage,V2_calibrated_width,V2_auce,mean_normalized_rmse,mean_normalized_absolute_error,raw_width_error_spearman,calibrated_width_error_spearman,mean_auce,calibrated_crossing_rate
compound,42,legacy_threshold,test,full,58,2.5030531883239746,3.953230857849121,0.8955414317836777,1.00626540184021,0.7586206896551724,8.768200874328613,4.508930206298828,6.531389236450195,0.9149540022277863,1.5244158506393433,0.5862068965517241,9.14278793334961,0.0,0.7586206896551724,8.911953597566988,0.04116379310344828,0.6724137931034483,10.744911079362915,0.1224137931034483,0.3927196005887629,0.5196180073959362,0.6783659909563506,0.6733212341197823,0.08178879310344829,0.0
compound,42,legacy_threshold,test,common,56,2.4733405113220215,3.9703752994537354,0.8266142064243913,0.9886884093284607,0.75,8.071436882019043,4.142895698547363,6.021033763885498,0.8844192986888333,1.4208831787109375,0.5892857142857143,8.617048263549805,0.0,0.75,8.203766402426222,0.04174107142857143,0.6785714285714286,10.127045066393949,0.1129464285714286,0.3783374506102941,0.4947863384357358,0.6525632262474368,0.6470950102529051,0.07734375000000002,0.0
compound,42,legacy_threshold,test,tail,2,3.335012435913086,3.4386463165283203,0.7857627287920279,1.4984216690063477,1.0,28.277591705322266,14.757896423339844,14.900751113891602,0.5168655146877577,4.423330783843994,0.5,23.863475799560547,0.0,1.0,28.741195061508485,0.1625,0.5,28.045159442493947,0.38750000000000007,0.6169004956707155,1.2149047382815477,,,0.275,0.0
compound,42,legacy_threshold,valid,full,57,3.0434532165527344,6.49856424331665,0.8335519365528464,1.1302613019943237,0.7719298245614035,8.524541854858398,6.425599098205566,18.245319366455078,0.6976414121027329,2.5741939544677734,0.7543859649122807,8.36217975616455,0.0,0.7894736842105263,8.664299594981353,0.0057017543859649075,0.7894736842105263,9.82751433368034,0.006140350877192971,0.8697880962529778,0.6881310304403483,0.6006611355976148,0.6079206637282863,0.00592105263157894,0.0
compound,42,legacy_threshold,valid,common,55,2.1728322505950928,2.991131067276001,0.7279118618185461,0.7319018840789795,0.8,7.727613925933838,4.072673797607422,7.036866188049316,0.6642541063887766,1.4640320539474487,0.7818181818181819,7.74802303314209,0.0,0.8181818181818182,7.854305454615971,0.017045454545454516,0.8181818181818182,9.105737243859803,0.017045454545454516,0.35970179527716956,0.4605376384894625,0.5559884559884561,0.5640692640692642,0.017045454545454516,0.0
compound,42,legacy_threshold,valid,tail,2,26.98553466796875,30.944372177124023,-0.7964273139128188,12.085144996643066,0.0,30.440080642700195,71.13105773925781,90.14256286621094,-0.5138969348343914,33.103641510009766,0.0,25.251476287841797,0.0,0.0,30.939138455029404,0.5,0.0,29.676384303745053,0.46875,4.239137517424329,6.946949309089708,,,0.484375,0.0
compound,42,no_threshold,test,full,58,2.8202521800994873,4.2779035568237305,0.8776788055545864,1.0777101516723633,0.7241379310344828,8.514452934265137,4.788316249847412,6.853013038635254,0.9063719663329284,1.6363525390625,0.5,9.07112979888916,0.0,0.8103448275862069,12.198964887475343,0.08124999999999998,0.6896551724137931,12.655009428678879,0.09547413793103451,0.4185593337052065,0.5680275014994592,0.7155249315574149,0.7173090528776648,0.08836206896551724,0.0
compound,42,no_threshold,test,common,56,2.830967426300049,4.3156585693359375,0.7951459730600685,1.0680516958236694,0.7142857142857143,7.824138164520264,4.3827290534973145,6.239954471588135,0.8758616359761118,1.522110939025879,0.5178571428571429,8.47037410736084,0.0,0.8035714285714286,11.209925121653876,0.06785714285714284,0.6785714285714286,11.816903594537765,0.08727678571428574,0.40214108441475227,0.5448770454261845,0.6921394395078606,0.6941216678058784,0.07756696428571429,0.0
compound,42,no_threshold,test,tail,2,2.5202255249023438,3.0357789993286133,0.8330215787807619,1.3481470346450806,1.0,27.843284606933594,16.14476776123047,16.48371696472168,0.4087623726083519,4.835120677947998,0.0,25.892284393310547,0.0,1.0,39.89207833047642,0.46875,1.0,36.121972784630096,0.37500000000000006,0.644022569048152,1.2162402715511513,,,0.421875,0.0
compound,42,no_threshold,valid,full,57,3.3715624809265137,5.89322566986084,0.8631168262242832,1.1371779441833496,0.7192982456140351,8.007489204406738,6.413020610809326,17.248918533325195,0.7297640696285124,2.496128797531128,0.6666666666666666,8.051663398742676,0.0,0.8245614035087719,11.472618529430765,0.016447368421052613,0.8245614035087719,11.232765525607746,0.016447368421052613,0.8097639282750497,0.7201952636053124,0.6400051853772362,0.6400051853772362,0.016447368421052613,0.0
