score,rows,top_rows,base_tail_fraction,top_tail_fraction,tail_enrichment,hard_error_top10_overlap,top_mean_V1,top_mean_V2,top_mean_error,split_mode,seed,protocol,evaluation_split
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,44.493054707845054,83.67916806538899,1.0419841949048096,compound,42,legacy_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,44.493054707845054,83.67916806538899,1.0419841949048096,compound,42,legacy_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.6666666666666666,46.2680557568868,93.26388963063557,3.025089367954301,compound,42,legacy_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.6666666666666666,46.2680557568868,93.26388963063557,3.025089367954301,compound,42,legacy_threshold,valid
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.5,44.91111056009928,80.99722290039062,0.981651640837019,compound,42,no_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.5,44.91111056009928,80.99722290039062,0.981651640837019,compound,42,no_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.6666666666666666,46.2680557568868,93.26388963063557,2.9576573039543455,compound,42,no_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.6666666666666666,46.2680557568868,93.26388963063557,2.9576573039543455,compound,42,no_threshold,valid
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,56.04722245534261,78.39444414774577,1.7191684329574402,compound,525,legacy_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,56.04722245534261,78.39444414774577,1.7191684329574402,compound,525,legacy_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,55.2819439570109,102.77639071146648,3.1200939396486116,compound,525,legacy_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,55.2819439570109,102.77639071146648,3.1200939396486116,compound,525,legacy_threshold,valid
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.5,56.04722245534261,78.39444414774577,1.952176118179704,compound,525,no_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.5,56.04722245534261,78.39444414774577,1.952176118179704,compound,525,no_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,55.2819439570109,102.77639071146648,2.563167058656657,compound,525,no_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,55.2819439570109,102.77639071146648,2.563167058656657,compound,525,no_threshold,valid
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,49.89305591583252,93.33333269755046,2.04654726060363,compound,1101,legacy_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.3333333333333333,49.89305591583252,93.33333269755046,2.04654726060363,compound,1101,legacy_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.8333333333333334,52.129167556762695,89.51388867696126,3.22827907423873,compound,1101,legacy_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.8333333333333334,52.129167556762695,89.51388867696126,3.22827907423873,compound,1101,legacy_threshold,valid
raw_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.6666666666666666,49.89305591583252,93.33333269755046,3.3194243149377445,compound,1101,no_threshold,test
calibrated_quantile_width_score,58,6,0.034482758620689655,0.3333333333333333,9.666666666666666,0.6666666666666666,49.89305591583252,93.33333269755046,3.3194243149377445,compound,1101,no_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.8333333333333334,52.129167556762695,89.51388867696126,2.430320358917475,compound,1101,no_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.8333333333333334,52.129167556762695,89.51388867696126,2.430320358917475,compound,1101,no_threshold,valid
raw_quantile_width_score,59,6,0.05084745762711865,0.5,9.833333333333332,0.6666666666666666,58.836111307144165,105.00694489479065,4.275788540338197,row,42,legacy_threshold,test
calibrated_quantile_width_score,59,6,0.05084745762711865,0.5,9.833333333333332,0.6666666666666666,58.836111307144165,105.00694489479065,4.275788540338197,row,42,legacy_threshold,test
raw_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,54.7805560429891,100.80972226460774,2.2802887798282225,row,42,legacy_threshold,valid
calibrated_quantile_width_score,57,6,0.03508771929824561,0.3333333333333333,9.5,0.5,53.82222270965576,99.92916679382324,2.3092505104209553,row,42,legacy_threshold,valid
raw_quantile_width_score,59,6,0.05084745762711865,0.5,9.833333333333332,1.0,58.836111307144165,105.00694489479065,6.3412201618452455,row,42,no_threshold,test
calibrated_quantile_width_score,59,6,0.05084745762711865,0.5,9.833333333333332,1.0,58.836111307144165,105.00694489479065,6.3412201618452455,row,42,no_threshold,test
