seed,source_trajectory,winner_at_429,winner_at_653,winner_changed
157,gradient_lcmd,kernel_ivr,kernel_ivr,False
157,kernel_ivr,gradient_lcmd,kernel_ivr,True
6101,gradient_lcmd,kernel_ivr,gradient_lcmd,True
6101,kernel_ivr,gradient_lcmd,gradient_lcmd,False
