feature,outcome,n_anchors,spearman_rho,abs_spearman_rho,p_value,interpretation
coverage_nearest_distance_p90,IVR_minus_MaxDet_AULC,8,-0.7619047619047621,0.7619047619047621,,exploratory_descriptive_only
coverage_nearest_distance_mean,IVR_minus_MaxDet_AULC,8,-0.7142857142857144,0.7142857142857144,,exploratory_descriptive_only
recent_validation_last_step_delta,IVR_minus_MaxDet_AULC,8,0.5714285714285715,0.5714285714285715,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,IVR_minus_MaxDet_AULC,8,-0.5714285714285715,0.5714285714285715,,exploratory_descriptive_only
recent_validation_nrmse,IVR_minus_MaxDet_AULC,8,-0.5476190476190477,0.5476190476190477,,exploratory_descriptive_only
gradient_norm_p95,IVR_minus_MaxDet_AULC,8,0.5476190476190477,0.5476190476190477,,exploratory_descriptive_only
gradient_norm_std,IVR_minus_MaxDet_AULC,8,0.523809523809524,0.523809523809524,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,IVR_minus_MaxDet_AULC,8,-0.523809523809524,0.523809523809524,,exploratory_descriptive_only
gradient_norm_p90,IVR_minus_MaxDet_AULC,8,0.5000000000000001,0.5000000000000001,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,IVR_minus_MaxDet_AULC,8,0.4523809523809524,0.4523809523809524,,exploratory_descriptive_only
gradient_norm_mean,IVR_minus_MaxDet_AULC,8,0.38095238095238104,0.38095238095238104,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,IVR_minus_MaxDet_AULC,8,0.30952380952380953,0.30952380952380953,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,IVR_minus_MaxDet_AULC,8,-0.04761904761904763,0.04761904761904763,,exploratory_descriptive_only
gradient_norm_std,LCMD_minus_IVR_AULC,8,-0.6428571428571429,0.6428571428571429,,exploratory_descriptive_only
gradient_norm_p95,LCMD_minus_IVR_AULC,8,-0.5714285714285715,0.5714285714285715,,exploratory_descriptive_only
recent_validation_last_step_delta,LCMD_minus_IVR_AULC,8,-0.5000000000000001,0.5000000000000001,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,LCMD_minus_IVR_AULC,8,0.4523809523809524,0.4523809523809524,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,LCMD_minus_IVR_AULC,8,0.4285714285714286,0.4285714285714286,,exploratory_descriptive_only
gradient_norm_p90,LCMD_minus_IVR_AULC,8,-0.3571428571428572,0.3571428571428572,,exploratory_descriptive_only
coverage_nearest_distance_mean,LCMD_minus_IVR_AULC,8,0.3571428571428572,0.3571428571428572,,exploratory_descriptive_only
coverage_nearest_distance_p90,LCMD_minus_IVR_AULC,8,0.3333333333333334,0.3333333333333334,,exploratory_descriptive_only
gradient_norm_mean,LCMD_minus_IVR_AULC,8,-0.2380952380952381,0.2380952380952381,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,LCMD_minus_IVR_AULC,8,-0.2142857142857143,0.2142857142857143,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,LCMD_minus_IVR_AULC,8,0.14285714285714288,0.14285714285714288,,exploratory_descriptive_only
recent_validation_nrmse,LCMD_minus_IVR_AULC,8,0.04761904761904763,0.04761904761904763,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,LCMD_minus_IVR_AULC,8,0.0,0.0,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,LCMD_minus_MaxDet_AULC,8,0.5952380952380953,0.5952380952380953,,exploratory_descriptive_only
recent_validation_nrmse,LCMD_minus_MaxDet_AULC,8,-0.5476190476190477,0.5476190476190477,,exploratory_descriptive_only
gradient_norm_std,LCMD_minus_MaxDet_AULC,8,-0.5000000000000001,0.5000000000000001,,exploratory_descriptive_only
gradient_norm_p95,LCMD_minus_MaxDet_AULC,8,-0.38095238095238104,0.38095238095238104,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,LCMD_minus_MaxDet_AULC,8,0.38095238095238104,0.38095238095238104,,exploratory_descriptive_only
coverage_nearest_distance_p90,LCMD_minus_MaxDet_AULC,8,-0.3571428571428572,0.3571428571428572,,exploratory_descriptive_only
coverage_nearest_distance_mean,LCMD_minus_MaxDet_AULC,8,-0.30952380952380953,0.30952380952380953,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,LCMD_minus_MaxDet_AULC,8,0.2380952380952381,0.2380952380952381,,exploratory_descriptive_only
gradient_norm_p90,LCMD_minus_MaxDet_AULC,8,-0.19047619047619052,0.19047619047619052,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,LCMD_minus_MaxDet_AULC,8,-0.1666666666666667,0.1666666666666667,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,LCMD_minus_MaxDet_AULC,8,-0.11904761904761905,0.11904761904761905,,exploratory_descriptive_only
recent_validation_last_step_delta,LCMD_minus_MaxDet_AULC,8,0.09523809523809526,0.09523809523809526,,exploratory_descriptive_only
gradient_norm_mean,LCMD_minus_MaxDet_AULC,8,-0.09523809523809526,0.09523809523809526,,exploratory_descriptive_only
