feature,outcome,n_anchors,spearman_rho,p_value,interpretation
recent_validation_nrmse,short_AULC_gradient_lcmd,8,0.880952380952381,,exploratory_descriptive_only
recent_validation_nrmse,short_AULC_kernel_ivr,8,0.880952380952381,,exploratory_descriptive_only
recent_validation_nrmse,short_AULC_gradient_maxdet,8,0.880952380952381,,exploratory_descriptive_only
recent_validation_last_step_delta,short_AULC_gradient_lcmd,8,-0.3333333333333334,,exploratory_descriptive_only
recent_validation_last_step_delta,short_AULC_kernel_ivr,8,-0.3333333333333334,,exploratory_descriptive_only
recent_validation_last_step_delta,short_AULC_gradient_maxdet,8,-0.3333333333333334,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,short_AULC_gradient_lcmd,8,-0.11904761904761905,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,short_AULC_kernel_ivr,8,-0.11904761904761905,,exploratory_descriptive_only
recent_validation_2step_linear_slope_per_label,short_AULC_gradient_maxdet,8,-0.11904761904761905,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,short_AULC_gradient_lcmd,8,-0.2142857142857143,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,short_AULC_kernel_ivr,8,-0.2142857142857143,,exploratory_descriptive_only
recent_validation_3step_linear_slope_per_label,short_AULC_gradient_maxdet,8,-0.2142857142857143,,exploratory_descriptive_only
gradient_norm_mean,short_AULC_gradient_lcmd,8,-0.1666666666666667,,exploratory_descriptive_only
gradient_norm_mean,short_AULC_kernel_ivr,8,-0.1666666666666667,,exploratory_descriptive_only
gradient_norm_mean,short_AULC_gradient_maxdet,8,-0.1666666666666667,,exploratory_descriptive_only
gradient_norm_std,short_AULC_gradient_lcmd,8,0.2380952380952381,,exploratory_descriptive_only
gradient_norm_std,short_AULC_kernel_ivr,8,0.2380952380952381,,exploratory_descriptive_only
gradient_norm_std,short_AULC_gradient_maxdet,8,0.2380952380952381,,exploratory_descriptive_only
gradient_norm_p90,short_AULC_gradient_lcmd,8,0.04761904761904763,,exploratory_descriptive_only
gradient_norm_p90,short_AULC_kernel_ivr,8,0.04761904761904763,,exploratory_descriptive_only
gradient_norm_p90,short_AULC_gradient_maxdet,8,0.04761904761904763,,exploratory_descriptive_only
gradient_norm_p95,short_AULC_gradient_lcmd,8,0.09523809523809526,,exploratory_descriptive_only
gradient_norm_p95,short_AULC_kernel_ivr,8,0.09523809523809526,,exploratory_descriptive_only
gradient_norm_p95,short_AULC_gradient_maxdet,8,0.09523809523809526,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,short_AULC_gradient_lcmd,8,-0.6190476190476191,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,short_AULC_kernel_ivr,8,-0.6190476190476191,,exploratory_descriptive_only
gradient_effective_rank_participation_ratio,short_AULC_gradient_maxdet,8,-0.6190476190476191,,exploratory_descriptive_only
coverage_nearest_distance_mean,short_AULC_gradient_lcmd,8,0.523809523809524,,exploratory_descriptive_only
coverage_nearest_distance_mean,short_AULC_kernel_ivr,8,0.523809523809524,,exploratory_descriptive_only
coverage_nearest_distance_mean,short_AULC_gradient_maxdet,8,0.523809523809524,,exploratory_descriptive_only
coverage_nearest_distance_p90,short_AULC_gradient_lcmd,8,0.5714285714285715,,exploratory_descriptive_only
coverage_nearest_distance_p90,short_AULC_kernel_ivr,8,0.5714285714285715,,exploratory_descriptive_only
coverage_nearest_distance_p90,short_AULC_gradient_maxdet,8,0.5714285714285715,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,short_AULC_gradient_lcmd,8,0.5714285714285715,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,short_AULC_kernel_ivr,8,0.5714285714285715,,exploratory_descriptive_only
ivr_predicted_relative_reduction_B32,short_AULC_gradient_maxdet,8,0.5714285714285715,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,short_AULC_gradient_lcmd,8,0.3571428571428572,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,short_AULC_kernel_ivr,8,0.3571428571428572,,exploratory_descriptive_only
maxdet_total_marginal_logdet_gain_B32,short_AULC_gradient_maxdet,8,0.3571428571428572,,exploratory_descriptive_only
