endpoint,strategy,count
plus32,gradient_lcmd,5
plus32,kernel_ivr,3
plus64,gradient_lcmd,4
plus64,kernel_ivr,3
plus64,gradient_maxdet,1
short_AULC,kernel_ivr,4
short_AULC,gradient_lcmd,4
