left_strategy,right_strategy,intersection_mean,intersection_min,intersection_max,jaccard_mean,jaccard_min,jaccard_max
gradient_lcmd,gradient_maxdet,3.25,0,7,0.0555626645404761,0.0,0.1228070175438596
gradient_lcmd,kernel_ivr,5.125,1,9,0.08948840762799969,0.0158730158730158,0.1636363636363636
kernel_ivr,gradient_maxdet,15.375,12,22,0.3233800373296171,0.2307692307692307,0.5238095238095238
