seed,source_trajectory,anchor_budget,winner_plus32,winner_plus64,winner_short_AULC,test_AULC_ranking,validation_plus64_ranking,validation_test_ranking_exact_match,within_anchor_AULC_range
157,gradient_lcmd,429,kernel_ivr,kernel_ivr,kernel_ivr,kernel_ivr > gradient_maxdet > gradient_lcmd,kernel_ivr > gradient_maxdet > gradient_lcmd,False,0.047463259200791086
157,gradient_lcmd,653,kernel_ivr,gradient_lcmd,kernel_ivr,kernel_ivr > gradient_maxdet > gradient_lcmd,kernel_ivr > gradient_lcmd > gradient_maxdet,False,0.019557730276782426
157,kernel_ivr,429,gradient_lcmd,gradient_lcmd,gradient_lcmd,gradient_lcmd > kernel_ivr > gradient_maxdet,kernel_ivr > gradient_lcmd > gradient_maxdet,False,0.00894435639033031
157,kernel_ivr,653,gradient_lcmd,kernel_ivr,kernel_ivr,kernel_ivr > gradient_lcmd > gradient_maxdet,gradient_lcmd > kernel_ivr > gradient_maxdet,False,0.010715071578708435
6101,gradient_lcmd,429,kernel_ivr,gradient_lcmd,kernel_ivr,kernel_ivr > gradient_lcmd > gradient_maxdet,gradient_maxdet > kernel_ivr > gradient_lcmd,False,0.03231463262490497
6101,gradient_lcmd,653,gradient_lcmd,gradient_lcmd,gradient_lcmd,gradient_lcmd > gradient_maxdet > kernel_ivr,gradient_lcmd > kernel_ivr > gradient_maxdet,False,0.026355791227282044
6101,kernel_ivr,429,gradient_lcmd,kernel_ivr,gradient_lcmd,gradient_lcmd > kernel_ivr > gradient_maxdet,kernel_ivr > gradient_maxdet > gradient_lcmd,False,0.034870392548924434
6101,kernel_ivr,653,gradient_lcmd,gradient_maxdet,gradient_lcmd,gradient_lcmd > gradient_maxdet > kernel_ivr,gradient_maxdet > gradient_lcmd > kernel_ivr,True,0.010714448957998779
