source_trajectory,anchor_budget,winner_seed_157,winner_seed_6101,winner_changed
gradient_lcmd,429,kernel_ivr,kernel_ivr,False
gradient_lcmd,653,kernel_ivr,gradient_lcmd,True
kernel_ivr,429,gradient_lcmd,gradient_lcmd,False
kernel_ivr,653,kernel_ivr,gradient_lcmd,True
