record_type,outer_seed,cluster,cluster_size,cluster_fraction,L0_coverage_count,mean_transfer_prediction_shift,mean_target_ensemble_uncertainty,mean_pool_knn10_distance,unique_compounds,quantile,value,relationship,spearman,condition,metric
shift_quantile,1101,,,,,,,,,0.0,0.1241663799415377,,,,
shift_quantile,1101,,,,,,,,,0.01,0.257313446114319,,,,
shift_quantile,1101,,,,,,,,,0.05,0.3434673160122571,,,,
shift_quantile,1101,,,,,,,,,0.1,0.3813352300246455,,,,
shift_quantile,1101,,,,,,,,,0.25,0.48469443373646687,,,,
shift_quantile,1101,,,,,,,,,0.5,0.69661156049088,,,,
shift_quantile,1101,,,,,,,,,0.75,1.1800492072417972,,,,
shift_quantile,1101,,,,,,,,,0.9,1.7784801630919185,,,,
shift_quantile,1101,,,,,,,,,0.95,2.4055433363292607,,,,
shift_quantile,1101,,,,,,,,,0.99,3.8509789560385035,,,,
shift_quantile,1101,,,,,,,,,1.0,6.3369966305015595,,,,
correlation,1101,,,,,,,,,,,shift_vs_density,-0.6648287746627092,,
correlation,1101,,,,,,,,,,,shift_vs_uncertainty,0.6739069840991452,,
correlation,1101,,,,,,,,,,,shift_vs_QWidth,0.9145212913525008,,
correlation,1101,,,,,,,,,,,shift_vs_latent_distance,0.6862511098339044,,
correlation,1101,,,,,,,,,,,uncertainty_vs_QWidth,0.6448059039599728,,
correlation,1101,,,,,,,,,,,uncertainty_vs_latent_distance,0.7092268541841464,,
correlation,1101,,,,,,,,,,,QWidth_vs_latent_distance,0.659218966874165,,
condition_association,1101,,,,,,,,,,,,-0.7208652901944548,eluent_descriptor_0,
condition_association,1101,,,,,,,,,,,,-0.7208652901944548,eluent_descriptor_1,
condition_association,1101,,,,,,,,,,,,0.7208652901944548,eluent_descriptor_2,
condition_association,1101,,,,,,,,,,,,,eluent_descriptor_3,
condition_association,1101,,,,,,,,,,,,-0.7208652901944548,eluent_descriptor_4,
condition_association,1101,,,,,,,,,,,,0.7208652901944548,eluent_descriptor_5,
condition_association,1101,,,,,,,,,,,,0.2119639350291127,loading_solvent_code,
condition_association,1101,,,,,,,,,,,,-0.016638263744257732,loading_mass_proxy,
condition_association,1101,,,,,,,,,,,,0.06442375940522527,loading_volume,
compound_concentration,1101,,,,,,,,,,0.24212999488028966,,,,top_10_compounds_shift_share
compound_concentration,1101,,,,,,,,,,0.015469405479905222,,,,shift_weight_HHI_by_compound
