outer_seed,strategy,round,budget_before,mean_transfer_prediction_shift,mean_target_ensemble_uncertainty,mean_quantile_width,mean_latent_distance,mean_target_representativeness,mean_pool_knn10_distance,mean_true_standardized_error_after_reveal,mean_label_extremeness_after_reveal,next_round_delta_test_NRMSE_posthoc,test_usage
42,pretrained_random,1,50,0.9745698282762527,0.15494030092305539,0.6903045547628915,8.102034422592867,-5.8929389652440936,5.8929389652440936,0.4013599349978437,0.5062508226042176,-0.0579531020372398,posthoc_mechanism_only
42,pretrained_random,2,60,0.9460610827919471,0.21093625155455759,0.7710522538200995,7.072725966653005,-5.460256945700964,5.460256945700964,0.26723853508847284,0.6203911855317341,-0.0063948089985026435,posthoc_mechanism_only
42,pretrained_random,3,70,1.1752403869740558,0.5760691587201957,0.8168614013637019,8.238885118587145,-5.81209258868048,5.81209258868048,0.2365908978207861,0.6146457923430771,-0.0046995225015807884,posthoc_mechanism_only
42,pretrained_random,4,80,1.029514262294409,0.3151417179270374,0.025102932577613497,6.277909336279322,-5.279263843474153,5.279263843474153,0.3212990480476016,0.4490156531311474,0.0223667266347346,posthoc_mechanism_only
42,pretrained_random,5,90,1.256877503853073,0.06968018911722809,0.14151902073538036,9.567230565382415,-8.031052229129124,8.031052229129124,0.32702243444590573,1.0154365616256906,-0.010002888469858418,posthoc_mechanism_only
42,pretrained_random,6,100,1.7635863322659358,0.25505916234103365,0.05791239828373014,9.622619029863749,-8.628496521081498,8.628496521081498,1.0403236899162451,0.9233934409929576,0.09597046319888924,posthoc_mechanism_only
42,pretrained_random,7,110,1.056770908496345,0.2562436163880125,0.022559864913163124,5.326764939005335,-4.727913664482247,4.727913664482247,0.3998747974057113,0.4403486964864509,-0.028014060313488964,posthoc_mechanism_only
42,pretrained_random,8,120,0.7325208150649833,0.0998336556761249,0.22968958739323675,5.478413367743721,-4.865900294958808,4.865900294958808,0.2000470631993906,0.39425153430022786,-0.0018891196681163347,posthoc_mechanism_only
42,pretrained_random,9,130,1.0555914440813239,0.32915324113732486,0.3195832271793358,6.894826835455842,-5.8112602731328415,5.8112602731328415,0.4466519712953388,0.8689108391017235,-0.038250128946825,posthoc_mechanism_only
42,pretrained_random,10,140,1.4749605435969833,0.3748787652701556,0.34534461424189145,6.8679603839581365,-6.415135512114944,6.415135512114944,0.33594154632267065,0.7050031620442968,0.015856874266804044,posthoc_mechanism_only
42,pretrained_random,11,150,1.1402147379862864,0.14241965429566664,0.2818827527285278,5.858784784814088,-5.271089862123627,5.271089862123627,0.3379793288009643,0.45559209587539895,-0.01861805157386809,posthoc_mechanism_only
42,pretrained_random,12,160,0.986141276619661,0.1558264487315695,0.19626584028627078,6.321089693651228,-5.71750733598861,5.71750733598861,0.1988313382757617,0.542407649705964,-0.004703120371974956,posthoc_mechanism_only
42,pretrained_random,13,170,1.2605544031444316,0.16978939120364495,0.16846454435389208,6.214255595353391,-6.536735423301034,6.536735423301034,0.22513850580153294,0.7211670039078706,-0.041228111327331174,posthoc_mechanism_only
42,pretrained_random,14,180,1.0985649436907647,0.24655123874569043,0.11916116594769485,6.242578298519564,-6.035882744146091,6.035882744146091,0.3119882924132469,0.5686208340260366,-0.0051100994892903095,posthoc_mechanism_only
42,pretrained_random,15,190,0.7477416367147868,0.032349640409311375,0.15238512340403537,4.242163530213313,-4.335578672376351,4.335578672376351,0.24601252592149456,0.47265873723455726,0.021663732186328777,posthoc_mechanism_only
42,pretrained_coverage,1,50,4.490626950165806,3.66780484936992,2.658710021141087,30.52398694561321,-21.050898167880508,21.050898167880508,1.9351842189490611,3.468092404865576,-0.017859292021047746,posthoc_mechanism_only
42,pretrained_coverage,2,60,4.226622713115325,1.1988664708776395,0.1322391389470356,9.056889941624519,-8.430281964328547,8.430281964328547,2.2783561364897817,1.1412873918879614,0.06272025530877501,posthoc_mechanism_only
