level,outer_seed,signal,outcome,n,spearman
sample,all,transfer_prediction_shift,true_standardized_error_after_reveal,2250,0.5263373553032921
sample,all,transfer_prediction_shift,label_extremeness_after_reveal,2250,0.010499844459019084
sample,all,target_ensemble_uncertainty,true_standardized_error_after_reveal,2250,0.47925336728303025
sample,all,target_ensemble_uncertainty,label_extremeness_after_reveal,2250,0.17207653060257933
sample,all,quantile_width,true_standardized_error_after_reveal,2250,0.3788337378412303
sample,all,quantile_width,label_extremeness_after_reveal,2250,0.0510869963276545
sample,all,latent_distance,true_standardized_error_after_reveal,2250,0.43605727909795683
sample,all,latent_distance,label_extremeness_after_reveal,2250,0.2237884441088753
sample,all,target_representativeness,true_standardized_error_after_reveal,2250,-0.44554384511214107
sample,all,target_representativeness,label_extremeness_after_reveal,2250,-0.1201290992547746
sample,42,transfer_prediction_shift,true_standardized_error_after_reveal,750,0.594126701574769
sample,42,transfer_prediction_shift,label_extremeness_after_reveal,750,0.041410659827297316
sample,42,target_ensemble_uncertainty,true_standardized_error_after_reveal,750,0.5489440148765944
sample,42,target_ensemble_uncertainty,label_extremeness_after_reveal,750,0.2019263463326679
sample,42,quantile_width,true_standardized_error_after_reveal,750,0.4017723320947243
sample,42,quantile_width,label_extremeness_after_reveal,750,0.02295031310333258
sample,42,latent_distance,true_standardized_error_after_reveal,750,0.47366823219574056
sample,42,latent_distance,label_extremeness_after_reveal,750,0.19544840299138422
sample,42,target_representativeness,true_standardized_error_after_reveal,750,-0.46548463219794795
sample,42,target_representativeness,label_extremeness_after_reveal,750,-0.11240965525080295
sample,525,transfer_prediction_shift,true_standardized_error_after_reveal,750,0.45135618184498705
sample,525,transfer_prediction_shift,label_extremeness_after_reveal,750,-0.07032748425930331
sample,525,target_ensemble_uncertainty,true_standardized_error_after_reveal,750,0.4031941853267663
sample,525,target_ensemble_uncertainty,label_extremeness_after_reveal,750,0.15525777087789708
sample,525,quantile_width,true_standardized_error_after_reveal,750,0.4619619752019016
sample,525,quantile_width,label_extremeness_after_reveal,750,-0.07079673342053856
sample,525,latent_distance,true_standardized_error_after_reveal,750,0.381975669657297
sample,525,latent_distance,label_extremeness_after_reveal,750,0.21100523533380744
sample,525,target_representativeness,true_standardized_error_after_reveal,750,-0.41482615427324837
sample,525,target_representativeness,label_extremeness_after_reveal,750,-0.07678913881479944
sample,1101,transfer_prediction_shift,true_standardized_error_after_reveal,750,0.5693170882719956
sample,1101,transfer_prediction_shift,label_extremeness_after_reveal,750,0.03958115563896253
sample,1101,target_ensemble_uncertainty,true_standardized_error_after_reveal,750,0.48785762632248764
sample,1101,target_ensemble_uncertainty,label_extremeness_after_reveal,750,0.16631307999879366
sample,1101,quantile_width,true_standardized_error_after_reveal,750,0.2870338247820376
sample,1101,quantile_width,label_extremeness_after_reveal,750,0.18609533068620165
sample,1101,latent_distance,true_standardized_error_after_reveal,750,0.48602027473817333
sample,1101,latent_distance,label_extremeness_after_reveal,750,0.2561460560983291
sample,1101,target_representativeness,true_standardized_error_after_reveal,750,-0.48122793945667547
sample,1101,target_representativeness,label_extremeness_after_reveal,750,-0.16508214957159753
batch,all,mean_transfer_prediction_shift,next_round_delta_test_NRMSE_posthoc,225,-0.032576906868942275
batch,all,mean_target_ensemble_uncertainty,next_round_delta_test_NRMSE_posthoc,225,-0.05086704593341762
batch,all,mean_quantile_width,next_round_delta_test_NRMSE_posthoc,225,0.009707121786767806
batch,all,mean_latent_distance,next_round_delta_test_NRMSE_posthoc,225,0.17023598820059
batch,all,mean_target_representativeness,next_round_delta_test_NRMSE_posthoc,225,-0.14042351453855878
sample_gradient,all,transfer_prediction_shift,gradient_L2,150,0.6131869206662126
sample_gradient,all,target_ensemble_uncertainty,gradient_L2,150,0.7154813612824309
sample_gradient,all,quantile_width,gradient_L2,150,0.6520497032478626
sample_gradient,all,latent_distance,gradient_L2,150,0.5187200580433832
sample_gradient,all,target_representativeness,gradient_L2,150,-0.6129907635621281
sample_gradient,42,transfer_prediction_shift,gradient_L2,50,0.6743492277342059
sample_gradient,42,target_ensemble_uncertainty,gradient_L2,50,0.7356493287783286
sample_gradient,42,quantile_width,gradient_L2,50,0.636144926141558
sample_gradient,42,latent_distance,gradient_L2,50,0.71139873935428
sample_gradient,42,target_representativeness,gradient_L2,50,-0.7165952942308618
sample_gradient,525,transfer_prediction_shift,gradient_L2,50,0.6699393589373376
sample_gradient,525,target_ensemble_uncertainty,gradient_L2,50,0.7921840408123977
sample_gradient,525,quantile_width,gradient_L2,50,0.6873616324959091
sample_gradient,525,latent_distance,gradient_L2,50,0.6488593704880162
sample_gradient,525,target_representativeness,gradient_L2,50,-0.7297141207045914
sample_gradient,1101,transfer_prediction_shift,gradient_L2,50,0.624888696544634
sample_gradient,1101,target_ensemble_uncertainty,gradient_L2,50,0.7832406808034221
sample_gradient,1101,quantile_width,gradient_L2,50,0.6697470702009231
sample_gradient,1101,latent_distance,gradient_L2,50,0.4070366270395149
sample_gradient,1101,target_representativeness,gradient_L2,50,-0.634595947441883
