dataset,outer_seed,role,section,metric,value
4g_source,,all,compound,rows,4163.0
4g_source,,all,compound,unique_compounds,217.0
4g_source,,all,compound,samples_per_compound_mean,19.18433179723502
4g_source,,all,compound,samples_per_compound_median,21.0
4g_source,,all,compound,samples_per_compound_p90,24.400000000000006
4g_source,,all,compound,samples_per_compound_max,42.0
4g_source,,all,compound,compound_HHI,0.005202079631661256
8g_target,42.0,l0_train,compound,rows,42.0
8g_target,42.0,l0_train,compound,unique_compounds,32.0
8g_target,42.0,l0_train,compound,samples_per_compound_mean,1.3125
8g_target,42.0,l0_train,compound,samples_per_compound_median,1.0
8g_target,42.0,l0_train,compound,samples_per_compound_p90,2.0
8g_target,42.0,l0_train,compound,samples_per_compound_max,3.0
8g_target,42.0,l0_train,compound,compound_HHI,0.03741496598639456
8g_target,42.0,l0_train,condition,unique_condition_vectors,41.0
8g_target,42.0,l0_train,condition,mean_unique_conditions_per_compound,1.28125
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_min,86.14764404296875
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_q25,86.28617858886719
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_median,86.59527587890625
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_q75,87.08099365234375
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_max,88.05242919921875
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_0_std,0.6632704734802246
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_min,0.5156862735748291
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_q25,2.390909194946289
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_median,6.574999809265137
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_q75,13.149999618530273
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_max,26.299999237060547
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_1_std,8.978436470031738
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_min,1.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_q25,2.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_median,2.5
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_q75,2.8181817531585693
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_max,2.9607841968536377
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_2_std,0.682770848274231
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_min,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_q25,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_median,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_q75,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_max,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_3_std,0.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_min,0.03921568766236305
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_q25,0.1818181872367859
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_median,0.5
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_q75,1.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_max,2.0
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_4_std,0.6827709078788757
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_5_min,0.5694000124931335
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_5_q25,1.5780000686645508
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_5_median,2.0822999477386475
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_5_q75,2.4032182693481445
8g_target,42.0,l0_train,condition_dimension,eluent_descriptor_5_max,2.5470471382141113
