candidate,outer_seed,lambda,mean_transfer_shift,mean_target_uncertainty,mean_informativeness,mean_representativeness,mean_knn10_distance,batch_mean_pairwise_distance,batch_min_pairwise_distance,unique_compounds,compound_HHI,shift_retention,uncertainty_retention,informativeness_retention,representativeness_gain,density_gain,T2_sample_overlap_fraction
T3R,42,0.0,5.760690050912019,5.15092828874981,0.9818669527896995,-20.841513860115747,20.841513860115747,30.175942704916185,12.664595050934667,9,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,1.0
T3R,42,0.1,5.760690050912019,5.15092828874981,0.9818669527896995,-20.841513860115747,20.841513860115747,30.175942704916185,12.664595050934667,9,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,1.0
T3R,42,0.2,4.3093313183510915,5.190914424247998,0.9580472103004292,-14.766993058295892,14.766993058295892,29.77613845048779,5.538664730334307,8,0.14,0.7480581805766218,1.007762898890579,0.9757403562452192,6.074520801819855,0.29146255126143317,0.6
T3R,42,0.3,1.4009668040349124,0.9138165858149165,0.8182403433476395,-4.74288445410428,4.74288445410428,7.848563137741605,4.332768855968894,7,0.18000000000000005,0.2431942686819463,0.1774081358909212,0.8333515462790952,16.09862940601147,0.7724309046867894,0.0
old_T3_D43_failed,42,,2.9619781878127256,1.7191235291348073,0.8861587982832619,-10.279920031397001,10.279920031397001,22.790530390730524,6.360350426811286,8,0.16000000000000003,0.5141707263600811,0.33375023544582455,0.9025243142825923,10.561593828718745,0.5067575176931072,0.1
T3R,525,0.0,3.46451720326696,2.0172468010697733,0.9830472103004292,-11.198840232969857,11.198840232969857,15.091939525484074,7.746266312353435,10,0.10000000000000003,1.0,1.0,1.0,0.0,0.0,1.0
T3R,525,0.1,3.46451720326696,2.0172468010697733,0.9830472103004292,-11.198840232969857,11.198840232969857,15.091939525484074,7.746266312353435,10,0.10000000000000003,1.0,1.0,1.0,0.0,0.0,1.0
T3R,525,0.2,3.24317346490293,1.930735713124637,0.9716738197424892,-10.08404145576358,10.08404145576358,18.06560334389054,1.706231347707432,10,0.10000000000000003,0.9361112312690184,0.9571142767958495,0.9884304736956996,1.1147987772062766,0.09954591314949401,0.8
T3R,525,0.3,1.399414288831583,0.5936406849908933,0.8393776824034335,-3.53126393530291,3.53126393530291,5.342829962189908,1.350380586208781,7,0.16000000000000006,0.40392764899881795,0.2942826255449148,0.8538528705522811,7.6675762976669475,0.6846759251992256,0.0
old_T3_D43_failed,525,,2.3966416083800426,0.7050772169582413,0.8814377682403434,-6.817006261699381,6.817006261699381,16.062448994512252,6.153935340035786,8,0.16000000000000003,0.6917678475142408,0.3495245185588245,0.8966382885832788,4.381833971270476,0.3912756928498875,0.1
T3R,1101,0.0,3.85094055389204,2.002916481372005,0.9833690987124463,-20.556435016595962,20.556435016595962,27.43242259943418,7.193856988096645,10,0.10000000000000003,1.0,1.0,1.0,0.0,0.0,1.0
T3R,1101,0.1,3.463727213537998,2.1155570026921247,0.9830472103004292,-17.76847411538463,17.76847411538463,23.818881803144045,7.193856988096645,10,0.10000000000000003,0.8994496708180302,1.0562382517532436,0.9996726677577742,2.7879609012113313,0.13562472768067557,0.9
T3R,1101,0.2,3.0857721666181503,2.0648445087569227,0.9734978540772532,-14.312565433172631,14.312565433172631,22.894408529529446,7.193856988096645,10,0.10000000000000003,0.8013035058407861,1.0309189264559333,0.9899618112384071,6.243869583423331,0.30374282205948777,0.6
T3R,1101,0.3,1.7539029371920651,0.8355819814378431,0.8975321888412019,-7.0835349138775054,7.0835349138775054,11.949191718757568,5.387128049317741,8,0.14,0.45544793866512523,0.4171826380226631,0.9127114020731044,13.472900102718457,0.655410341911975,0.1
old_T3_D43_failed,1101,,2.3947190939287166,0.8840259384672748,0.8850858369098713,-12.659324589455162,12.659324589455162,31.537474173956152,8.110952638079137,9,0.12000000000000002,0.6218530409430599,0.4413693464950241,0.9000545553737045,7.897110427140801,0.384167314068085,0.3
