record_type,outer_seed,strategy,sample_id,gradient_L2,head_gradient_L2,last2_gradient_L2,transfer_prediction_shift,target_ensemble_uncertainty,quantile_width,latent_distance,target_representativeness,true_standardized_error_after_reveal,gradient_L2_mean,gradient_L2_median,gradient_L2_max,gradient_L2_CV,head_gradient_L2_mean,head_gradient_L2_median,head_gradient_L2_max,head_gradient_L2_CV,last2_gradient_L2_mean,last2_gradient_L2_median,last2_gradient_L2_max,last2_gradient_L2_CV
sample,42,pretrained_random,f1ea027f4cb80b10d15b,1917.2576356622048,242.61421487459185,1901.8421781106827,0.4345525170379552,0.06685414961289982,0.5308882239662109,5.420147968092548,-2.749491844240402,0.1516232135106645,,,,,,,,,,,,
sample,42,pretrained_random,3b03dfa8ff44ff554734,20765.457422796517,3159.6469396956236,20523.060640841824,0.7918211494811138,0.2494463534061922,0.5583038489354619,19.1294873143119,-13.467633469702301,1.1196866803831331,,,,,,,,,,,,
sample,42,pretrained_random,f6e991e3dc3a3d3c5d89,2223.6436232986784,383.66959638420605,2190.0999582369177,0.6158512053176565,0.009760281694889933,0.4148514734550955,5.722154527437742,-4.349510044367632,0.11234493150680086,,,,,,,,,,,,
sample,42,pretrained_random,4768b747981033fbdf34,3528.7066022542276,349.8688032397675,3510.5739281660058,0.5715592097466453,0.09313353448890965,0.38552350741813074,4.644417816330823,-3.6405752663047872,0.07520082954557235,,,,,,,,,,,,
sample,42,pretrained_random,77577e6f6f0aa6789972,448.79795624360435,121.3450102218787,431.3241416813089,0.29050679889852604,0.010466248338322038,0.36714736123418434,5.006577585922975,-3.835718183598247,0.1051215338789693,,,,,,,,,,,,
sample,42,pretrained_random,45264f1c88b241fb888c,1421.0493160142403,205.69333132414658,1405.8454675914063,0.5129584835578112,0.0790277546131072,0.38025468461502404,5.826759191306347,-3.737285140916101,0.06030898597866922,,,,,,,,,,,,
sample,42,pretrained_random,c35ed383b2db14b3bc06,21974.079115686123,2385.691348917015,21842.24146551367,1.9745331845027674,0.06368751223613497,1.1108112385635767,6.061060406642235,-6.609841957243148,0.6539457752315841,,,,,,,,,,,,
sample,42,pretrained_random,56b391fdec7a2a622e52,3367.3551712838016,390.6951732235816,3343.847637566183,0.4847426460172163,0.09219432982624279,0.5491962917000195,5.859723788810653,-3.784333407102418,0.22867180268947443,,,,,,,,,,,,
sample,42,pretrained_random,f9b97e958092bd5cb81a,7065.793949498147,683.6857349098873,7031.277789213257,0.8072949966120833,0.1342304243274216,0.8212253591700753,12.515015309616075,-8.027109811566252,0.20850955442038727,,,,,,,,,,,,
sample,42,pretrained_random,c2bd8e8f13a96726e7fc,42342.73010140827,6430.261671174562,41844.16527773335,3.2618780915907526,0.7506024206864337,1.784843558571136,10.835000317457375,-8.727890527399659,1.2981860428331826,,,,,,,,,,,,
sample,42,pretrained_coverage,07e9bc7a9d27fdd58c2f,387278.5067802072,62829.89469440037,382120.8416112121,4.629084473138825,14.077603140352315,2.881076342091889,38.77305948326791,-26.42746780666486,5.461520562113798,,,,,,,,,,,,
sample,42,pretrained_coverage,7ba2cf5e6ca289d9810f,215231.54739975205,64255.50369337487,205123.15570700017,9.466641365299878,1.4985851139732351,5.22194258275522,50.70833271365483,-36.23265984298063,4.296334746409831,,,,,,,,,,,,
sample,42,pretrained_coverage,d31d42caff135d7154c4,40624.65786265679,18725.51565792262,35922.35547801898,6.900147473959226,0.40741951842636753,4.145714436153467,43.160377606325994,-31.431720843146287,1.2631239536766272,,,,,,,,,,,,
sample,42,pretrained_coverage,f95928e2618ed15e654f,188849.17530626306,41850.279816140224,184026.59153420737,5.904811250859431,9.175123819213667,3.0314783258914426,33.25385117400943,-21.719708169568257,3.030637877238252,,,,,,,,,,,,
sample,42,pretrained_coverage,118d66c0e53f510c51ed,2907.966903985413,586.5331711388058,2842.4773893095403,0.6633080585564395,0.016410107042269424,0.394295736892735,24.725619704409276,-15.762051669146905,0.22010717603685137,,,,,,,,,,,,
sample,42,pretrained_coverage,e375bb01e53e46f8faee,23776.054636923556,5219.234224801535,23114.27977140975,4.175058830540676,0.9059582057307713,2.601939986941586,22.666136594097008,-15.097761127051745,0.6093383729915378,,,,,,,,,,,,
sample,42,pretrained_coverage,bd0519702a5756bc3c94,88567.08888471882,17925.456348225856,86727.17750611619,4.643254091248909,2.1466771516456937,3.132874126387416,31.132067274049113,-19.747356067166287,1.5172364296161873,,,,,,,,,,,,
sample,42,pretrained_coverage,7e451fd74af5bfa51ac9,44496.49675063137,7073.359623457744,43922.06976358641,2.2429765530922885,3.8322360615133197,1.475945205927304,19.619904712640636,-15.987426800043414,1.1068702808399205,,,,,,,,,,,,
sample,42,pretrained_coverage,4c6a8ef1c87748df99f2,61525.60297137121,15927.96764498281,59284.24004426749,5.487648270820768,4.4778478334944705,3.3243560128220544,22.597608898236082,-15.791264305486939,1.6553845392252895,,,,,,,,,,,,
