protocol,outer_seed,inner_fold,arm,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,769539383,1,A1,4g,V1,9.958333333333334,73,5536.810917475852,12360.720699895668,8.709002520204566,0.4479359296195881
compound,769539383,1,A1,4g,V2,22.503333333333337,75,24792.32362889728,90836.84231338676,18.18142775064609,0.2729324687813768
compound,769539383,1,A1,25g,V1,33.74,15,1184.9965058120192,2769.9844983713288,8.888181313077192,0.4277989665677779
compound,769539383,1,A1,25g,V2,55.8575,15,2953.2496419395857,6614.911755250174,14.031511303585193,0.4464533694792871
compound,769539383,1,A1,40g,V1,70.95500000000001,14,12511.423650547546,25595.894668540313,29.89436598920026,0.488805873463967
compound,769539383,1,A1,40g,V2,104.43500000000002,13,20448.04175977564,38792.75655733718,39.66013476040533,0.527109789930825
compound,769539383,1,A2,4g,V1,9.958333333333334,73,4111.718975389905,5791.937523393594,7.504992836178765,0.7099038894640526
compound,769539383,1,A2,4g,V2,22.503333333333337,75,7583.555737130842,14303.050692520776,10.05554953719974,0.5302054715569432
compound,769539383,1,A2,25g,V1,33.74,15,1106.103866819607,3355.233469039646,8.587214786412053,0.3296652459586374
compound,769539383,1,A2,25g,V2,55.8575,15,1874.7743724342072,6822.256033130552,11.179667175827753,0.2748026991848213
compound,769539383,1,A2,40g,V1,70.95500000000001,14,10050.251736216298,24431.32029392688,26.793191747446773,0.4113675239530376
compound,769539383,1,A2,40g,V2,104.43500000000002,13,9100.492968126644,34257.931620823496,26.458229733395363,0.2656463054703209
compound,769539383,2,A1,4g,V1,9.958333333333334,73,3099.9974847565563,5985.567566503927,6.516572639759945,0.5179120359620658
compound,769539383,2,A1,4g,V2,22.503333333333337,75,4541.6625398747365,8637.658949816312,7.781741484504812,0.5257978540552726
compound,769539383,2,A1,25g,V1,33.74,15,1007.9100126060014,1552.6381086372353,8.197194693332598,0.6491596509186891
compound,769539383,2,A1,25g,V2,55.8575,13,2764.6281850516543,4177.304521959241,14.582993744167725,0.6618210787646832
compound,769539383,2,A1,40g,V1,70.95500000000001,18,21767.264106200106,25720.04840268299,34.77488246341675,0.8463150521882162
compound,769539383,2,A1,40g,V2,104.43500000000002,17,29554.01998604551,36277.88471214504,41.69498487690132,0.814656648824717
compound,769539383,2,A2,4g,V1,9.958333333333334,73,2886.375380598305,5132.283308993374,6.288035366894754,0.5623959565015572
compound,769539383,2,A2,4g,V2,22.503333333333337,75,6079.425269754155,11875.903008671565,9.003277380860931,0.5119126743722201
compound,769539383,2,A2,25g,V1,33.74,15,984.364949645526,1964.6591359909748,8.100884518147904,0.5010359973456728
compound,769539383,2,A2,25g,V2,55.8575,13,2346.0416458623527,3087.185024723431,13.433716611176958,0.7599290703583681
compound,769539383,2,A2,40g,V1,70.95500000000001,18,13566.284649594912,17652.230012904132,27.453278138194182,0.768530924403188
compound,769539383,2,A2,40g,V2,104.43500000000002,17,15995.236930745406,22698.158351852453,30.67403282980325,0.7046931598060684
compound,769539383,3,A1,4g,V1,9.958333333333334,73,4184.872068639312,6834.057823418511,7.571460535385143,0.6123553790105287
compound,769539383,3,A1,4g,V2,22.503333333333337,75,12913.247888042026,33378.55837742028,13.12160960047307,0.3868725468017066
compound,769539383,3,A1,25g,V1,33.74,12,1568.0805200042823,3711.910956759654,11.431245630596148,0.4224456185159012
compound,769539383,3,A1,25g,V2,55.8575,14,5369.51263203114,8883.777379125968,19.58409090495785,0.6044177384102145
compound,769539383,3,A1,40g,V1,70.95500000000001,13,10413.241643045234,15192.120583256405,28.30227178031044,0.6854370057147857
compound,769539383,3,A1,40g,V2,104.43500000000002,15,30617.758917554373,41956.38625097137,45.179463562961416,0.7297520509609073
compound,769539383,3,A2,4g,V1,9.958333333333334,73,3750.875184031966,5144.421933124868,7.1681135479325615,0.7291149973294624
compound,769539383,3,A2,4g,V2,22.503333333333337,75,5849.852823276437,12611.209285342717,8.831649769079718,0.4638613705408398
compound,769539383,3,A2,25g,V1,33.74,12,1289.9455770377383,3422.7175804257495,10.368001965332803,0.3768775970342499
compound,769539383,3,A2,25g,V2,55.8575,14,4316.510536861637,7120.968610455198,17.559105364579445,0.6061690161818745
compound,769539383,3,A2,40g,V1,70.95500000000001,13,9153.80979224605,13932.081116303085,26.535621620534116,0.6570310433761699
compound,769539383,3,A2,40g,V2,104.43500000000002,15,19922.815319612386,28765.24176224346,36.444309404544335,0.6926003085349547
compound,769539383,4,A1,4g,V1,9.958333333333334,73,4635.99736285694,9748.083106403365,7.969116211338688,0.4755804102461565
compound,769539383,4,A1,4g,V2,22.503333333333337,75,19607.00444526094,63136.557017815256,16.16869586382317,0.3105491552180843
compound,769539383,4,A1,25g,V1,33.74,13,1123.2168014512436,1935.1046045236044,9.29522955172848,0.580442420955204
compound,769539383,4,A1,25g,V2,55.8575,11,2244.896674104997,5021.255798635496,14.285710196827004,0.4470787317218608
compound,769539383,4,A1,40g,V1,70.95500000000001,15,17586.776412522984,20146.55785749057,34.24108293899107,0.872941995199649
compound,769539383,4,A1,40g,V2,104.43500000000002,16,37668.73340244568,46575.82983011297,48.521086525889494,0.8087614013500941
compound,769539383,4,A2,4g,V1,9.958333333333334,73,2917.72815931251,5115.060392686561,6.322094502195607,0.5704191026726166
compound,769539383,4,A2,4g,V2,22.503333333333337,75,5964.39196381239,11728.807217268572,8.917691752026709,0.508525023331519
compound,769539383,4,A2,25g,V1,33.74,13,744.7013529538981,1478.3837262232148,7.568666953829595,0.5037266981126515
compound,769539383,4,A2,25g,V2,55.8575,11,1162.1385867051304,4125.177037190643,10.278568111742954,0.2817184756503391
compound,769539383,4,A2,40g,V1,70.95500000000001,15,11380.449150752622,13702.512874676,27.54444789880848,0.8305373806132414
compound,769539383,4,A2,40g,V2,104.43500000000002,16,14719.607104231423,22629.933901400484,30.331096980070868,0.6504485239932797
compound,769539383,5,A1,4g,V1,9.958333333333334,73,2986.435439990084,5291.041360077712,6.396098382640163,0.5644324503912441
compound,769539383,5,A1,4g,V2,22.503333333333337,75,4060.613424333766,7376.493681826843,7.358091622455527,0.5504801602877704
compound,769539383,5,A1,25g,V1,33.74,7,1241.1778413741222,3110.724258584872,13.315822175003058,0.3989996342326908
compound,769539383,5,A1,25g,V2,55.8575,9,3016.142152235479,6500.5208773466475,18.306471691834616,0.4639846881726491
compound,769539383,5,A1,40g,V1,70.95500000000001,14,14133.010585786766,18728.479144771263,31.772641629672943,0.7546267092238779
compound,769539383,5,A1,40g,V2,104.43500000000002,13,20132.62907825176,31170.688520934815,39.35306563979655,0.6458833613742704
compound,769539383,5,A2,4g,V1,9.958333333333334,73,2931.6143848329343,3904.335349680801,6.337120889023263,0.7508613175537313
compound,769539383,5,A2,4g,V2,22.503333333333337,75,4719.9195937313025,8317.37442723324,7.9329856453765695,0.5674771089151718
compound,769539383,5,A2,25g,V1,33.74,7,1487.671755902651,3380.8645751219856,14.578221309800506,0.4400270176006604
compound,769539383,5,A2,25g,V2,55.8575,9,3353.3652069089067,6802.050622836106,19.30274939227543,0.4929932740651561
compound,769539383,5,A2,40g,V1,70.95500000000001,14,9559.534616998077,14462.882498057894,26.130899357162363,0.6609702193377945
compound,769539383,5,A2,40g,V2,104.43500000000002,13,12990.012616467557,23266.053690942135,31.610627006250184,0.5583247072761972
compound,1425370602,1,A1,4g,V1,9.958333333333334,73,3110.486161620609,5371.96175156448,6.527587569252129,0.5790223954432921
compound,1425370602,1,A1,4g,V2,22.503333333333337,75,4043.793319146336,7520.576290203759,7.342836254151694,0.5376972672179057
compound,1425370602,1,A1,25g,V1,34.11,19,1498.0418179280607,6506.76212237643,8.879431637595959,0.2302284592172764
compound,1425370602,1,A1,25g,V2,56.35000000000002,20,5237.160833892088,13693.964320053792,16.182028355388713,0.3824430027338873
compound,1425370602,1,A1,40g,V1,72.255,11,8876.153034669702,10472.825560363006,28.40639018164383,0.8475413806436053
compound,1425370602,1,A1,40g,V2,109.29500000000002,10,14838.533332674437,21826.705150188656,38.520816882141055,0.6798338654676049
compound,1425370602,1,A2,4g,V1,9.958333333333334,73,4408.6967936731935,8548.204595973439,7.771300197691921,0.5157453526264303
compound,1425370602,1,A2,4g,V2,22.503333333333337,75,10640.354629675485,21874.454516770056,11.910977922166584,0.486428341402436
compound,1425370602,1,A2,25g,V1,34.11,19,648.4353003664438,5473.197397313645,5.841932360400713,0.1184746781990192
compound,1425370602,1,A2,25g,V2,56.35000000000002,20,2813.247319297514,8776.73994231544,11.860116608401272,0.3205344282486893
compound,1425370602,1,A2,40g,V1,72.255,11,10018.33255675449,13150.73681837644,30.178759171965623,0.7618076990754752
compound,1425370602,1,A2,40g,V2,109.29500000000002,10,13988.05314216702,22782.09294118499,37.40060580012979,0.6139933314414545
compound,1425370602,2,A1,4g,V1,9.958333333333334,73,4464.105388802127,7406.387636014637,7.819982647917307,0.6027372057998646
compound,1425370602,2,A1,4g,V2,22.503333333333337,75,14776.501106962503,37713.32020179687,14.03638182579471,0.3918111963597007
compound,1425370602,2,A1,25g,V1,34.11,8,689.3550285698229,4589.528955420135,9.282746283898309,0.1502016950466582
compound,1425370602,2,A1,25g,V2,56.35000000000002,10,6626.494541732208,9635.56668609049,25.74197844325919,0.6877119693746653
compound,1425370602,2,A1,40g,V1,72.255,19,27330.88871588641,31913.072922873107,37.92713839919796,0.8564167036480369
compound,1425370602,2,A1,40g,V2,109.29500000000002,18,54126.12210590109,65496.1192839636,54.83618133733577,0.8264019715615977
compound,1425370602,2,A2,4g,V1,9.958333333333334,73,3171.3061579601276,4732.393201351065,6.59109627520664,0.6701273590399762
compound,1425370602,2,A2,4g,V2,22.503333333333337,75,7102.604017973386,11615.900230359,9.73146375969781,0.6114553221979485
compound,1425370602,2,A2,25g,V1,34.11,8,847.8874827546134,4429.909995446388,10.294947078267407,0.1914006116661913
compound,1425370602,2,A2,25g,V2,56.35000000000002,10,4759.827535313474,7334.836643358042,21.817028980393903,0.6489343616975667
compound,1425370602,2,A2,40g,V1,72.255,19,18167.407446315483,22192.651640646454,30.922149654895637,0.8186226567464958
compound,1425370602,2,A2,40g,V2,109.29500000000002,18,27288.974700958275,35064.57438649594,38.936540037004285,0.7782491354427448
compound,1425370602,3,A1,4g,V1,9.958333333333334,73,3478.869798747748,6102.040656762671,6.903314469715063,0.5701158013249621
compound,1425370602,3,A1,4g,V2,22.503333333333337,75,3668.40889955956,7574.9645040822525,6.993719944406848,0.484280671887321
compound,1425370602,3,A1,25g,V1,34.11,12,1160.45578318053,2100.87243781091,9.833852174930104,0.5523685123832242
