protocol,outer_seed,inner_fold,arm,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
row,769539383,1,A1,4g,V1,9.958333333333334,73,3206.2638369200995,5671.318758623291,6.627323926258849,0.5653471394188427
row,769539383,1,A1,4g,V2,22.503333333333337,75,4287.466216711819,7678.061455927959,7.5608343602293155,0.5584047798160847
row,769539383,1,A1,25g,V1,32.492500000000014,15,2354.039372716228,2990.9044573867295,12.527408278693636,0.7870660551868797
row,769539383,1,A1,25g,V2,57.155,12,2756.014240315257,5141.209601217778,15.154796381331051,0.5360633885968101
row,769539383,1,A1,40g,V1,70.08000000000001,19,22836.084869115355,27634.297833676064,34.668417956948225,0.8263674730061913
row,769539383,1,A1,40g,V2,101.31,16,17713.153966424314,26814.409389189976,33.272693352079564,0.6605834090668146
row,769539383,1,A2,4g,V1,9.958333333333334,73,3505.8717787427167,5784.588148462977,6.930053448906058,0.6060711132346149
row,769539383,1,A2,4g,V2,22.503333333333337,75,7812.748725496799,13092.871202057286,10.206369727117668,0.5967177561686531
row,769539383,1,A2,25g,V1,32.492500000000014,15,2026.2383105957688,2568.47834463742,11.622502055913689,0.7888866631195224
row,769539383,1,A2,25g,V2,57.155,12,1814.9598351581524,3369.955857152043,12.298237797743464,0.5385708039190694
row,769539383,1,A2,40g,V1,70.08000000000001,19,22543.668619022836,27917.483947917837,34.44573812078081,0.8075107578132665
row,769539383,1,A2,40g,V2,101.31,16,14854.316904780404,25935.87730254609,30.46957181433266,0.5727323865509718
row,769539383,2,A1,4g,V1,9.958333333333334,73,4170.346470950771,7436.770312951602,7.558308927838336,0.5607738703033293
row,769539383,2,A1,4g,V2,22.503333333333337,75,7732.0701901778975,14025.200164053647,10.153534813175751,0.5512983843178982
row,769539383,2,A1,25g,V1,32.492500000000014,17,1199.9367172489117,1971.871124708018,8.40145896730727,0.6085269479396583
row,769539383,2,A1,25g,V2,57.155,17,3916.324979606547,6729.394830978499,15.178012308069675,0.5819728338093497
row,769539383,2,A1,40g,V1,70.08000000000001,16,12489.19578741014,19094.827950599934,27.93876763053685,0.6540617082133879
row,769539383,2,A1,40g,V2,101.31,16,26382.69244731043,41705.7693806353,40.606874762248104,0.6325909541800796
row,769539383,2,A2,4g,V1,9.958333333333334,73,3478.1599451967736,5038.545463955813,6.902610132879529,0.6903103227069097
row,769539383,2,A2,4g,V2,22.503333333333337,75,8471.746009509065,15475.824890688547,10.628104885637931,0.5474180581227901
row,769539383,2,A2,25g,V1,32.492500000000014,17,1598.5716522209934,2550.2813060516123,9.697093719317913,0.6268216954842243
row,769539383,2,A2,25g,V2,57.155,17,3267.0845093201497,6099.967066826019,13.862952128775266,0.5355905160681637
row,769539383,2,A2,40g,V1,70.08000000000001,16,10640.38265462355,16738.29547985361,25.788057621968584,0.635690932056399
row,769539383,2,A2,40g,V2,101.31,16,19493.334485996893,37572.08725372962,34.9046330073073,0.5188249019639406
row,769539383,3,A1,4g,V1,9.958333333333334,73,3772.6197120328543,6665.682470207144,7.188860972549256,0.565976511616764
row,769539383,3,A1,4g,V2,22.503333333333337,75,8614.40705324636,17294.221737811222,10.71721795569874,0.4981089744219163
row,769539383,3,A1,25g,V1,32.492500000000014,15,986.310851939944,1705.7236239543954,8.108887519012473,0.5782360272723257
row,769539383,3,A1,25g,V2,57.155,16,3375.1671408055336,5151.992073063737,14.52404717357892,0.6551188536278981
row,769539383,3,A1,40g,V1,70.08000000000001,14,7986.375491812332,15346.654643089138,23.884208010154104,0.5203984632187403
row,769539383,3,A1,40g,V2,101.31,18,17525.644058334798,29166.31510872269,31.203315402849597,0.6008864675912883
row,769539383,3,A2,4g,V1,9.958333333333334,73,3197.7269659256326,4779.925255627684,6.618495220613417,0.668990997748503
row,769539383,3,A2,4g,V2,22.503333333333337,75,5514.733756614312,9627.113280446589,8.574950928228345,0.5728335790766235
row,769539383,3,A2,25g,V1,32.492500000000014,15,1309.6272413191646,2052.749241120319,9.343900831805255,0.6379869567528939
row,769539383,3,A2,25g,V2,57.155,16,3267.630904380274,4620.429728220025,14.290798841344284,0.7072136352215656
row,769539383,3,A2,40g,V1,70.08000000000001,14,4851.4331056005985,16092.210633426246,18.61534141815101,0.3014771069130397
row,769539383,3,A2,40g,V2,101.31,18,11142.083555059664,24651.62584200742,24.87980389689113,0.4519816918555157
row,769539383,4,A1,4g,V1,9.958333333333334,73,4329.589991599043,8744.625991514757,7.70126300938443,0.4951143703344441
row,769539383,4,A1,4g,V2,22.503333333333337,75,20170.48184865907,64153.23782511702,16.39938285369669,0.3144109717991818
row,769539383,4,A1,25g,V1,32.492500000000014,9,202.90944523911992,3934.9492637157928,4.74820954839377,0.0515659622628809
row,769539383,4,A1,25g,V2,57.155,10,3801.247344441321,8409.23505571304,19.49678779809977,0.4520324761119433
row,769539383,4,A1,40g,V1,70.08000000000001,14,16083.12990992942,19552.187976747024,33.89387840844401,0.8225744315192103
row,769539383,4,A1,40g,V2,101.31,13,35484.51445079839,44698.1508608884,52.24536376250815,0.7938698529439149
row,769539383,4,A2,4g,V1,9.958333333333334,73,3638.6489107943166,5120.066796219161,7.060064137620805,0.7106643439654389
row,769539383,4,A2,4g,V2,22.503333333333337,75,6694.87174681753,12664.412486755113,9.448013369181572,0.5286365833250664
row,769539383,4,A2,25g,V1,32.492500000000014,9,234.19478262770295,4413.44392112736,5.10114129525827,0.053063953414385
row,769539383,4,A2,25g,V2,57.155,10,2974.642294619307,8953.064524686697,17.247151343393803,0.3322485040085647
row,769539383,4,A2,40g,V1,70.08000000000001,14,13166.74560960948,16678.939216395753,30.667276195609873,0.7894234422694153
row,769539383,4,A2,40g,V2,101.31,13,21020.822524117702,29584.509961135627,40.211768774937696,0.7105347545635264
row,769539383,5,A1,4g,V1,9.958333333333334,73,3362.968487377385,5914.136870874053,6.787345686711639,0.5686321708141953
row,769539383,5,A1,4g,V2,22.503333333333337,75,3807.739198936689,7369.024693988695,7.12529690509964,0.5167222742573877
row,769539383,5,A1,25g,V1,32.492500000000014,8,863.3219116520268,3240.923191324159,10.388225977350674,0.2663814785747191
row,769539383,5,A1,25g,V2,57.155,9,5436.781364306207,11625.825027240237,24.57817768379595,0.467646928417329
