protocol,outer_seed,column,method,classification,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,Center_rmse,Width_rmse,Center_error_variance,Width_error_variance,Center_Width_error_covariance
row,769539383,25g,A1,DEVELOPMENTAL CONFIRMATION,0.5296921555970889,7.114929700602772,4.0241976749466115,0.7055029651808762,8.681049296318918,5.719719135330385,0.6083533857400233,True,7.309963228745593,6.182510286026741,51.19518166799159,38.186568177297154,12.081807503029019
row,769539383,25g,A2,DEVELOPMENTAL CONFIRMATION,0.4788466983102605,7.4896625164511486,4.73200495156897,0.6845512164964885,8.984547057423846,6.2052621450768894,0.6370598866063893,True,7.595158377220349,6.548934094534155,55.08697472896485,42.58266799456823,13.205201632552805
row,769539383,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.5315126196096889,7.101146141570601,4.545999385542169,0.6699413284459579,9.190250155537898,6.66714374698795,0.6188877342561596,True,7.54663148227719,6.478222130602342,55.29021167187259,41.91267397581757,16.715779850178365
row,769539383,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.5168797312925775,7.211193199790533,4.813142321965496,0.652634208015288,9.428123939913092,6.756730211385598,0.6306533544398066,True,7.694055795533717,6.7072854749884705,58.75586897081525,44.9840901943786,18.40425396712621
row,769539383,25g,P0,DEVELOPMENTAL CONFIRMATION,0.526108785030494,7.141983310699732,4.600259638554218,0.667176544610451,9.228661608279097,6.700975590361446,0.6221191241770236,True,7.580691454517404,6.518029584660015,55.574369598885504,42.42958864040988,16.757152883048803
row,769539383,40g,A1,DEVELOPMENTAL CONFIRMATION,0.6947985654292848,12.884296409942008,7.106519602633073,0.8345984792886213,13.237368740541601,8.591415321963957,0.41207752065327335,True,12.09514848534735,9.863852329299329,142.9653433086649,96.68085569279786,3.181255958184655
row,769539383,40g,A2,DEVELOPMENTAL CONFIRMATION,0.6370388746404686,14.050684384982498,7.6017759651973345,0.7899585114815475,14.91710206874678,9.795787188650548,0.45475927963013535,True,13.660124263570232,9.668885770701843,184.77406279196163,91.24359917781875,10.525565542386383
row,769539383,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.6147971867377771,14.474785851485743,7.819261609195403,0.7595220564007742,15.961347115154641,10.290737839080458,0.4752701297112936,True,14.502778882449624,9.340539229656233,207.85164076294686,87.16795955473907,22.18367089643066
row,769539383,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.5006263018211123,16.480874578355927,9.734326534733238,0.7285791642471307,16.957175281968734,12.171558628939142,0.5273794280929682,True,16.072349820613002,9.22216491921419,255.33294003570006,85.01791731196268,7.661878283905381
row,769539383,40g,P0,DEVELOPMENTAL CONFIRMATION,0.5835723781016291,15.05002379287682,8.392856333333334,0.7474964133845513,16.35557034689959,10.876450632183907,0.4913956793486106,True,14.951780708616516,9.68466879365788,223.13958953087413,93.52918426433564,20.169508356988676
row,1425370602,25g,A1,DEVELOPMENTAL CONFIRMATION,0.1649557762858086,8.178559233860069,3.722590070157437,0.3811953421809069,13.403602747390357,6.785174673956794,0.7801132457448595,True,10.388693334589599,7.835240819696011,106.10487626337178,61.384949385312865,56.48879722816517
row,1425370602,25g,A2,DEVELOPMENTAL CONFIRMATION,0.20681672584533073,7.970927136035645,4.1837532868256435,0.4939883504420809,12.12062510428484,6.919139635240709,0.7348836678659333,True,9.645342768795665,6.982830095525983,90.030770859175,48.067520401810924,40.24524350784605
row,1425370602,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.08489294125726399,8.56166080484622,4.450382432432432,0.3381393714920745,13.86206830590979,7.608212445945945,0.8120101893918178,True,10.636462416521267,8.853282778586692,105.74847180335425,77.53129472897676,56.922861506175536
row,1425370602,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,-0.3195369566061803,10.280940468713712,4.5013465371128145,0.31284150999719773,14.124504429713335,7.626886805950845,0.9091435334745477,True,11.836907546753336,7.067475046359169,131.43729413665224,48.89000357147914,43.870665478462996
row,1425370602,25g,P0,DEVELOPMENTAL CONFIRMATION,0.21823301786184934,7.913356428318845,4.105068662162163,0.4069598397850227,13.121600558898818,7.078365013513511,0.7590289418453364,True,10.021266357316406,8.239666544265699,95.93381718822012,66.90117227418074,52.667801498788776
row,1425370602,40g,A1,DEVELOPMENTAL CONFIRMATION,0.732572209269023,13.652142335084044,7.6137618343035385,0.811981061753678,17.093775585143693,10.014438370863596,0.49246739438470644,True,14.436909489763394,11.1112054126821,207.0771771381583,114.3622580037068,49.40740376403678
row,1425370602,40g,A2,DEVELOPMENTAL CONFIRMATION,0.648138708964094,15.659694495433735,9.215004746119183,0.7424953811919812,20.004592623174524,12.964806747436525,0.57017412449072,True,17.099999403732607,11.008160472501766,287.3555016144833,120.99278689428303,78.45056086164571
row,1425370602,40g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,0.631382310742739,16.028232200156882,8.767093364583333,0.7660251233169535,19.06873193872977,11.788728020833332,0.5651142501922486,True,16.84705495208808,10.283408393711456,281.40422640418694,103.27958087299176,55.79999866006431
row,1425370602,40g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,0.6015736106186074,16.663705709577584,10.194597136303463,0.7292306580314831,20.513366759834412,14.49594948934669,0.5964720112433969,True,17.935930765452575,10.49591148520904,317.2375503192503,109.57372975959807,73.18232274711669
row,1425370602,40g,P0,DEVELOPMENTAL CONFIRMATION,0.6322795871704927,16.008712630272218,9.399874135416667,0.735783479329382,20.263627098230756,13.017810437499998,0.5803868262951598,True,17.384010127639847,11.179073934724604,302.18093378784334,123.63132400212714,76.99275138719516
row,536279090,25g,A1,DEVELOPMENTAL CONFIRMATION,-0.19683864786928806,9.310493247512923,4.031076789546657,0.4416977602569785,12.185127824444246,5.994857963355813,0.7994227318295719,True,10.511180793883444,5.327810290658009,107.44414158327048,28.295126077022054,30.37162598657571
row,536279090,25g,A2,DEVELOPMENTAL CONFIRMATION,-0.10590094455039001,8.949793225199544,4.477617567938728,0.4752526240188215,11.813281205211107,6.404925619589316,0.7708319460434445,True,10.064822426093437,5.839710723937426,101.25785765032035,33.72541377512137,29.854389932931042
row,536279090,25g,paper_style_current_v2,DEVELOPMENTAL CONFIRMATION,-0.14591103147149287,9.110250888056642,4.7527877499999995,0.28264587777687766,13.812179174374368,7.042253756756756,0.8291061979510014,True,11.134890230894799,7.183509432054072,123.39450912750777,51.12428613632551,54.42172854618098
row,536279090,25g,HIER_CW_SHARED_LAMBDA_CORRECTED,DEVELOPMENTAL CONFIRMATION,-0.5598065372949117,10.62894733393563,5.039050461470422,0.3033663531051193,13.611237992493095,7.912006223134795,0.9055870014621681,True,11.777694400740499,6.451689750971679,135.93151006986272,41.62027921794784,36.03985672371267
row,536279090,25g,P0,DEVELOPMENTAL CONFIRMATION,-0.1327648933483585,9.057842765119846,4.685123202702703,0.30256614327562215,13.619053234021155,7.166802337837838,0.8214015286272704,True,11.03153581884649,6.947454426442803,121.66125317615924,47.860879114254324,51.83375715162528
