protocol,outer_seed,inner_fold,arm,column,regime,n,V1_rmse,V2_rmse
compound,769539383,1,A1,4g,low,155,2.517286680181268,10.706607454272213
compound,769539383,1,A1,4g,mid,127,4.6457992865254765,14.020066368558508
compound,769539383,1,A1,4g,high,134,8.02860042721125,18.94720896159454
compound,769539383,1,A1,25g,low,16,2.3951164956483315,4.0539541625718325
compound,769539383,1,A1,25g,mid,24,7.304605744647229,9.691621256027462
compound,769539383,1,A1,25g,high,22,7.970470523050869,13.6476746336437
compound,769539383,1,A1,40g,low,26,8.373203536407813,10.55916829870598
compound,769539383,1,A1,40g,mid,22,10.366543601593085,17.362665491496077
compound,769539383,1,A1,40g,high,25,29.263482852977923,34.2120986072681
compound,769539383,1,A2,4g,low,155,1.5321630004349585,4.230848966535316
compound,769539383,1,A2,4g,mid,127,2.1635445712218897,3.9266459658625945
compound,769539383,1,A2,4g,high,134,6.005963390929919,8.45108054835103
compound,769539383,1,A2,25g,low,16,2.457667363590656,5.981682846577464
compound,769539383,1,A2,25g,mid,24,8.764386409311033,12.282669357524696
compound,769539383,1,A2,25g,high,22,8.019986816917092,10.931672834614984
compound,769539383,1,A2,40g,low,26,8.666934602535163,14.12032418490695
compound,769539383,1,A2,40g,mid,22,11.285255701473108,17.217350657521617
compound,769539383,1,A2,40g,high,25,28.05455879956684,30.034874121897435
compound,769539383,2,A1,4g,low,155,2.368775177683473,3.52576353787867
compound,769539383,2,A1,4g,mid,127,3.0043963556297832,2.5369647084406397
compound,769539383,2,A1,4g,high,134,5.442710607400439,6.631818657774961
compound,769539383,2,A1,25g,low,21,2.410809485864848,4.9958571771369185
compound,769539383,2,A1,25g,mid,21,3.583979270234259,4.166013290531944
compound,769539383,2,A1,25g,high,22,7.263992776073119,12.226471193988024
compound,769539383,2,A1,40g,low,17,6.458973491495251,7.419370717526917
compound,769539383,2,A1,40g,mid,25,8.85825910920764,9.259805950537652
compound,769539383,2,A1,40g,high,29,28.19214722281368,33.834528632008094
compound,769539383,2,A2,4g,low,155,1.7815940533353296,3.749845487599882
compound,769539383,2,A2,4g,mid,127,2.403556806392397,3.663205213477251
compound,769539383,2,A2,4g,high,134,5.399427471493767,7.722893339885042
compound,769539383,2,A2,25g,low,21,1.5488673673506466,3.5697332892231577
compound,769539383,2,A2,25g,mid,21,5.310347868869366,4.015148005474648
compound,769539383,2,A2,25g,high,22,7.752080832618552,10.619519827828794
compound,769539383,2,A2,40g,low,17,5.014103812979791,9.911387549510351
compound,769539383,2,A2,40g,mid,25,10.96090982702322,10.90916501762509
compound,769539383,2,A2,40g,high,29,22.144735793221532,24.95023050383887
compound,769539383,3,A1,4g,low,155,1.7738572912586512,6.436392770829435
compound,769539383,3,A1,4g,mid,127,2.9898709236904764,7.206913176030855
