protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,769539383,4,A2,40g,284,80,2a68ed8d6622a068479d921da39b2dfadfaabf296020316f0d0b6d19bbd10a8d,b715419e8c00925f9e7ea4e98fc13c3f1cabcc3d5a89ae654b4e03132cdfe832,47,127
row,769539383,5,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,481,500
row,769539383,5,A1,25g,248,72,162b9bcde91307492874a5e51c421903a2bcad3c92696a3a828a65bae1bcfc50,af36c843395acb7997e9d29c214bbfa23a86b991c522c67d97cbd58233ddbf80,481,500
row,769539383,5,A1,40g,299,65,28d7e9a09e62f7dd51e428d33fb47dcca70e47e3092f188269e86f6b9f05ccca,999d1c9457f8bd4ab02377950cafa7a9e29ad3a081749eae9509160d1fdd2360,481,500
row,769539383,5,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,90,170
row,769539383,5,A2,25g,248,72,162b9bcde91307492874a5e51c421903a2bcad3c92696a3a828a65bae1bcfc50,af36c843395acb7997e9d29c214bbfa23a86b991c522c67d97cbd58233ddbf80,90,170
row,769539383,5,A2,40g,299,65,28d7e9a09e62f7dd51e428d33fb47dcca70e47e3092f188269e86f6b9f05ccca,999d1c9457f8bd4ab02377950cafa7a9e29ad3a081749eae9509160d1fdd2360,90,170
row,1425370602,1,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,173,253
row,1425370602,1,A1,25g,258,69,f4c630877b6e9813da1828e7d42239260fabdb804bc4efa688f7835e6ef1cad2,363d1e00477722e1bfa9a06a25db8a9eab761961da9e889eb6c7ff9e2bb075e3,173,253
row,1425370602,1,A1,40g,286,68,04644a935727b71a02f559506c8ced6b60814379f5da502f8fd32b011bb56cdc,f136da40433403fa18cf67b88c1c825fc9e172ae642f815069d70cfc73347924,173,253
row,1425370602,1,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,219,299
row,1425370602,1,A2,25g,258,69,f4c630877b6e9813da1828e7d42239260fabdb804bc4efa688f7835e6ef1cad2,363d1e00477722e1bfa9a06a25db8a9eab761961da9e889eb6c7ff9e2bb075e3,219,299
row,1425370602,1,A2,40g,286,68,04644a935727b71a02f559506c8ced6b60814379f5da502f8fd32b011bb56cdc,f136da40433403fa18cf67b88c1c825fc9e172ae642f815069d70cfc73347924,219,299
row,1425370602,2,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,489,500
row,1425370602,2,A1,25g,269,58,8d0815d84100e03981b574916b2c698ee433c4f184fb859f805bb00371f87b3c,95e7e388ade578fb6e38e49bceba3252cf6e8e9ae3acecf210d89d0c4fc0ddc5,489,500
row,1425370602,2,A1,40g,276,78,92c3b44be6f30c992df567c85a630332740ed6eb4452efbacb70a3e0f78d8059,cd32e20836cf57ec998c40b761d6a0ec7ef69fa5a1cd6f3d6a2483366b19840b,489,500
row,1425370602,2,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,68,148
row,1425370602,2,A2,25g,269,58,8d0815d84100e03981b574916b2c698ee433c4f184fb859f805bb00371f87b3c,95e7e388ade578fb6e38e49bceba3252cf6e8e9ae3acecf210d89d0c4fc0ddc5,68,148
row,1425370602,2,A2,40g,276,78,92c3b44be6f30c992df567c85a630332740ed6eb4452efbacb70a3e0f78d8059,cd32e20836cf57ec998c40b761d6a0ec7ef69fa5a1cd6f3d6a2483366b19840b,68,148
row,1425370602,3,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,316,396
row,1425370602,3,A1,25g,262,65,f77f51fa4cc1e1d84917f90a5d5626b673f47b4edcd32bfaf4e21fbbd2a146ae,7bab5bfa1d5f190616969c4f7bfb2fddb391f62e58a64b60846fc10c75002aad,316,396
row,1425370602,3,A1,40g,283,71,4074c7918e72254a04776f8c8a86986763abb077fb6a0fbc5cc14859bfc10388,ea74f270ea46887e26fc5f3426fd08ecd181f7fccbfed17ac83c1a7e375b4e39,316,396
row,1425370602,3,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,127,207
row,1425370602,3,A2,25g,262,65,f77f51fa4cc1e1d84917f90a5d5626b673f47b4edcd32bfaf4e21fbbd2a146ae,7bab5bfa1d5f190616969c4f7bfb2fddb391f62e58a64b60846fc10c75002aad,127,207
row,1425370602,3,A2,40g,283,71,4074c7918e72254a04776f8c8a86986763abb077fb6a0fbc5cc14859bfc10388,ea74f270ea46887e26fc5f3426fd08ecd181f7fccbfed17ac83c1a7e375b4e39,127,207
