protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,2767143051,5,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,65,145
row,2767143051,5,A2,25g,254,66,3e270a058474d4deb8b89be59e38abfc30b0688a6743655ad891910c50085c16,950d7202eed01e977dd5b5f3a7c3d23d11d293d266e64edfd58151cf11538e4e,65,145
row,2767143051,5,A2,40g,290,69,41e19ba9d897aebc29a1e428a938a8ac0e4c62d50aa17395d24e86d2d8c8a3d9,23db17c7c8d33d1630f593b0bffaa23a6a7970d5ddd5f7895d4e3194c5762538,65,145
row,1362771960,1,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,140,220
row,1362771960,1,A1,25g,255,60,a6c1d5d28a53ce0e41a4814ccb26264477e34b588017cf804219d4f0bc3a5199,8a8ea36037de2f2e42983c0a2260468cb89e078e092e17057e7643d2c3170d9e,140,220
row,1362771960,1,A1,40g,285,76,fbe34400c005f16bb415a50530326c8c34027f3c7184d735720e70356a5c1251,2533a63b57d8d696c980d7df3650474c8fcd62c1266b861d0615ca10ab6fc5e7,140,220
row,1362771960,1,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,49,129
row,1362771960,1,A2,25g,255,60,a6c1d5d28a53ce0e41a4814ccb26264477e34b588017cf804219d4f0bc3a5199,8a8ea36037de2f2e42983c0a2260468cb89e078e092e17057e7643d2c3170d9e,49,129
row,1362771960,1,A2,40g,285,76,fbe34400c005f16bb415a50530326c8c34027f3c7184d735720e70356a5c1251,2533a63b57d8d696c980d7df3650474c8fcd62c1266b861d0615ca10ab6fc5e7,49,129
row,1362771960,2,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,179,259
row,1362771960,2,A1,25g,238,77,f28bd71ba55d8975bb82ff09a1e78fe85a38b3aa4e4946eeb54b01b8f9150604,374cccfee6e44a3fd693750071c38251ed7714a5a6071bf17f3aecfeaee5d595,179,259
row,1362771960,2,A1,40g,303,58,9ec8676e8707cdee251d4997fff2bf2776a0f597f6cc57d7c7e17d8afbc10e9b,c64974cc46d0f94f546a7426327e8495bfda2a6dfd3097020e985e44afc215d5,179,259
row,1362771960,2,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,69,149
row,1362771960,2,A2,25g,238,77,f28bd71ba55d8975bb82ff09a1e78fe85a38b3aa4e4946eeb54b01b8f9150604,374cccfee6e44a3fd693750071c38251ed7714a5a6071bf17f3aecfeaee5d595,69,149
row,1362771960,2,A2,40g,303,58,9ec8676e8707cdee251d4997fff2bf2776a0f597f6cc57d7c7e17d8afbc10e9b,c64974cc46d0f94f546a7426327e8495bfda2a6dfd3097020e985e44afc215d5,69,149
row,1362771960,3,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,135,215
row,1362771960,3,A1,25g,260,55,a359a632ba75daa109d7608f055d2194441734e75ed1a867f7531279b8cc44a9,d0ac5743c57668d4e7aff32f6dd1dff5db87219f7f72b8471a0ed6b882a3d927,135,215
row,1362771960,3,A1,40g,281,80,3c8e23f3d8edc09e977653d1376117ed3219b2b20e369a2f186f1df843ea7eea,effca6853f03599e63a5aee9728c2822676b23afe4d2a713a9d89efd5c711847,135,215
row,1362771960,3,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,58,138
row,1362771960,3,A2,25g,260,55,a359a632ba75daa109d7608f055d2194441734e75ed1a867f7531279b8cc44a9,d0ac5743c57668d4e7aff32f6dd1dff5db87219f7f72b8471a0ed6b882a3d927,58,138
row,1362771960,3,A2,40g,281,80,3c8e23f3d8edc09e977653d1376117ed3219b2b20e369a2f186f1df843ea7eea,effca6853f03599e63a5aee9728c2822676b23afe4d2a713a9d89efd5c711847,58,138
row,1362771960,4,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,447,500
row,1362771960,4,A1,25g,254,61,25dc1ae3180d858d220de00d07bbaaf3ea0b81ec61ae5a442923aad76436e0fc,ce128692965691963ed8cb46e73d2c5f0514b84a6b1f742fe91930d0df65f84c,447,500
row,1362771960,4,A1,40g,287,74,ff8189631b5230ff4069a758867068046b05b42bc89b11fe5493ae0fc2b34d05,92e8b1c8db781aa952cdb65494b04a3722c0c070a240b8b33c496ba47a9a682e,447,500
row,1362771960,4,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,91,171
row,1362771960,4,A2,25g,254,61,25dc1ae3180d858d220de00d07bbaaf3ea0b81ec61ae5a442923aad76436e0fc,ce128692965691963ed8cb46e73d2c5f0514b84a6b1f742fe91930d0df65f84c,91,171
row,1362771960,4,A2,40g,287,74,ff8189631b5230ff4069a758867068046b05b42bc89b11fe5493ae0fc2b34d05,92e8b1c8db781aa952cdb65494b04a3722c0c070a240b8b33c496ba47a9a682e,91,171
row,1362771960,5,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,170,250
row,1362771960,5,A1,25g,253,62,87e95f55c054fc9acf4e7a66e285d50e10bdb02c40d566cd7d5c0b2160aed7fa,86a31ca722cbd8801728d017b7fb245329dbe26d580d03f3913a6206d660a5bd,170,250
row,1362771960,5,A1,40g,288,73,24ec7eb3e199a285d99fec903b6c2d67ade7cc8fdfff1eafcb80b0e027d8ab72,f37b0bd53cdf5603d9c925e39585ac836c262ec84dd98f46abb953e5a4d1ed19,170,250
row,1362771960,5,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,105,185
row,1362771960,5,A2,25g,253,62,87e95f55c054fc9acf4e7a66e285d50e10bdb02c40d566cd7d5c0b2160aed7fa,86a31ca722cbd8801728d017b7fb245329dbe26d580d03f3913a6206d660a5bd,105,185
row,1362771960,5,A2,40g,288,73,24ec7eb3e199a285d99fec903b6c2d67ade7cc8fdfff1eafcb80b0e027d8ab72,f37b0bd53cdf5603d9c925e39585ac836c262ec84dd98f46abb953e5a4d1ed19,105,185
