protocol,outer_seed,inner_fold,arm,column,regime,n,V1_rmse,V2_rmse
row,769539383,1,A1,4g,low,155,2.1400920537663817,2.9289983269757047
row,769539383,1,A1,4g,mid,127,2.8126353402898543,2.5767943636728994
row,769539383,1,A1,4g,high,134,5.433954305647147,6.409559227953041
row,769539383,1,A1,25g,low,24,2.8004324500877384,5.11761094800296
row,769539383,1,A1,25g,mid,22,3.4927590454908244,6.490115711482184
row,769539383,1,A1,25g,high,22,10.732915144777234,12.767102174925084
row,769539383,1,A1,40g,low,18,6.265011047417412,6.683008914931634
row,769539383,1,A1,40g,mid,25,10.584647709130556,12.301901966512242
row,769539383,1,A1,40g,high,26,30.46241196690621,29.238451133949408
row,769539383,1,A2,4g,low,155,1.8479056935430749,3.3217317302122633
row,769539383,1,A2,4g,mid,127,2.1673884616126635,3.110216200155184
row,769539383,1,A2,4g,high,134,5.896311340568583,8.704986111679776
row,769539383,1,A2,25g,low,24,2.4136663295538843,3.0928375369300403
row,769539383,1,A2,25g,mid,22,3.842863003946844,6.214484293330893
row,769539383,1,A2,25g,high,22,9.778855639386196,10.20415349865516
row,769539383,1,A2,40g,low,18,6.416244569144845,5.5150191012342455
row,769539383,1,A2,40g,mid,25,11.8903960642645,12.308299617851658
row,769539383,1,A2,40g,high,26,30.154677201384064,28.823763882435543
row,769539383,2,A1,4g,low,155,2.1693703917549563,4.131105975041796
row,769539383,2,A1,4g,mid,127,3.3380521282560687,3.6538101878026104
row,769539383,2,A1,4g,high,134,6.284430597690792,8.50130487164877
row,769539383,2,A1,25g,low,17,2.277719479078644,6.839772238829333
row,769539383,2,A1,25g,mid,26,3.9354672449145136,4.959412407629332
row,769539383,2,A1,25g,high,26,7.547260223586958,14.270198291277458
row,769539383,2,A1,40g,low,19,7.318537044084094,12.967097438101844
row,769539383,2,A1,40g,mid,21,9.246883739012324,12.28963449201646
row,769539383,2,A1,40g,high,27,24.55648606272208,36.17819337172161
row,769539383,2,A2,4g,low,155,1.2705035567463747,4.308152781517747
row,769539383,2,A2,4g,mid,127,1.9211578319360407,3.8493742191172022
row,769539383,2,A2,4g,high,134,5.6776664145711155,8.94308343258059
row,769539383,2,A2,25g,low,17,3.2069768526427795,8.074139142943686
row,769539383,2,A2,25g,mid,26,4.2608721393237285,5.146714982298386
row,769539383,2,A2,25g,high,26,8.556173167109648,12.864683655858563
row,769539383,2,A2,40g,low,19,10.256918857943472,20.158673919148384
row,769539383,2,A2,40g,mid,21,8.258261038698802,12.234353536609976
row,769539383,2,A2,40g,high,27,22.200463618861168,31.45116683268131
row,769539383,3,A1,4g,low,155,1.9077162598975712,4.528534837455939
row,769539383,3,A1,4g,mid,127,3.130509943137626,4.1496045225844505
row,769539383,3,A1,4g,high,134,6.020466719837257,9.43504849971074
row,769539383,3,A1,25g,low,14,3.0457394343305553,4.404643236156003
row,769539383,3,A1,25g,mid,17,3.1678082215092145,6.643587751529733
row,769539383,3,A1,25g,high,23,7.816529504415753,13.400269846286257
row,769539383,3,A1,40g,low,28,6.302532945285164,8.571495647027728
row,769539383,3,A1,40g,mid,28,11.311552452424827,16.386606744816188
row,769539383,3,A1,40g,high,27,19.86231002901855,26.936520299693857
row,769539383,3,A2,4g,low,155,1.2939810447077582,3.2526192853362383
row,769539383,3,A2,4g,mid,127,2.301350241562523,2.9180255215118076
row,769539383,3,A2,4g,high,134,5.358614376366587,7.17889575092555
row,769539383,3,A2,25g,low,14,2.5045305913853,3.0584660412246167
row,769539383,3,A2,25g,mid,17,3.768274305984185,6.221817317077389
row,769539383,3,A2,25g,high,23,8.656572424385043,12.906660805661309
row,769539383,3,A2,40g,low,28,6.807760608072635,9.270101491600204
row,769539383,3,A2,40g,mid,28,11.214270202266825,16.88486746552445
row,769539383,3,A2,40g,high,27,20.4335034747045,22.983639087649873
row,769539383,4,A1,4g,low,155,2.4073837825141595,9.274712293985315
row,769539383,4,A1,4g,mid,127,3.724118556061257,11.182305345365023
row,769539383,4,A1,4g,high,134,6.7387017169355286,16.14752676263673
row,769539383,4,A1,25g,low,27,8.895803360538585,11.271210685404665
row,769539383,4,A1,25g,mid,14,3.2829160060372735,4.753839416675665
row,769539383,4,A1,25g,high,16,10.147075219259838,17.071108759429666
row,769539383,4,A1,40g,low,29,5.638886727179432,5.700965045358537
row,769539383,4,A1,40g,mid,28,6.94221482991624,14.29865863809506
row,769539383,4,A1,40g,high,23,27.410432800985067,40.66350564568294
row,769539383,4,A2,4g,low,155,1.6002875003778552,3.99743273181798
row,769539383,4,A2,4g,mid,127,1.956257470593051,3.7648825593983863
row,769539383,4,A2,4g,high,134,5.623181221867514,7.911569843743916
row,769539383,4,A2,25g,low,27,8.984145215125032,12.082491346713091
row,769539383,4,A2,25g,mid,14,4.772656169874459,6.9760674782854775
row,769539383,4,A2,25g,high,16,10.940884055491503,16.450891232226393
row,769539383,4,A2,40g,low,29,6.308328204894159,9.21287288989022
row,769539383,4,A2,40g,mid,28,6.69409490418973,12.722501174255555
row,769539383,4,A2,40g,high,23,24.90868426743551,31.34030546301882
row,769539383,5,A1,4g,low,155,1.9055897974089948,3.2840767388038317
row,769539383,5,A1,4g,mid,127,3.181911504789966,2.437560304744733
row,769539383,5,A1,4g,high,134,5.50811505289048,6.073387605885359
row,769539383,5,A1,25g,low,25,3.8067228891896527,7.3047334824916845
row,769539383,5,A1,25g,mid,27,4.676045209989137,10.083788734716634
row,769539383,5,A1,25g,high,20,10.696445542068789,19.42474102057941
row,769539383,5,A1,40g,low,27,6.493129476764482,11.190613080522942
row,769539383,5,A1,40g,mid,19,8.829946147213313,8.767488367078089
row,769539383,5,A1,40g,high,19,28.5956321767594,41.842050862469435
